user	revs	pages	ts_min	ts_max
Nouill	742	143	2010-05-10 15:31:46+00:00	2020-07-10 14:36:21+00:00
Racconish	416	97	2010-05-30 18:17:04+00:00	2020-07-27 09:46:34+00:00
Azurfrog	2701	90	2009-10-30 23:49:03+00:00	2020-07-10 11:14:20+00:00
Apokrif	216	85	2005-05-23 22:04:18+00:00	2020-07-29 14:41:41+00:00
Lomita	441	84	2010-11-05 15:40:53+00:00	2020-07-27 10:21:30+00:00
NoFWDaddress	374	83	2010-12-14 19:53:10+00:00	2020-07-10 14:43:08+00:00
Berdea	122	76	2012-03-18 21:33:46+00:00	2020-06-02 22:50:45+00:00
Daniel*D	2815	74	2006-10-25 19:25:17+00:00	2020-05-13 14:50:36+00:00
TigH	362	73	2004-07-07 10:23:02+00:00	2020-02-15 15:32:07+00:00
Kropotkine 113	312	72	2006-09-10 09:21:14+00:00	2020-07-13 08:29:08+00:00
Jules*	211	71	2010-10-10 14:29:36+00:00	2020-07-23 11:32:34+00:00
FDo64	95	67	2012-03-16 09:08:58+00:00	2020-07-03 22:30:40+00:00
Bibi Saint-Pol	980	67	2004-07-26 11:48:17+00:00	2015-10-12 13:38:14+00:00
Gribeco	309	63	2006-05-13 04:45:55+00:00	2017-04-22 22:37:53+00:00
Salix	648	62	2007-01-08 11:48:15+00:00	2020-05-26 11:39:52+00:00
NicoScribe	121	62	2015-10-04 18:07:01+00:00	2020-07-18 22:28:15+00:00
Pwet-pwet	275	62	2006-12-06 13:22:53+00:00	2013-08-24 12:12:56+00:00
Dodoïste	278	61	2008-03-11 14:00:56+00:00	2011-02-04 01:16:26+00:00
FH	262	58	2004-08-19 07:04:32+00:00	2007-05-09 08:52:21+00:00
Hégésippe Cormier	427	56	2004-11-23 18:12:52+00:00	2020-07-07 09:29:55+00:00
Rémih	80	55	2007-07-16 20:17:08+00:00	2015-02-25 15:45:39+00:00
Thibaut120094	222	55	2014-10-03 17:16:57+00:00	2020-07-07 08:41:05+00:00
Teofilo	232	54	2005-02-06 14:27:43+00:00	2013-01-28 13:00:11+00:00
Jean-Christophe BENOIST	982	52	2009-02-11 09:14:27+00:00	2020-07-21 09:08:04+00:00
Lgd	293	50	2006-08-26 08:31:32+00:00	2012-06-21 08:20:37+00:00
Sherbrooke	208	50	2005-11-06 13:25:27+00:00	2008-11-24 19:20:53+00:00
Hercule	237	50	2007-08-24 14:13:37+00:00	2019-11-29 09:06:13+00:00
Marc Mongenet	242	49	2004-05-03 03:40:33+00:00	2020-05-01 08:37:23+00:00
IP 84.5	121	49	2006-07-16 18:57:50+00:00	2008-02-12 15:07:03+00:00
