,userid,name,editcount,registration,gender,editor,checkuser,ipblock-exempt,autoconfirmed,oversight,user,interface-admin,bureaucrat,noratelimit,import,autoreview,sysop
0,127709,DerHexer,170006,,male,True,False,False,True,False,True,False,False,False,False,False,True
1,44,Elian,27553,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
2,250642,Matthiasb,182922,2006-07-15T09:44:32Z,male,True,False,False,True,False,True,False,False,False,False,True,False
3,29427,Cepheiden,73006,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
4,91108,W!B:,276594,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
5,10164,Wiegels,221296,,male,True,False,False,True,False,True,False,False,False,False,True,False
6,54544,Sebmol,29660,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
7,310926,PerfektesChaos,105948,2006-11-26T14:15:19Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
8,1308992,Lómelinde,160461,2011-10-14T06:50:21Z,female,True,False,False,True,False,True,False,False,False,False,True,False
9,41118,Rax,74439,,unknown,True,True,False,True,False,True,True,False,False,False,True,True
10,4669,Asthma,88178,,unknown,True,False,False,True,False,True,False,False,False,False,False,False
11,234917,Eneas,6546,2006-06-07T09:14:38Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
12,204203,Benatrevqre,125882,2006-03-28T14:30:33Z,male,True,False,True,True,False,True,False,False,False,False,True,False
13,3018,Ziko,19100,,male,True,False,False,True,False,True,False,False,False,False,True,False
14,8392,Southpark,57340,,unknown,True,False,True,True,False,True,False,False,False,False,True,False
15,527052,Geitost,57652,2008-03-05T21:18:30Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
16,323079,SDB,96465,2006-12-18T22:36:22Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
17,174216,Harry8,578289,2006-01-15T21:02:15Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
18,94594,Tilla,76629,,male,True,False,True,True,False,True,False,False,False,False,True,False
19,586457,Magiers,40918,2008-07-18T17:10:51Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
20,45605,Carbidfischer,51676,,unknown,True,False,False,True,False,True,False,False,False,False,False,True
21,7564,HaeB,37208,,unknown,True,False,False,True,False,True,False,False,False,False,True,True
22,9787,Gestumblindi,53175,,unknown,True,False,True,True,False,True,False,False,False,False,True,True
23,69518,Kh80,25987,,unknown,True,False,True,True,False,True,False,False,False,False,True,False
24,50217,Fossa,58818,,unknown,True,False,True,True,False,True,False,False,False,False,True,False
25,491177,Verzettelung,67607,2007-12-19T05:21:02Z,male,True,False,False,True,False,True,False,False,False,False,True,False
26,3332,Ralf Roletschek,96490,,unknown,True,False,True,True,False,True,False,False,False,False,True,False
27,364,JakobVoss,17042,,female,True,False,False,True,False,True,False,False,False,False,True,False
28,685,Ulrich.fuchs,14680,,unknown,False,False,False,True,False,True,False,False,False,False,False,False
29,64825,Tolanor,25937,,unknown,True,False,False,True,False,True,False,False,False,False,False,False
30,308982,Rosenkohl,27828,2006-11-22T20:09:42Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
31,66974,Gunther,22582,,unknown,False,False,False,True,False,True,False,False,False,False,False,False
32,226562,XenonX3,160368,2006-05-20T20:30:50Z,male,True,False,True,True,False,True,False,False,False,False,True,True
33,7921,Stern,46313,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
34,56380,Flominator,116372,,unknown,True,False,False,True,False,True,False,False,False,True,True,True
35,1981,Matt1971,69045,,male,True,False,False,True,False,True,False,False,False,False,False,False
36,23657,TheK,42922,,male,True,False,False,True,False,True,False,False,False,False,False,False
37,35543,Lustiger seth,40875,,unknown,True,False,False,True,False,True,True,False,False,False,True,True
38,20294,Sicherlich,99332,,female,True,False,False,True,False,True,False,False,False,False,True,False
39,21905,P. Birken,38640,,unknown,True,False,False,True,False,True,False,False,False,False,False,False
40,492187,Inkowik,143893,2007-12-21T15:17:54Z,male,True,False,False,True,False,True,False,False,False,False,True,False
41,91728,23.144186.42,1504,,unknown,False,False,False,True,False,True,False,False,False,False,False,False
42,2161,Tsor,125870,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
43,109459,Androl,59793,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
44,139377,H-stt,65345,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
45,81237,KaiMartin,49536,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
46,553254,Grip99,11432,2008-05-04T06:03:14Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
47,350389,BurghardRichter,40354,2007-02-07T13:46:30Z,male,True,False,False,True,False,True,False,False,False,False,True,False
48,248863,Oliver S.Y.,124070,2006-07-10T22:25:21Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
49,38244,Dealerofsalvation,31494,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
50,7,Kurt Jansson,12336,,unknown,True,False,False,True,False,True,False,False,False,False,True,True
51,50922,Achim Raschka,131049,,unknown,True,False,False,True,False,True,False,False,True,False,True,True
52,203254,Church of emacs,26846,2006-03-26T11:01:33Z,unknown,True,False,False,True,False,True,False,False,False,False,True,False
53,916404,Sokonbud,15313,2010-01-22T17:48:37Z,male,True,False,False,True,False,True,False,False,False,False,True,False
54,25174,-jkb-,85158,,unknown,True,False,True,True,False,True,False,False,False,False,True,False
55,882924,Hæggis,11569,2009-12-02T20:43:52Z,unknown,True,False,False,True,False,True,False,False,False,False,False,False
56,32230,Carbenium,12459,,unknown,True,False,False,True,False,True,False,False,False,False,True,False
57,61326,Berlin-Jurist,16396,,unknown,True,False,False,True,False,True,False,False,False,False,False,False
