,userid,name,editcount,registration,gender,checkuser,ipblock-exempt,autopatrolled,autoconfirmed,rollbacker,oversight,patroller,user,bureaucrat,interface-admin,sysop
0,1122788,Hprmedina,29182,2009-06-21T04:23:57Z,male,False,False,False,True,True,False,True,True,False,False,False
1,80935,Paintman,30550,,unknown,False,False,False,True,False,False,False,True,False,False,False
2,32328,Taichi,125624,,male,False,False,False,True,False,False,False,True,True,False,True
3,2545358,Addbot,305587,2013-03-01T15:57:34Z,unknown,False,False,False,True,False,False,False,True,False,False,False
4,305784,Belgrano,20752,2007-02-09T14:08:22Z,male,False,False,False,True,False,False,False,True,False,False,False
5,536307,Farisori,115523,2007-10-13T19:38:22Z,unknown,False,False,False,True,False,False,False,True,True,False,True
6,380141,Ensada,34361,2007-04-25T22:54:07Z,unknown,False,False,False,True,False,False,False,True,False,False,False
7,214907,Muro de Aguas,57546,2006-09-13T14:50:30Z,male,False,False,False,True,False,False,False,True,False,False,False
8,2104111,LlamaAl,28156,2012-01-31T22:03:19Z,male,False,False,False,True,False,False,False,True,True,False,True
9,2014907,Gusama Romero,74295,2011-11-11T23:01:58Z,male,False,False,True,True,True,False,False,True,False,False,False
10,7856,Sanbec,31083,,male,False,False,False,True,False,False,False,True,False,False,False
11,704456,Diegusjaimes,330104,2008-05-10T14:56:28Z,male,False,False,False,True,False,False,False,True,False,False,False
12,1310500,Ontzak,274643,2009-12-08T10:30:15Z,male,False,True,False,True,True,False,True,True,False,False,False
13,2075,Sabbut,130254,,male,False,False,False,True,False,False,False,True,True,False,True
14,268920,Jmvkrecords,73183,2006-11-30T09:11:55Z,male,False,False,False,True,True,False,True,True,False,False,False
15,1132599,Jcfidy,39161,2009-06-30T16:41:57Z,male,False,False,False,True,True,False,True,True,False,False,False
16,48844,Ferbr1,23373,,male,False,False,False,True,True,False,True,True,False,False,False
17,265898,Pólux,98881,2006-11-26T02:11:54Z,male,False,False,False,True,True,False,True,True,False,False,False
18,879361,Nixón,35187,2008-11-06T17:28:48Z,male,False,False,False,True,True,False,True,True,False,False,False
19,5874,Angus,19382,,unknown,False,False,False,True,False,False,False,True,True,True,True
20,1998153,Green Mostaza,30086,2011-10-31T01:09:23Z,male,False,False,False,True,True,False,True,True,False,False,False
21,277901,DonBarredora,47218,2006-12-15T14:43:32Z,male,False,False,True,True,True,False,False,True,False,False,False
22,1708233,Metrónomo,74176,2011-01-18T07:01:05Z,male,False,False,False,True,False,False,True,True,False,False,False
23,1247425,Ganímedes,86628,2009-10-11T19:23:59Z,female,False,False,True,True,True,False,False,True,False,False,False
24,34991,Magister Mathematicae,51006,,unknown,False,False,False,True,True,False,True,True,False,False,False
25,9305,Comae,8502,,male,False,False,False,True,False,False,False,True,False,False,False
26,583284,Poco a poco,128393,2007-12-09T16:12:01Z,male,False,False,False,True,False,False,False,True,True,False,True
27,26886,Taragui,24665,,unknown,False,False,False,True,False,False,False,True,False,False,False
28,103601,-jem-,36841,2006-02-27T11:09:01Z,male,False,True,False,True,False,True,False,True,True,False,True
29,3114926,Jarould,309246,2014-06-10T03:04:12Z,male,False,False,False,True,True,False,True,True,False,False,False
30,584148,BetoCG,51318,2007-12-10T22:45:35Z,male,False,False,False,True,False,False,False,True,True,False,True
31,16025,Tano4595,67360,,unknown,False,False,False,True,False,False,False,True,False,False,False
32,130789,Jorge,36050,2006-04-20T00:03:29Z,male,False,False,True,True,False,False,False,True,False,False,False
33,13770,Dodo,107631,,unknown,False,False,False,True,False,False,False,True,False,False,False
34,81805,Axxgreazz,27693,,male,False,False,False,True,True,False,True,True,False,False,False
35,23458,Balderai,21459,,unknown,False,False,False,True,False,False,False,True,False,False,False
36,1213586,Born2bgratis,16941,2009-09-11T18:52:11Z,male,False,False,True,True,False,False,False,True,False,False,False
37,38723,Alhen,24706,,unknown,True,False,False,True,False,False,False,True,True,False,True
38,134522,Escarlati,100275,2006-04-26T00:15:26Z,unknown,False,False,True,True,True,False,False,True,False,False,False
39,305936,Libertad y Saber,18361,2007-02-09T17:29:02Z,unknown,False,False,True,True,False,False,False,True,False,False,False
40,68600,Maldoror,16490,,unknown,False,False,False,True,False,False,False,True,False,False,False
41,686595,MarcoAurelio,25873,2008-04-20T11:16:11Z,male,False,False,False,True,True,False,True,True,False,False,False
42,38328,Platonides,17885,,unknown,False,False,False,True,False,True,False,True,True,False,True
43,4391843,Leoncastro,51558,2016-10-19T00:50:09Z,unknown,False,False,True,True,True,False,False,True,False,False,False
44,314642,Matdrodes,151725,2007-02-20T11:33:42Z,unknown,False,False,False,True,False,False,False,True,False,False,False
45,242544,Netito777,98748,2006-10-24T01:58:37Z,male,False,False,False,True,False,False,False,True,True,False,True
46,100047,Thanos,8034,2006-02-19T20:42:38Z,unknown,False,False,False,True,False,False,False,True,False,False,False
47,292327,Technopat,378588,2007-01-20T10:21:34Z,unknown,False,False,False,True,True,False,True,True,False,False,False
48,75723,Tomatejc,35144,,male,False,False,False,True,True,False,True,True,False,False,False
49,162631,RoyFocker,57353,2006-06-10T07:10:28Z,male,False,False,False,True,False,False,False,True,True,False,True
50,106196,Ignacio Icke,24610,2006-03-04T23:15:54Z,unknown,False,False,False,True,False,False,False,True,False,False,False
51,4082,ManuelGR,7902,,unknown,False,False,False,True,False,False,False,True,False,False,False
52,28943,Petronas,188333,,unknown,False,False,False,True,True,False,True,True,False,False,False
53,635989,UA31,237782,2008-02-22T19:01:55Z,unknown,False,False,False,True,False,False,False,True,True,False,True
54,1731613,XanaG,42421,2011-02-10T02:02:43Z,female,False,False,False,True,False,False,False,True,True,True,True
55,23575,Ecemaml,91871,,unknown,False,False,False,True,False,False,False,True,False,False,False
56,4126915,Triplecaña,49848,2016-02-26T11:33:02Z,male,False,False,False,True,True,False,True,True,False,False,False
57,2080062,Tximitx,8757,2012-01-12T20:34:03Z,male,False,False,False,True,False,False,False,True,False,False,False
58,695527,Ezarate,70639,2008-04-30T00:32:10Z,unknown,False,False,False,True,False,False,False,True,True,True,True
59,1839066,VR0,29705,2011-05-29T18:18:19Z,male,False,False,False,True,False,False,False,True,False,False,False
60,496681,HUB,72862,2007-09-04T05:16:57Z,unknown,False,False,False,True,True,False,True,True,False,False,False
61,226250,Mercenario97,66669,2006-09-30T23:22:44Z,male,False,False,False,True,False,False,True,True,False,False,False
62,242533,Humberto,62955,2006-10-24T01:39:18Z,male,False,False,False,True,False,False,False,True,False,False,False
63,936194,Jkbw,336382,2009-01-14T15:11:17Z,unknown,False,False,False,True,True,False,True,True,False,False,False
64,1554022,CHUCAO,54272,2010-07-27T22:20:16Z,male,False,False,False,True,True,False,True,True,False,False,False
65,494916,Jaontiveros,50685,2007-09-02T15:57:02Z,unknown,False,False,True,True,False,False,False,True,False,False,False
66,564791,Mar del Sur,31185,2007-11-13T18:45:27Z,female,False,False,False,True,False,False,False,True,False,False,False
67,395992,Cobalttempest,36717,2007-05-10T21:14:53Z,male,False,False,False,True,False,False,False,True,False,False,False
68,183211,Gusgus,37622,2006-07-22T19:42:24Z,female,False,False,False,True,False,False,False,True,False,False,False
69,758296,Wikisilki,33211,2008-07-10T00:49:09Z,male,False,False,True,True,True,False,False,True,False,False,False
70,51606,Lobillo,40903,,male,False,True,True,True,False,False,False,True,False,False,False
71,32187,Yrithinnd,17235,,unknown,False,False,False,True,False,False,False,True,False,False,False
