title	lang
ویکی‌پدیا:1Lib1Ref	fa
ویکی‌پدیا:AutoWikiBrowser/CheckPage	fa
ویکی‌پدیا:AutoWikiBrowser/CheckPageJSON	fa
ویکی‌پدیا:AutoWikiBrowser/Config	fa
ویکی‌پدیا:AutoWikiBrowser/CurrentVersion	fa
ویکی‌پدیا:AutoWikiBrowser/Template redirects	fa
ویکی‌پدیا:AutoWikiBrowser/Typos	fa
ویکی‌پدیا:Bureaucrat log	fa
ویکی‌پدیا:CSVLoader	fa
ویکی‌پدیا:CSVLoader/رهنمود	fa
ویکی‌پدیا:EBSCO	fa
ویکی‌پدیا:Huggle/Config	fa
ویکی‌پدیا:Huggle/Config.yaml	fa
ویکی‌پدیا:LiveRC	fa
ویکی‌پدیا:LiveRC/توضیحات	fa
ویکی‌پدیا:Map data/Wikipedia KML/Allen Road	fa
ویکی‌پدیا:Map data/Wikipedia KML/Black Creek Drive	fa
ویکی‌پدیا:Map data/Wikipedia KML/Cabin John Parkway	fa
ویکی‌پدیا:Map data/Wikipedia KML/Don Valley Parkway	fa
ویکی‌پدیا:Map data/Wikipedia KML/Gardiner Expressway	fa
ویکی‌پدیا:Map data/Wikipedia KML/Montana Highway 48	fa
ویکی‌پدیا:Map data/Wikipedia KML/Ontario Highway 2	fa
ویکی‌پدیا:Map data/Wikipedia KML/Ontario Highway 27	fa
ویکی‌پدیا:Map data/Wikipedia KML/Ontario Highway 404	fa
ویکی‌پدیا:Map data/Wikipedia KML/Ontario Highway 427	fa
ویکی‌پدیا:WikiProject Check Wikipedia/analysis 526	fa
ویکی‌پدیا:«از همه مقررات چشم‌پوشی کنید» یعنی چه؟	fa
ویکی‌پدیا:آتش بس	fa
ویکی‌پدیا:آداب معاشرت	fa
ویکی‌پدیا:آدام متیو	fa
ویکی‌پدیا:آرآی‌پی‌ام	fa
ویکی‌پدیا:آرتی‌آرسی	fa
ویکی‌پدیا:آزادی بیان	fa
ویکی‌پدیا:آزار	fa
ویکی‌پدیا:آزمون اردک	fa
ویکی‌پدیا:آشنایی با دانشنامه	fa
ویکی‌پدیا:آموزش	fa
ویکی‌پدیا:آموزش/YouTube link	fa
ویکی‌پدیا:آموزش/بالا	fa
ویکی‌پدیا:آموزش/بالا۲	fa
ویکی‌پدیا:آموزش/برای دانشجویان	fa
ویکی‌پدیا:آموزش/برای دانشجویان/آغاز	fa
ویکی‌پدیا:آموزش/برای دانشجویان/آغاز به کار ۱	fa
ویکی‌پدیا:آموزش/برای دانشجویان/آغاز به کار ۲	fa
ویکی‌پدیا:آموزش/برای دانشجویان/اثبات‌پذیری	fa
