title	lang
Wikipédia:1bib1ref 2018	pt
Wikipédia:20 anos	pt
Wikipédia:AFI para alemão	pt
Wikipédia:AFI para birmanês	pt
Wikipédia:AFI para castelhano	pt
Wikipédia:AFI para francês	pt
Wikipédia:AFI para húngaro	pt
Wikipédia:AFI para inglês	pt
Wikipédia:AFI para italiano	pt
Wikipédia:AFI para português e galego	pt
Wikipédia:AFI para russo	pt
Wikipédia:AFI para servo-croata	pt
Wikipédia:AFI para tcheco e eslovaco	pt
Wikipédia:AFI para vietnamita	pt
Wikipédia:AFI para árabe	pt
Wikipédia:A Biblioteca da Wikipédia	pt
Wikipédia:A Wikipédia contém spoilers	pt
Wikipédia:A Wikipédia na academia	pt
Wikipédia:A Wikipédia na imprensa	pt
Wikipédia:A Wikipédia na imprensa/Arquivo/2009	pt
Wikipédia:A Wikipédia na imprensa/Arquivo/2010	pt
Wikipédia:A Wikipédia na imprensa/Arquivo/2011	pt
Wikipédia:A Wikipédia na imprensa/Arquivo/2012	pt
Wikipédia:A Wikipédia na imprensa/Arquivo/2013	pt
Wikipédia:A Wikipédia não está aqui para divulgar ao mundo a sua causa nobre	pt
Wikipédia:A Wikipédia não possui regras fixas além dos cinco pilares	pt
Wikipédia:A Wikipédia não é asilo	pt
Wikipédia:A Wikipédia não é assim tão importante	pt
Wikipédia:A Wikipédia não é o lugar para publicar seu currículo	pt
Wikipédia:A Wikipédia não é um dicionário	pt
Wikipédia:A Wikipédia não é um fórum de discussões	pt
Wikipédia:A Wikipédia não é uma questão de vitória	pt
Wikipédia:A Wikipédia é uma fonte terciária	pt
Wikipédia:A enciclopédia livre	pt
Wikipédia:Academia	pt
Wikipédia:Acessibilidade	pt
Wikipédia:Acesso móvel	pt
Wikipédia:Administradores	pt
Wikipédia:Administradores/Lista	pt
Wikipédia:Administradores/Pedidos de aprovação	pt
Wikipédia:Administradores/Pedidos de remoção	pt
Wikipédia:Administradores/Relatório	pt
Wikipédia:Administradores de interface	pt
Wikipédia:Administradores de interface/Pedidos de aprovação	pt
Wikipédia:Adminitis	pt
Wikipédia:Agora não	pt
Wikipédia:Alfabeto fonético internacional	pt
Wikipédia:Alfabeto fonético internacional para asturo-leonês	pt
Wikipédia:Anexo	pt
Wikipédia:Aniversário dos wikipedistas	pt
Wikipédia:Antes de comentar em uma discussão de eliminação	pt
Wikipédia:Argumento da bola de neve	pt
Wikipédia:Argumentos a evitar em discussões de eliminação	pt
Wikipédia:Argumentos para evitar em pedidos de administração	pt
Wikipédia:Argumentos pertinentes em discussões de eliminação	pt
Wikipédia:Argumentum ad Jimbonem	pt
Wikipédia:Artigo	pt
Wikipédia:Artigo cabideiro	pt
Wikipédia:Artigos a aprofundar	pt
Wikipédia:Artigos bons	pt
Wikipédia:Artigos com apenas uma fonte	pt
Wikipédia:Artigos curtos	pt
Wikipédia:Artigos destacados	pt
Wikipédia:Artigos destacados em outras línguas	pt
Wikipédia:Artigos essenciais	pt
Wikipédia:Artigos mais visitados	pt
Wikipédia:Artigos peculiares	pt
Wikipédia:Artigos pedidos	pt
Wikipédia:Artigos pedidos/Arte e entretenimento	pt
Wikipédia:Artigos pedidos/Arte e entretenimento/Jogos eletrônicos	pt
Wikipédia:Artigos pedidos/Biografias	pt
Wikipédia:Artigos pedidos/Ciências da vida	pt
Wikipédia:Artigos pedidos/Esporte	pt
Wikipédia:Artigos pedidos/Geografia	pt
Wikipédia:Artigos pedidos/História	pt
Wikipédia:Artigos sem saída	pt
Wikipédia:Artigos órfãos	pt
Wikipédia:As Sete Idades dos Wikipedistas	pt
Wikipédia:Assumindo a má-fé	pt
Wikipédia:Assédio moral	pt
Wikipédia:Atalho	pt
Wikipédia:Atribuição	pt
Wikipédia:AutoWikiBrowser	pt
Wikipédia:AutoWikiBrowser/CheckPage	pt
Wikipédia:AutoWikiBrowser/CheckPageJSON	pt
Wikipédia:AutoWikiBrowser/Config	pt
Wikipédia:AutoWikiBrowser/Configurações	pt
Wikipédia:AutoWikiBrowser/Manual	pt
Wikipédia:AutoWikiBrowser/Template redirects	pt
Wikipédia:AutoWikiBrowser/Typos	pt
Wikipédia:AutoWikiBrowser/Typos/Guia	pt
Wikipédia:AutoWikiBrowser/User talk templates	pt
Wikipédia:Autobiografia	pt
Wikipédia:Autoconfirmados	pt
Wikipédia:Autorrevisores	pt
Wikipédia:Avaliadores	pt
Wikipédia:Avaliação de administradores	pt
Wikipédia:Avaliação de editores	pt
Wikipédia:Aviso de conteúdo	pt
Wikipédia:Aviso de risco	pt
Wikipédia:Aviso geral	pt
Wikipédia:Aviso legal	pt
Wikipédia:Aviso médico	pt
Wikipédia:Babel	pt
Wikipédia:Banners da Wikipedia	pt
Wikipédia:Batendo com uma Truta Molhada	pt
Wikipédia:Beta de multimídia	pt
Wikipédia:Biblioteca	pt
Wikipédia:Biografias de pessoas vivas	pt
Wikipédia:Block log	pt
Wikipédia:Boas-vindas	pt
Wikipédia:Bombardeamento de fontes	pt
Wikipédia:Bureaucrat log	pt
Wikipédia:Burocratas	pt
Wikipédia:COinS	pt
Wikipédia:CSVLoader/Tutorial	pt
Wikipédia:Café dos categorizadores	pt
Wikipédia:Café dos novatos	pt
Wikipédia:Café dos programadores	pt
Wikipédia:Café dos programadores/Arquivo/2011/1	pt
Wikipédia:Café dos programadores/Arquivo/2017/3	pt
Wikipédia:Café dos tradutores/Arquivo/2012	pt
Wikipédia:Café dos tradutores/Arquivo/2018	pt
Wikipédia:Campeonato de xadrez	pt
Wikipédia:Canais externos de comunicação	pt
Wikipédia:Candidatos a artigo	pt
Wikipédia:Candidatos a artigo/AEL Limassol	pt
Wikipédia:Candidatos a artigo/Agricultura itinerante	pt
Wikipédia:Candidatos a artigo/Andreas Heraf	pt
Wikipédia:Candidatos a artigo/Arturo Sanhueza	pt
Wikipédia:Candidatos a artigo/Associazione Calcio Reggiana 1919	pt
Wikipédia:Candidatos a artigo/Associação Garanhuense de Atletismo	pt
Wikipédia:Candidatos a artigo/Associação Xanxerense de Futebol	pt
Wikipédia:Candidatos a artigo/Avenida Caxangá	pt
Wikipédia:Candidatos a artigo/Castelo de Florennes	pt
