month,total.total,timeRange.start,timeRange.end
2001-01-01T00:00:00.000Z,0,2001-01-01T00:00:00.000Z,2001-01-02T00:00:00.000Z
2001-02-01T00:00:00.000Z,0,2001-02-01T00:00:00.000Z,2001-02-02T00:00:00.000Z
2001-03-01T00:00:00.000Z,0,2001-03-01T00:00:00.000Z,2001-03-02T00:00:00.000Z
2001-04-01T00:00:00.000Z,0,2001-04-01T00:00:00.000Z,2001-04-02T00:00:00.000Z
2001-05-01T00:00:00.000Z,0,2001-05-01T00:00:00.000Z,2001-05-02T00:00:00.000Z
2001-06-01T00:00:00.000Z,0,2001-06-01T00:00:00.000Z,2001-06-02T00:00:00.000Z
2001-07-01T00:00:00.000Z,0,2001-07-01T00:00:00.000Z,2001-07-02T00:00:00.000Z
2001-08-01T00:00:00.000Z,1,2001-08-01T00:00:00.000Z,2001-08-02T00:00:00.000Z
2001-09-01T00:00:00.000Z,8,2001-09-01T00:00:00.000Z,2001-09-02T00:00:00.000Z
2001-10-01T00:00:00.000Z,9,2001-10-01T00:00:00.000Z,2001-10-02T00:00:00.000Z
2001-11-01T00:00:00.000Z,3,2001-11-01T00:00:00.000Z,2001-11-02T00:00:00.000Z
2001-12-01T00:00:00.000Z,12,2001-12-01T00:00:00.000Z,2001-12-02T00:00:00.000Z
2002-01-01T00:00:00.000Z,18,2002-01-01T00:00:00.000Z,2002-01-02T00:00:00.000Z
2002-02-01T00:00:00.000Z,36,2002-02-01T00:00:00.000Z,2002-02-02T00:00:00.000Z
2002-03-01T00:00:00.000Z,7,2002-03-01T00:00:00.000Z,2002-03-02T00:00:00.000Z
2002-04-01T00:00:00.000Z,5,2002-04-01T00:00:00.000Z,2002-04-02T00:00:00.000Z
2002-05-01T00:00:00.000Z,5,2002-05-01T00:00:00.000Z,2002-05-02T00:00:00.000Z
2002-06-01T00:00:00.000Z,4,2002-06-01T00:00:00.000Z,2002-06-02T00:00:00.000Z
2002-07-01T00:00:00.000Z,3,2002-07-01T00:00:00.000Z,2002-07-02T00:00:00.000Z
2002-08-01T00:00:00.000Z,5,2002-08-01T00:00:00.000Z,2002-08-02T00:00:00.000Z
2002-09-01T00:00:00.000Z,4,2002-09-01T00:00:00.000Z,2002-09-02T00:00:00.000Z
2002-10-01T00:00:00.000Z,23,2002-10-01T00:00:00.000Z,2002-10-02T00:00:00.000Z
2002-11-01T00:00:00.000Z,22,2002-11-01T00:00:00.000Z,2002-11-02T00:00:00.000Z
2002-12-01T00:00:00.000Z,25,2002-12-01T00:00:00.000Z,2002-12-02T00:00:00.000Z
2003-01-01T00:00:00.000Z,40,2003-01-01T00:00:00.000Z,2003-01-02T00:00:00.000Z
2003-02-01T00:00:00.000Z,33,2003-02-01T00:00:00.000Z,2003-02-02T00:00:00.000Z
2003-03-01T00:00:00.000Z,31,2003-03-01T00:00:00.000Z,2003-03-02T00:00:00.000Z
2003-04-01T00:00:00.000Z,33,2003-04-01T00:00:00.000Z,2003-04-02T00:00:00.000Z
2003-05-01T00:00:00.000Z,46,2003-05-01T00:00:00.000Z,2003-05-02T00:00:00.000Z
2003-06-01T00:00:00.000Z,49,2003-06-01T00:00:00.000Z,2003-06-02T00:00:00.000Z
2003-07-01T00:00:00.000Z,66,2003-07-01T00:00:00.000Z,2003-07-02T00:00:00.000Z
2003-08-01T00:00:00.000Z,111,2003-08-01T00:00:00.000Z,2003-08-02T00:00:00.000Z
2003-09-01T00:00:00.000Z,109,2003-09-01T00:00:00.000Z,2003-09-02T00:00:00.000Z
2003-10-01T00:00:00.000Z,109,2003-10-01T00:00:00.000Z,2003-10-02T00:00:00.000Z
2003-11-01T00:00:00.000Z,161,2003-11-01T00:00:00.000Z,2003-11-02T00:00:00.000Z
2003-12-01T00:00:00.000Z,129,2003-12-01T00:00:00.000Z,2003-12-02T00:00:00.000Z
2004-01-01T00:00:00.000Z,141,2004-01-01T00:00:00.000Z,2004-01-02T00:00:00.000Z
2004-02-01T00:00:00.000Z,169,2004-02-01T00:00:00.000Z,2004-02-02T00:00:00.000Z
2004-03-01T00:00:00.000Z,305,2004-03-01T00:00:00.000Z,2004-03-02T00:00:00.000Z
