month,total.total,timeRange.start,timeRange.end
2008-12-19T00:00:00.000Z,735,2008-12-19T00:00:00.000Z,2008-12-20T00:00:00.000Z
2008-12-20T00:00:00.000Z,752,2008-12-20T00:00:00.000Z,2008-12-21T00:00:00.000Z
2008-12-21T00:00:00.000Z,757,2008-12-21T00:00:00.000Z,2008-12-22T00:00:00.000Z
2008-12-22T00:00:00.000Z,786,2008-12-22T00:00:00.000Z,2008-12-23T00:00:00.000Z
2008-12-23T00:00:00.000Z,802,2008-12-23T00:00:00.000Z,2008-12-24T00:00:00.000Z
2008-12-24T00:00:00.000Z,659,2008-12-24T00:00:00.000Z,2008-12-25T00:00:00.000Z
2008-12-25T00:00:00.000Z,508,2008-12-25T00:00:00.000Z,2008-12-26T00:00:00.000Z
2008-12-26T00:00:00.000Z,671,2008-12-26T00:00:00.000Z,2008-12-27T00:00:00.000Z
2008-12-27T00:00:00.000Z,718,2008-12-27T00:00:00.000Z,2008-12-28T00:00:00.000Z
2008-12-28T00:00:00.000Z,754,2008-12-28T00:00:00.000Z,2008-12-29T00:00:00.000Z
2008-12-29T00:00:00.000Z,817,2008-12-29T00:00:00.000Z,2008-12-30T00:00:00.000Z
2008-12-30T00:00:00.000Z,762,2008-12-30T00:00:00.000Z,2008-12-31T00:00:00.000Z
2008-12-31T00:00:00.000Z,704,2008-12-31T00:00:00.000Z,2009-01-01T00:00:00.000Z
2009-01-01T00:00:00.000Z,695,2009-01-01T00:00:00.000Z,2009-01-02T00:00:00.000Z
2009-01-02T00:00:00.000Z,856,2009-01-02T00:00:00.000Z,2009-01-03T00:00:00.000Z
2009-01-03T00:00:00.000Z,857,2009-01-03T00:00:00.000Z,2009-01-04T00:00:00.000Z
2009-01-04T00:00:00.000Z,872,2009-01-04T00:00:00.000Z,2009-01-05T00:00:00.000Z
2009-01-05T00:00:00.000Z,855,2009-01-05T00:00:00.000Z,2009-01-06T00:00:00.000Z
2009-01-06T00:00:00.000Z,823,2009-01-06T00:00:00.000Z,2009-01-07T00:00:00.000Z
2009-01-07T00:00:00.000Z,814,2009-01-07T00:00:00.000Z,2009-01-08T00:00:00.000Z
2009-01-08T00:00:00.000Z,847,2009-01-08T00:00:00.000Z,2009-01-09T00:00:00.000Z
2009-01-09T00:00:00.000Z,801,2009-01-09T00:00:00.000Z,2009-01-10T00:00:00.000Z
2009-01-10T00:00:00.000Z,848,2009-01-10T00:00:00.000Z,2009-01-11T00:00:00.000Z
2009-01-11T00:00:00.000Z,875,2009-01-11T00:00:00.000Z,2009-01-12T00:00:00.000Z
2009-01-12T00:00:00.000Z,853,2009-01-12T00:00:00.000Z,2009-01-13T00:00:00.000Z
2009-01-13T00:00:00.000Z,886,2009-01-13T00:00:00.000Z,2009-01-14T00:00:00.000Z
2009-01-14T00:00:00.000Z,866,2009-01-14T00:00:00.000Z,2009-01-15T00:00:00.000Z
2009-01-15T00:00:00.000Z,816,2009-01-15T00:00:00.000Z,2009-01-16T00:00:00.000Z
2009-01-16T00:00:00.000Z,842,2009-01-16T00:00:00.000Z,2009-01-17T00:00:00.000Z
2009-01-17T00:00:00.000Z,830,2009-01-17T00:00:00.000Z,2009-01-18T00:00:00.000Z
2009-01-18T00:00:00.000Z,889,2009-01-18T00:00:00.000Z,2009-01-19T00:00:00.000Z
2009-01-19T00:00:00.000Z,852,2009-01-19T00:00:00.000Z,2009-01-20T00:00:00.000Z
2009-01-20T00:00:00.000Z,842,2009-01-20T00:00:00.000Z,2009-01-21T00:00:00.000Z
2009-01-21T00:00:00.000Z,915,2009-01-21T00:00:00.000Z,2009-01-22T00:00:00.000Z
2009-01-22T00:00:00.000Z,841,2009-01-22T00:00:00.000Z,2009-01-23T00:00:00.000Z
2009-01-23T00:00:00.000Z,862,2009-01-23T00:00:00.000Z,2009-01-24T00:00:00.000Z
2009-01-24T00:00:00.000Z,873,2009-01-24T00:00:00.000Z,2009-01-25T00:00:00.000Z
2009-01-25T00:00:00.000Z,909,2009-01-25T00:00:00.000Z,2009-01-26T00:00:00.000Z
2009-01-26T00:00:00.000Z,892,2009-01-26T00:00:00.000Z,2009-01-27T00:00:00.000Z
2009-01-27T00:00:00.000Z,888,2009-01-27T00:00:00.000Z,2009-01-28T00:00:00.000Z
2009-01-28T00:00:00.000Z,901,2009-01-28T00:00:00.000Z,2009-01-29T00:00:00.000Z
2009-01-29T00:00:00.000Z,898,2009-01-29T00:00:00.000Z,2009-01-30T00:00:00.000Z
2009-01-30T00:00:00.000Z,879,2009-01-30T00:00:00.000Z,2009-01-31T00:00:00.000Z
2009-01-31T00:00:00.000Z,832,2009-01-31T00:00:00.000Z,2009-02-01T00:00:00.000Z
2009-02-01T00:00:00.000Z,887,2009-02-01T00:00:00.000Z,2009-02-02T00:00:00.000Z
2009-02-02T00:00:00.000Z,829,2009-02-02T00:00:00.000Z,2009-02-03T00:00:00.000Z
2009-02-03T00:00:00.000Z,835,2009-02-03T00:00:00.000Z,2009-02-04T00:00:00.000Z
2009-02-04T00:00:00.000Z,894,2009-02-04T00:00:00.000Z,2009-02-05T00:00:00.000Z
2009-02-05T00:00:00.000Z,812,2009-02-05T00:00:00.000Z,2009-02-06T00:00:00.000Z
2009-02-06T00:00:00.000Z,872,2009-02-06T00:00:00.000Z,2009-02-07T00:00:00.000Z
2009-02-07T00:00:00.000Z,869,2009-02-07T00:00:00.000Z,2009-02-08T00:00:00.000Z
2009-02-08T00:00:00.000Z,859,2009-02-08T00:00:00.000Z,2009-02-09T00:00:00.000Z
2009-02-09T00:00:00.000Z,851,2009-02-09T00:00:00.000Z,2009-02-10T00:00:00.000Z
2009-02-10T00:00:00.000Z,913,2009-02-10T00:00:00.000Z,2009-02-11T00:00:00.000Z
2009-02-11T00:00:00.000Z,896,2009-02-11T00:00:00.000Z,2009-02-12T00:00:00.000Z
2009-02-12T00:00:00.000Z,838,2009-02-12T00:00:00.000Z,2009-02-13T00:00:00.000Z
2009-02-13T00:00:00.000Z,860,2009-02-13T00:00:00.000Z,2009-02-14T00:00:00.000Z
2009-02-14T00:00:00.000Z,870,2009-02-14T00:00:00.000Z,2009-02-15T00:00:00.000Z
2009-02-15T00:00:00.000Z,877,2009-02-15T00:00:00.000Z,2009-02-16T00:00:00.000Z
2009-02-16T00:00:00.000Z,944,2009-02-16T00:00:00.000Z,2009-02-17T00:00:00.000Z
2009-02-17T00:00:00.000Z,936,2009-02-17T00:00:00.000Z,2009-02-18T00:00:00.000Z
2009-02-18T00:00:00.000Z,891,2009-02-18T00:00:00.000Z,2009-02-19T00:00:00.000Z
2009-02-19T00:00:00.000Z,862,2009-02-19T00:00:00.000Z,2009-02-20T00:00:00.000Z
2009-02-20T00:00:00.000Z,844,2009-02-20T00:00:00.000Z,2009-02-21T00:00:00.000Z
2009-02-21T00:00:00.000Z,872,2009-02-21T00:00:00.000Z,2009-02-22T00:00:00.000Z
2009-02-22T00:00:00.000Z,940,2009-02-22T00:00:00.000Z,2009-02-23T00:00:00.000Z
2009-02-23T00:00:00.000Z,905,2009-02-23T00:00:00.000Z,2009-02-24T00:00:00.000Z
2009-02-24T00:00:00.000Z,900,2009-02-24T00:00:00.000Z,2009-02-25T00:00:00.000Z
2009-02-25T00:00:00.000Z,866,2009-02-25T00:00:00.000Z,2009-02-26T00:00:00.000Z
2009-02-26T00:00:00.000Z,878,2009-02-26T00:00:00.000Z,2009-02-27T00:00:00.000Z
2009-02-27T00:00:00.000Z,871,2009-02-27T00:00:00.000Z,2009-02-28T00:00:00.000Z
2009-02-28T00:00:00.000Z,815,2009-02-28T00:00:00.000Z,2009-03-01T00:00:00.000Z
2009-03-01T00:00:00.000Z,923,2009-03-01T00:00:00.000Z,2009-03-02T00:00:00.000Z
2009-03-02T00:00:00.000Z,895,2009-03-02T00:00:00.000Z,2009-03-03T00:00:00.000Z
2009-03-03T00:00:00.000Z,913,2009-03-03T00:00:00.000Z,2009-03-04T00:00:00.000Z
2009-03-04T00:00:00.000Z,908,2009-03-04T00:00:00.000Z,2009-03-05T00:00:00.000Z
2009-03-05T00:00:00.000Z,891,2009-03-05T00:00:00.000Z,2009-03-06T00:00:00.000Z
2009-03-06T00:00:00.000Z,893,2009-03-06T00:00:00.000Z,2009-03-07T00:00:00.000Z
2009-03-07T00:00:00.000Z,887,2009-03-07T00:00:00.000Z,2009-03-08T00:00:00.000Z
2009-03-08T00:00:00.000Z,930,2009-03-08T00:00:00.000Z,2009-03-09T00:00:00.000Z
2009-03-09T00:00:00.000Z,910,2009-03-09T00:00:00.000Z,2009-03-10T00:00:00.000Z
2009-03-10T00:00:00.000Z,852,2009-03-10T00:00:00.000Z,2009-03-11T00:00:00.000Z
2009-03-11T00:00:00.000Z,856,2009-03-11T00:00:00.000Z,2009-03-12T00:00:00.000Z
2009-03-12T00:00:00.000Z,858,2009-03-12T00:00:00.000Z,2009-03-13T00:00:00.000Z
2009-03-13T00:00:00.000Z,862,2009-03-13T00:00:00.000Z,2009-03-14T00:00:00.000Z
2009-03-14T00:00:00.000Z,837,2009-03-14T00:00:00.000Z,2009-03-15T00:00:00.000Z
2009-03-15T00:00:00.000Z,857,2009-03-15T00:00:00.000Z,2009-03-16T00:00:00.000Z
2009-03-16T00:00:00.000Z,857,2009-03-16T00:00:00.000Z,2009-03-17T00:00:00.000Z
2009-03-17T00:00:00.000Z,837,2009-03-17T00:00:00.000Z,2009-03-18T00:00:00.000Z
2009-03-18T00:00:00.000Z,843,2009-03-18T00:00:00.000Z,2009-03-19T00:00:00.000Z
2009-03-19T00:00:00.000Z,850,2009-03-19T00:00:00.000Z,2009-03-20T00:00:00.000Z
2009-03-20T00:00:00.000Z,796,2009-03-20T00:00:00.000Z,2009-03-21T00:00:00.000Z
