month,total.total,timeRange.start,timeRange.end
2014-12-19T00:00:00.000Z,746,2014-12-19T00:00:00.000Z,2014-12-20T00:00:00.000Z
2014-12-20T00:00:00.000Z,747,2014-12-20T00:00:00.000Z,2014-12-21T00:00:00.000Z
2014-12-21T00:00:00.000Z,779,2014-12-21T00:00:00.000Z,2014-12-22T00:00:00.000Z
2014-12-22T00:00:00.000Z,849,2014-12-22T00:00:00.000Z,2014-12-23T00:00:00.000Z
2014-12-23T00:00:00.000Z,802,2014-12-23T00:00:00.000Z,2014-12-24T00:00:00.000Z
2014-12-24T00:00:00.000Z,652,2014-12-24T00:00:00.000Z,2014-12-25T00:00:00.000Z
2014-12-25T00:00:00.000Z,550,2014-12-25T00:00:00.000Z,2014-12-26T00:00:00.000Z
2014-12-26T00:00:00.000Z,739,2014-12-26T00:00:00.000Z,2014-12-27T00:00:00.000Z
2014-12-27T00:00:00.000Z,765,2014-12-27T00:00:00.000Z,2014-12-28T00:00:00.000Z
2014-12-28T00:00:00.000Z,814,2014-12-28T00:00:00.000Z,2014-12-29T00:00:00.000Z
2014-12-29T00:00:00.000Z,837,2014-12-29T00:00:00.000Z,2014-12-30T00:00:00.000Z
2014-12-30T00:00:00.000Z,857,2014-12-30T00:00:00.000Z,2014-12-31T00:00:00.000Z
2014-12-31T00:00:00.000Z,750,2014-12-31T00:00:00.000Z,2015-01-01T00:00:00.000Z
2015-01-01T00:00:00.000Z,762,2015-01-01T00:00:00.000Z,2015-01-02T00:00:00.000Z
2015-01-02T00:00:00.000Z,850,2015-01-02T00:00:00.000Z,2015-01-03T00:00:00.000Z
2015-01-03T00:00:00.000Z,905,2015-01-03T00:00:00.000Z,2015-01-04T00:00:00.000Z
2015-01-04T00:00:00.000Z,927,2015-01-04T00:00:00.000Z,2015-01-05T00:00:00.000Z
2015-01-05T00:00:00.000Z,892,2015-01-05T00:00:00.000Z,2015-01-06T00:00:00.000Z
2015-01-06T00:00:00.000Z,878,2015-01-06T00:00:00.000Z,2015-01-07T00:00:00.000Z
2015-01-07T00:00:00.000Z,835,2015-01-07T00:00:00.000Z,2015-01-08T00:00:00.000Z
2015-01-08T00:00:00.000Z,791,2015-01-08T00:00:00.000Z,2015-01-09T00:00:00.000Z
2015-01-09T00:00:00.000Z,751,2015-01-09T00:00:00.000Z,2015-01-10T00:00:00.000Z
2015-01-10T00:00:00.000Z,825,2015-01-10T00:00:00.000Z,2015-01-11T00:00:00.000Z
