Wikipedia:Acerca de firmar artículos	NA	(?:\bW(?:P:(?:Acerca de firmar artículos|FA)|ikipedia:Acerca de firmar artículos)\b)
Wikipedia:Administradores de interfaz	NA	(?:\bW(?:P:A(?:dministradores de interfaz|DI)|ikipedia:Administradores de interfaz)\b)
Wikipedia:Artículos sin relevancia aparente	NA	(?:\bW(?:P:(?:A(?:rtículos sin relevancia aparente|SR)|SRA)|ikipedia:Artículos sin relevancia aparente)\b)
Wikipedia:Autobiografía	NA	(?:\bW(?:P:A(?:utobiografía|UB)|ikipedia:Autobiografía)\b)
Wikipedia:Bibliotecarios	NA	(?:\bW(?:P:(?:B(?:ibliotecarios|IBLIOS)?|(?:NE)?GC)|ikipedia:Bibliotecarios)\b)
Wikipedia:Biografías de personas vivas	NA	(?:\bW(?:P:(?:B(?:iografías de personas vivas|PV(?:1E)?)|UNEVENTO|PV)|ikipedia:Biografías de personas vivas)\b)
Wikipedia:Burócratas	NA	(?:\bW(?:ikipedia:Burócratas|P:B(?:urócratas|U))\b)
Wikipedia:Candidatos a artículos destacados/Información	NA	(?:\bW(?:ikipedia|P):Candidatos a artículos destacados/Información\b)
Wikipedia:Checkusers	NA	(?:\bW(?:ikipedia:Checkusers|P:C(?:heckusers|U))\b)
Wikipedia:Civismo	NA	(?:\bW(?:P:C(?:ivismo|IV)|ikipedia:Civismo)\b)
Wikipedia:Conflicto de interés	NA	(?:\bW(?:P:C(?:onflicto de interés|[DO]I)|ikipedia:Conflicto de interés)\b)
Wikipedia:Consultas de borrado mediante argumentación	NA	(?:\bW(?:P:(?:C(?:onsultas de borrado mediante argumentación|BMA|DB)|BMA)|ikipedia:Consultas de borrado mediante argumentación)\b)
Wikipedia:Contextualizar	NA	(?:\bW(?:ikipedia:Contextualizar|P:C(?:ontextualizar|X))\b)
Wikipedia:Convenciones de títulos	NA	(?:\bW(?:P:(?:C(?:onvenciones de títulos|D?T)|NOMBREM(?:ÁSCOMÚ|ASCOMU)N|T(?:AX(?:Ó|O)N|ítulos)|E(?:NESPAÑOL|SPECIE)|P(?:RECISIÓN|ELI)|MIN(?:Ú|U)SCULA|DEFINIDOS|SINGULAR|UNC)|ikipedia:Convenciones de títulos)\b)
Wikipedia:Creación de artículos con bot	NA	(?:\bW(?:P:(?:Creación de artículos con bot|BOTO)|ikipedia:Creación de artículos con bot)\b)
Wikipedia:Creadores de cuentas	NA	(?:\bW(?:ikipedia|P):Creadores de cuentas\b)
Wikipedia:Criterios para el borrado rápido	NA	(?:\bW(?:P:(?:C(?:riterios para el borrado rápido|BR)|BR)|ikipedia:Criterios para el borrado rápido)\b)
Wikipedia:Cuenta de propósito particular	NA	(?:\bW(?:P:C(?:uenta de propósito particular|PP)|ikipedia:Cuenta de propósito particular)\b)
Wikipedia:Derechos de autor	NA	(?:\bW(?:P(?::(?:D(?:[AR]|erechos de autor)|CR))?|ikipedia:Derechos de autor)\b)
Wikipedia:Enlaces externos	NA	(?:\bW(?:P:E(?:[EX]|nlaces externos)|ikipedia:Enlaces externos)\b)
Wikipedia:Esta página está protegida	NA	(?:\bW(?:ikipedia|P):Esta página está protegida\b)
Wikipedia:Etiqueta	NA	(?:\bW(?:P:E(?:TIQUETA|tiqueta)?|ikipedia:Etiqueta)\b)
Wikipedia:Etiquetas de usuario	NA	(?:\bW(?:P:(?:E(?:tiquetas de usuario|U)|U(?:serbox|B))|ikipedia:Etiquetas de usuario)\b)
Wikipedia:Exentos de bloqueo a IP	NA	(?:\bW(?:P:E(?:xentos de bloqueo a IP|BI)|ikipedia:Exentos de bloqueo a IP)\b)
Wikipedia:Firma de usuario	NA	(?:\bW(?:P:F(?:irma de usuario|IRMA|DU)|ikipedia:Firma de usuario)\b)
Wikipedia:Fuentes fiables	NA	(?:\bW(?:ikipedia:Fuentes fiables|P:F(?:uentes fiables|F))\b)
Wikipedia:Guía de borrado para los bibliotecarios	NA	(?:\bW(?:ikipedia|P):Guía de borrado para los bibliotecarios\b)
Wikipedia:Guía para el borrado	NA	(?:\bW(?:ikipedia:Guía para el borrado|P:G(?:uía para el borrado|B))\b)
Wikipedia:Ignora las normas	NA	(?:\bW(?:ikipedia:Ignora las normas|P:I(?:gnora las normas|N))\b)
Wikipedia:Información de soporte enciclopédico	NA	(?:\bW(?:P:I(?:nformación de soporte enciclopédico|SE)|ikipedia:Información de soporte enciclopédico)\b)
Wikipedia:Lo que Wikipedia no es	NA	(?:\bW(?:P:(?:N(?:O(?:(?:(?:BUR|DEM)OCRACI|CENSURAD)A|A(?:LMAC(?:É|E)N|NARQUÍA)|ES(?:OBLIGADA)?|REDSOCIAL|NOTICIAS|FORO)?|EF)|L(?:o que Wikipedia no es|WNE)|C(?:AMPODEBATALLA|RISTAL)|SINCRITERIO|BOLA)|ikipedia:Lo que Wikipedia no es)\b)
Wikipedia:Los cinco pilares	NA	(?:\bW(?:P:(?:L(?:os cinco pilares|5P)|5P)|ikipedia:Los cinco pilares)\b)
Wikipedia:No hagas ataques personales	NA	(?:\bW(?:P:(?:N(?:o hagas ataques personales|O?AP)|SUELO|ATP)|ikipedia:No hagas ataques personales)\b)
Wikipedia:No morder a los novatos	NA	(?:\bW(?:P:N(?:o morder a los novatos|MN)|ikipedia:No morder a los novatos)\b)
Wikipedia:No sabotees Wikipedia para respaldar tus argumentos	NA	(?:\bW(?:P:(?:N(?:o sabotees Wikipedia para respaldar tus argumentos|SW)|S)|ikipedia:No sabotees Wikipedia para respaldar tus argumentos)\b)
Wikipedia:Nombres de usuario	NA	(?:\bW(?:P:N(?:ombres de usuario|D?U)|ikipedia:Nombres de usuario)\b)
Wikipedia:Página de usuario	NA	(?:\bW(?:P:P(?:ágina de usuario|D?U)|ikipedia:Página de usuario)\b)
