Wikipédia:AbuseFilter	NA	(?:\bW(?:P:(?:AbuseFilter|F(?:AA)?)|ikipédia:AbuseFilter)\b)
Wikipédia:Actions administratives (WMF)	NA	(?:\bW(?:ikipédia|P):Actions administratives \b)
Wikipédia:Administrateur	NA	(?:\bW(?:P:(?:A(?:dministrateur|DMIN)|SYSOP)|ikipédia:Administrateur)\b)
Utilisateur:Baldurar/Brouillon portail	NA	(?:\b(?:Utilisateur:Baldurar/Brouillon portail|WP:B[Dd]P)\b)
Wikipédia:Bureaucrate	NA	(?:\bW(?:P:B(?:ureaucrate|UBU)|ikipédia:Bureaucrate)\b)
Wikipédia:Citation	NA	(?:\bW(?:ikipédia:Citation|P:C(?:itation|TT))\b)
Wikipédia:Contestation du statut d'administrateur	NA	(?:\bW(?:ikipédia:Contestation du statut d'administrateur|P:C(?:ontestation du statut d'administrateur|SA))\b)
Wikipédia:Contestation du statut de bureaucrate	NA	(?:\bW(?:ikipédia:Contestation du statut de bureaucrate|P:C(?:ontestation du statut de bureaucrate|SB))\b)
Aide:Contributions rémunérées	NA	(?:\b(?:Aide:Contributions rémunérées|WP:(?:AVANTAGE|REMUN))\b)
Wikipédia:Conventions d'utilisation des images	NA	(?:\bW(?:P:(?:Conventions d'utilisation des images|RUI)|ikipédia:Conventions d'utilisation des images)\b)
Wikipédia:Conventions sur les catégories	NA	(?:\bW(?:P:(?:C(?:onventions sur les catégories|AT|C)|OVERCAT)|ikipédia:Conventions sur les catégories)\b)
Wikipédia:Exceptions au droit d'auteur	NA	(?:\bW(?:P:(?:E(?:xceptions au droit d'auteur|DP)|PDE|FU)|ikipédia:Exceptions au droit d'auteur)\b)
Wikipédia:Liens vers les portails	NA	(?:\bW(?:P:(?:Liens vers les portails|B[Dd]P)|ikipédia:Liens vers les portails)\b)
Wikipédia:Masqueur de modifications	NA	(?:\bW(?:ikipédia:Masqueur de modifications|P:(?:Masqueur de modifications|OS))\b)
Wikipédia:Restriction thématique	NA	(?:\bW(?:P:(?:R(?:estriction thématique|EST)|T(?:OPIC)?BAN)|ikipédia:Restriction thématique)\b)
Wikipédia:Révocateur	NA	(?:\bW(?:P:R(?:évocateur|OLLBACK)|ikipédia:Révocateur)\b)
Wikipédia:Semi-protection	NA	(?:\bW(?:ikipédia:Semi-protection|P:S(?:emi-protection|-P))\b)
Wikipédia:Transcription du japonais	NA	(?:\bW(?:ikipédia:Transcription du japonais|P:T(?:ranscription du japonais|J))\b)
Wikipédia:Travaux inédits	NA	(?:\bW(?:P:(?:T(?:ravaux inédits|I)|SYN)|ikipédia:Travaux inédits)\b)
Wikipédia:Utilisation de données Wikidata dans les articles	NA	(?:\bW(?:P:U(?:tilisation de données Wikidata dans les articles|WD(?:COH)?)|ikipédia:Utilisation de données Wikidata dans les articles)\b)
Wikipédia:Vérifiabilité	NA	(?:\bW(?:P:V(?:érifiabilit|ER)?|ikipédia:Vérifiabilit)\b)
Wikipédia:Principes fondateurs	NA	(?:\bW(?:ikipédia:Principes fondateurs|P:P(?:rincipes fondateurs|F))\b)
Wikipédia:Règles de savoir-vivre	NA	(?:\bW(?:P:(?:R(?:ègles de savoir-vivre|dSV?|SV)|4e PF)|ikipédia:Règles de savoir-vivre)\b)
Wikipédia:Interprétation créative des règles	NA	(?:\bW(?:P:(?:I(?:nterprétation créative des règles|[AC]R)|5e PF)|ikipédia:Interprétation créative des règles)\b)
Wikipédia:Droit d'auteur	NA	(?:\bW(?:P:(?:C(?:OPY(?:RIGHT)?|R)|Droit d'auteur|3e PF)|ikipédia:Droit d'auteur)\b)
Wikipédia:Neutralité de point de vue	NA	(?:\bW(?:P:(?:N(?:eutralité de point de vue|(?:P[Od]|dP)V)|(?:STRUCTUR|UNDU)E|POV(?:NAMING)?)|ikipédia:Neutralité de point de vue)\b)
Wikipédia:Wikipédia est une encyclopédie	NA	(?:\bW(?:P:(?:Wikipédia est une encyclopédie|1er PF|P)|ikipédia:Wikipédia est une encyclopédie)\b)
Wikipédia:Règles et recommandations	NA	(?:\bW(?:P:R(?:ègles et recommandations|E[CG])?|ikipédia:Règles et recommandations)\b)
Wikipédia:Accessibilité	NA	(?:\bW(?:P:A(?:cc(?:essibilit)?|CC)|ikipédia:Accessibilit)\b)
Wikipédia:Articles consacrés à la pornographie	NA	(?:\bW(?:ikipédia:Articles consacrés à la pornographie|P:A(?:rticles consacrés à la pornographie|AP))\b)
Wikipédia:Aucune chance	NA	(?:\bW(?:P:(?:Aucune chance|SNOWBALL|PAC)|ikipédia:Aucune chance)\b)
Wikipédia:Autobiographie	NA	(?:\bW(?:P:A(?:utobiographie|UT(?:OBI)?O)|ikipédia:Autobiographie)\b)
Wikipédia:Bannissement	NA	(?:\bW(?:ikipédia:Bannissement|P:B(?:annissement|AN))\b)
Wikipédia:Biographie de personne vivante	NA	(?:\bW(?:P:(?:B(?:iographie de personne vivante|LP|PV)|SUR SOI)|ikipédia:Biographie de personne vivante)\b)
Wikipédia:Blocage en écriture	NA	(?:\bW(?:P:B(?:locage en écriture|LOCK?|E)|ikipédia:Blocage en écriture)\b)
Wikipédia:Citation et réutilisation du contenu de Wikipédia	NA	(?:\bW(?:P:(?:C(?:itation et réutilisation du contenu de Wikipédia|RCW)|REUSE)|ikipédia:Citation et réutilisation du contenu de Wikipédia)\b)
Wikipédia:Citez vos sources	NA	(?:\bW(?:P:(?:C(?:VS(?:PRAT|REF|Q)?|itez vos sources|ITE)|S(?:OURCES|AO|PF|Q)|(?:WP|Q)S|REF)|ikipédia:Citez vos sources)\b)
Wikipédia:Code de bonne conduite	NA	(?:\bW(?:P:(?:C(?:ode de bonne conduite|BC)|BC)|ikipédia:Code de bonne conduite)\b)
Wikipédia:Conflit d'intérêts	NA	(?:\bW(?:P:C(?:onflit d'intérêts|I(?:AGIR)?|[Od]I)|ikipédia:Conflit d'intérêts)\b)
Wikipédia:Consensus	NA	(?:\bW(?:P:C(?:ON(?:SPRAT)?|onsensus)?|ikipédia:Consensus)\b)
Wikipédia:Contenu choquant	NA	(?:\bW(?:P:(?:C(?:ontenu choquant|HO(?:QUANT|C)|ENSURE)|NONCENSURE)|ikipédia:Contenu choquant)\b)
Wikipédia:Contenu évasif	NA	(?:\bW(?:ikipédia:Contenu évasif|P:C(?:ontenu évasif|E))\b)
Aide:Contributions rémunérées	NA	(?:\b(?:Aide:Contributions rémunérées|WP:(?:AVANTAGE|REMUN))\b)
Wikipédia:Conventions bibliographiques	NA	(?:\bW(?:P:(?:C(?:onventions bibliographiques|B(?:#RANGEMENT|IB)?)|BIBLIO(?:#RANGEMENT)?)|ikipédia:Conventions bibliographiques)\b)
Wikipédia:Conventions concernant les nombres	NA	(?:\bW(?:P:C(?:onventions concernant les nombres|CN(?:#INSÉCABLES)?)|ikipédia:Conventions concernant les nombres)\b)
Wikipédia:Conventions d'utilisation des images	NA	(?:\bW(?:P:(?:Conventions d'utilisation des images|RUI)|ikipédia:Conventions d'utilisation des images)\b)
Wikipédia:Conventions de plan	NA	(?:\bW(?:P:(?:C(?:onventions de plan|P)|PLAN)|ikipédia:Conventions de plan)\b)
Wikipédia:Conventions de style	NA	(?:\bW(?:P:C(?:DS(?:#(?:(?:G(?:É|E)|BI)O|PAYS))?|onventions de style|dS)|ikipédia:Conventions de style)\b)
Wikipédia:Conventions filmographiques	NA	(?:\bW(?:P:(?:C(?:onventions filmographiques|F)|FILMO)|ikipédia:Conventions filmographiques)\b)
Wikipédia:Conventions sur les catégories	NA	(?:\bW(?:P:(?:C(?:onventions sur les catégories|AT|C)|OVERCAT)|ikipédia:Conventions sur les catégories)\b)
Wikipédia:Conventions sur les titres	NA	(?:\bW(?:P:(?:TITRE(?:#(?:(?:CAS-PARTICULIER|PROJET)S|Apostrophe|MAJ))?|C(?:onventions sur les titres|dN|sT)|Naming)|ikipédia:Conventions sur les titres)\b)
Wikipédia:Conventions sur les titres d'œuvres de musique classique	NA	(?:\bW(?:ikipédia:Conventions sur les titres d'œuvres de musique classique|P:C(?:onventions sur les titres d'œuvres de musique classique|MC))\b)
