Assume good faith	Behavioral	(?:\bW(?:P:(?:G(?:OODFAITH|F)|A(?:GFC?|OBF)|FAITH|DGF)|ikipedia:Assume good faith))
Conflict of interest	Behavioral	(?:\bW(?:P:(?:C(?:O(?:I(?:(?:A(?:TTRIBUT|DVIC)|RESPONS)E|C(?:O(?:PYRIGHT|IN)|AMPAIGN)|P(?:AYDISCLOSE|OLITICAL)| is not simply bias|DISCLOSEPAY|NOTBIAS|LEGAL|EDIT|SELF|TALK|BLP|U)?|(?:NFLIC|VER)T)|URATOR)|P(?:A(?:ID(?:ATTRIBUTE|COPYRIGHT)|Y(?:TALK)?)|OTENTIALCOI|E)|(?:A(?:PPARENT|CTUAL)|F)COI|(?:SELF(?:PROMO|CI)T|UP)E|NO(?:HIDDENADS|P(?:AY|R))|D(?:ISCLOSE|COI)|EXTERNALREL|Open a COIN|LUC)|ikipedia:Conflict of interest))
Disruptive editing	Behavioral	(?:\bW(?:P:(?:D(?:IS(?:RUPT(?:SIGNS)?)?|(?:AP|D)?E|ONTGETIT)|I(?:D(?:IDNTHEARTHA|H)T|CANTHEARYOU)|NOTGETTINGIT|RUNAWAY|CTDAPE|LISTEN|HUH?)|ikipedia:Disruptive editing))
Do not disrupt Wikipedia to illustrate a point	Behavioral	(?:\bW(?:ikipedia:Do not disrupt Wikipedia to illustrate a point|P:(?:NOTPOINTy|POINTy?)))
Etiquette	Behavioral	(?:\bW(?:P:(?:AVOIDABUSE|E(?:TI)?Q|INDCRIT|DOOR|WQT?)|ikipedia:Etiquette))
Please do not bite the newcomers	Behavioral	(?:\bW(?:ikipedia:Please do not bite the newcomers|P:(?:N(?:EWBIES|OOB)|(?:BIT|IJM)E|DBN)))
Signatures	Behavioral	(?:\bW(?:P:(?:S(?:IG(?:#(?:N(?:[LT]|o(?:Templates|n-Latin|CAT))|CustomSig|[DE]L)|L(?:EN(?:GTH)?|INK)|N(?:(?:ATU|HE)RE)?|FO(?:RGE|NT)|IMAGE|PROB|APP|HOW)?|ignature forgery)|(?:(?:[345]|FOUR)TILDE|NL)S|Appearance and color|CUSTOMSIG|UNSIGNED|TILDE|~)|ikipedia:Signatures))
Talk page guidelines	Behavioral	(?:\bW(?:P:(?:T(?:ALK(?:#(?:(?:C(?:OMMUNIC|RE)AT|OBJECTIV|US)E|(?:DISCUS|FACT)S|NOMETA)|C(?:ENT|OND)|N(?:EW|O)|O)?|P(?:G(?:#YES)?|OC?|YES|NO)|OPPOST)|(?:(?:BOTTOM|CROSS-)PO|EXHAU)ST|(?:ARCHIVENOTDELET|INTERSPERS)E|S(?:HOUT(?:ING)?|PEAKENGLISH)|REDACT(?:ED)?|OWNTALK|MULTI)|ikipedia:Talk page guidelines))
User pages	Behavioral	(?:\bW(?:P:(?:U(?:P(?:#(?:P(?:RO(?:TECT|MO)|OLEMIC)|DEL(?:TALK|ETE)|NOT(?:SUITED)?|C(?:OPIES|MT)|G(?:AME|OAL)S|OWN|SUB)|GOOD|NOT|YES)?|SER(?:(?:SUB)?PAGE|TALKBLOG|BIO)?|OWN)|S(?:TALE(?:DRAFT)?|MI)|(?:FAKEARTICL|ORANG)E|N(?:EWMESSAGE|OBAN)|CREATEUSER#SUB|BLANKING|DELTALK|POLEMIC|REMOVED)|ikipedia:User pages))
Appealing a block	Behavioral	(?:\bW(?:P:(?:A(?:P(?:PEAL|B)|AB)|UNBLOCK)|ikipedia:Appealing a block))
