Article titles	Content	(?:\bW(?:P:(?:N(?:A(?:M(?:INGCRITERIA|ECHANGES)|TURAL(?:NES|DI)S)|POV(?:TITL|NAM)E|DESC|OUN)|T(?:ITLE(?:(?:SPECIALCHARACTER|CHANGE)S|FORMAT|VAR|TM)?|RANSLITERATE|SC)|D(?:E(?:SCRIPDIS|FINITE)|IFF(?:PUNCT|CAPS))|P(?:OV(?:TITL|NAM)E|RECIS(?:ION|E)|ARENDIS)|C(?:O(?:MM(?:ONNAME|ADIS)|NCISE)|RITERIA)|(?:ITALICTITL|LOWERCAS)E|A(?:T(?:D(?:AB|IS))?|ND)|S(?:MALLDETAILS|INGULAR)|RECOGNIZABILITY|OTHERNAMES|U(?:CRN|E)|QUALIFIER|MOSAT)|ikipedia:Article titles)\b)
Biographies of living persons	Content	(?:\bW(?:P:(?:B(?:LP(?:S(?:E(?:LF(?:PUB)?|EALSO)|OURCES?|TYLE|PS)|R(?:E(?:QUEST(?:RESTOR|DELET)|MOV)E|S)|C(?:O(?:MPLAINT?|I)|RIME|AT)|(?:NAM(?:EABUS)?|BALANC|1)E|P(?:RI(?:MAR|VAC)Y|UBLIC)|D(?:EL(?:ETE)?|S)|G(?:OSSI|ROU)P|KIND(?:NESS)?|E(?:DIT|L)|ADMINS|TALK|FR)?|IOSELF|DP)|(?:L(?:PNAM|IV)|PUBLICFIGUR|GRAPEVIN)E|N(?:OTPUBLICFIGURE|PF)|AVOIDVICTIM|WELLKNOWN|SUSPECT|DOB|MUG)|ikipedia:Biographies of living persons)\b)
Image use policy	Content	(?:\bW(?:P:(?:I(?:UP(?:#(?:(?:COPYRIGH|FORMA)T|ANIM|NAME|RI)|C)?|M(?:AGE(?:SIZE|POL)|GSIZE)|QUEUE|G)|(?:(?:THUMB|FILE)SIZ|MONTAG)E|WATERMARK|GALLERY)|ikipedia:Image use policy)\b)
Neutral point of view	Content	(?:\bW(?:P:(?:(?:S(?:UB(?:STANTIAT|JECTIV)|TRUCTUR)|FALSEBALANC|(?:UN)?DU)E|N(?:P(?:OV(?:(?:VIE|HO)W|FACT)?|V)|EUTRAL)|A(?:(?:CHIEVE N|TTRIBUTE)POV|ESTHETIC)|P(?:OV(?:NAMING)?|ROPORTION|SCI)|B(?:ALA(?:NCED?|SP)|ESTSOURCES)|W(?:IKIVOICE|EIGHT)|(?:IMPARTI|GEV)AL|(?:YES|RN)POV|TINFOILHAT|VALID|MNA)|ikipedia:Neutral point of view)\b)
No original research	Content	(?:\bW(?:P:(?:S(?:YN(?:TH(?:ESIS)?)?|TICKTOSOURCE|ECONDARY)|T(?:RANSCRIPTION|ERTIARY)|O(?:R(?:IGINAL)?|I)|P(?:RIMARY|STS)|(?:VERIFY|N)OR|AEIS|CALC)|ikipedia:No original research)\b)
Verifiability	Content	(?:\bW(?:P:(?:S(?:O(?:URCE(?:(?:ACCES)?S)?|CIALMEDIA)|ELFPUB(?:LISH)?|PS)|N(?:O(?:TR(?:ELIABLE|S)|N?ENG)|EWSBLOG)|R(?:E(?:D(?:FLAG|DIT)|FLOOP)|SUE)|EX(?:TRAORDINARY|CEPTIONAL)|P(?:AY(?:SITE|WALL)|ROVEIT)|C(?:IRC(?:ULAR)?|HALLENGE)|V(?:ER(?:IFY)?|NOTSUFF)?|FAILEDVERIFICATION|U(?:NSOURCED|GS)|B(?:URDEN|LOGS)|YTCOPYRIGHT|(?:ONU|Q)S|ABOUTSELF|TWITTER)|ikipedia:Verifiability)\b)
What Wikipedia is not	Content	(?:\bW(?:P:(?:NO(?:T(?:C(?:O(?:MPULSORY|OKBOOK|URT)|A(?:TALOG(?:UE)?|SE)|RYSTA(?:LBAL)?L|HANGELOG|LICKBAIT|ENSORED|V)|S(?:T(?:AT(?:S(?:BOOK)?|UTE)|ORAGE|UPID)|O(?:CIAL(?:NETWORK|MEDIA)?|APBOX)|PECULATION|CANDAL)|B(?:UR(?:EAU(?:CRACY)?|O)|ATTLE(?:GROUND)?|IBLIOGRAPHY|ROCHURE|LOG)|P(?:R(?:O(?:MO(?:TION)?|PAGANDA)|ESSRELEASE)|L(?:OT|UG)|APERS?)|D(?:I(?:R(?:ECTORY)?|ARY)|EM(?:OCRACY)?|ATINGSERVICE)|R(?:E(?:(?:CIP|SUM)E|POSITORY|QUIRED)|ADIOGUIDE|UMOR)|A(?:D(?:V(?:ERTISING|OCACY|ICE)|IARY)|NARCHY)|F(?:A(?:CTIONS|NSITE|Q)|REESPEECH|UTURE|ORUM)|G(?:A(?:MEHOST|LLERY)|ENEALOGY|OSSIP|UIDE)|W(?:H(?:OSWHO|ITE)|EBHOST|IKIA)|L(?:INK(?:FARM)?|A[BW]|YRICS)|M(?:(?:EMORI|ANU)AL|IRROR)|T(?:EXTBOOK|VGUIDE|RAVEL)|#DIC(?:T(?:IONARY)?|DEF)|E(?:VERYTHING|SSAY)|O(?:BITUARY|PINION)|J(?:OURNAL|ARGON)|HO(?:STING|WTO)|(?:IMAG|QUOT)E|NEWS(?:PAPER)?|YELLOW)?|SALESMEN)|C(?:(?:RYSTA(?:LBAL)?|BAL)L|H(?:OICE|AOS)|ENSOR(?:ED)?|OMPULSORY)|P(?:R(?:O(?:MO(?:TION)?|PAGANDA)|ESSRELEASE)|L(?:OT|UG)|APER)|B(?:A(?:TTLE(?:GROUND)?|DIDEA|LL)|UR(?:EAU|O))|R(?:E(?:LEASENOTES|QUIRED)|AWDATA|UMOUR)|I(?:N(?:DISCRIMINATE|KLESS)|INFO)|S(?:OAP(?:BOX)?|PECULATION)|D(?:EM(?:OCRACY)?|IARY)|F(?:ACTIONS|UTURE|ORUM)|WH(?:ATISTOBEDONE|IM)|G(?:AMEGUID|RUDG)E|YELLOW(?:PAGES)?|UNCENSORED|LINKFARM|!)|ikipedia:What Wikipedia is not)\b)
Wikipedia is not a dictionary	Content	(?:\bW(?:P:(?:(?:WORDISSUBJEC|POINTWIK)T|N(?:OT(?:DIC|NEO)|AD|EO)|ISA(?:TERM|WORD)FOR|DICDEF)|ikipedia:Wikipedia is not a dictionary)\b)
Civility	Conduct	(?:\bW(?:P:(?:I(?:DENTIFYUNCIVIL|UC)|R(?:EMOVEUNCIVIL|UC)|ESDO(?:NT)?S|CIV(?:IL)?|UNCIVIL)|ikipedia:Civility)\b)
Clean start	Conduct	(?:\bW(?:P:(?:CLEAN|FRESH|NEW)START|ikipedia:Clean start)\b)
