Wikipedia:Acerca de firmar artículos	NA	(?:\bW(?:ikipedia:Acerca de firmar artículos|P:FA))
Wikipedia:Administradores de interfaz	NA	(?:\bW(?:ikipedia:Administradores de interfaz|P:ADI))
Wikipedia:Artículos sin relevancia aparente	NA	(?:\bW(?:ikipedia:Artículos sin relevancia aparente|P:(?:ASR|SRA)))
Wikipedia:Autobiografía	NA	(?:\bW(?:ikipedia:Autobiografía|P:AUB))
Wikipedia:Bibliotecarios	NA	(?:\bW(?:P:(?:B(?:IBLIOS)?|(?:NE)?GC)|ikipedia:Bibliotecarios))
Wikipedia:Biografías de personas vivas	NA	(?:\bW(?:ikipedia:Biografías de personas vivas|P:(?:BPV(?:1E)?|UNEVENTO|PV)))
Wikipedia:Burócratas	NA	(?:\bW(?:ikipedia:Burócratas|P:BU))
Wikipedia:Candidatos a artículos destacados/Información	NA	(?:\bWikipedia:Candidatos a artículos destacados/Información)
Wikipedia:Checkusers	NA	(?:\bW(?:ikipedia:Checkusers|P:CU))
Wikipedia:Civismo	NA	(?:\bW(?:ikipedia:Civismo|P:CIV))
Wikipedia:Conflicto de interés	NA	(?:\bW(?:ikipedia:Conflicto de interés|P:C[DO]I))
Wikipedia:Consultas de borrado mediante argumentación	NA	(?:\bW(?:ikipedia:Consultas de borrado mediante argumentación|P:(?:C(?:BMA|DB)|BMA)))
Wikipedia:Contextualizar	NA	(?:\bW(?:ikipedia:Contextualizar|P:CX))
Wikipedia:Convenciones de títulos	NA	(?:\bW(?:P:(?:NOMBREM(?:ÁSCOMÚ|ASCOMU)N|T(?:AX(?:Ó|O)N|ítulos)|E(?:NESPAÑOL|SPECIE)|P(?:RECISIÓN|ELI)|MIN(?:Ú|U)SCULA|DEFINIDOS|SINGULAR|CD?T|UNC)|ikipedia:Convenciones de títulos))
Wikipedia:Creación de artículos con bot	NA	(?:\bW(?:ikipedia:Creación de artículos con bot|P:BOTO))
Wikipedia:Creadores de cuentas	NA	(?:\bWikipedia:Creadores de cuentas)
Wikipedia:Criterios para el borrado rápido	NA	(?:\bW(?:ikipedia:Criterios para el borrado rápido|P:C?BR))
Wikipedia:Cuenta de propósito particular	NA	(?:\bW(?:ikipedia:Cuenta de propósito particular|P:CPP))
Wikipedia:Derechos de autor	NA	(?:\bW(?:ikipedia:Derechos de autor|P(?::(?:D[AR]|CR))?))
Wikipedia:Enlaces externos	NA	(?:\bW(?:ikipedia:Enlaces externos|P:E[EX]))
Wikipedia:Esta página está protegida	NA	(?:\bWikipedia:Esta página está protegida)
Wikipedia:Etiqueta	NA	(?:\bW(?:ikipedia:Etiqueta|P:E(?:TIQUETA)?))
Wikipedia:Etiquetas de usuario	NA	(?:\bW(?:ikipedia:Etiquetas de usuario|P:(?:U(?:serbox|B)|EU)))
Wikipedia:Exentos de bloqueo a IP	NA	(?:\bW(?:ikipedia:Exentos de bloqueo a IP|P:EBI))
Wikipedia:Firma de usuario	NA	(?:\bW(?:ikipedia:Firma de usuario|P:F(?:IRMA|DU)))
Wikipedia:Fuentes fiables	NA	(?:\bW(?:ikipedia:Fuentes fiables|P:FF))
Wikipedia:Guía de borrado para los bibliotecarios	NA	(?:\bWikipedia:Guía de borrado para los bibliotecarios)
Wikipedia:Guía para el borrado	NA	(?:\bW(?:ikipedia:Guía para el borrado|P:GB))
Wikipedia:Ignora las normas	NA	(?:\bW(?:ikipedia:Ignora las normas|P:IN))
Wikipedia:Información de soporte enciclopédico	NA	(?:\bW(?:ikipedia:Información de soporte enciclopédico|P:ISE))
Wikipedia:Lo que Wikipedia no es	NA	(?:\bW(?:P:(?:N(?:O(?:(?:(?:BUR|DEM)OCRACI|CENSURAD)A|A(?:LMAC(?:É|E)N|NARQUÍA)|ES(?:OBLIGADA)?|REDSOCIAL|NOTICIAS|FORO)?|EF)|C(?:AMPODEBATALLA|RISTAL)|SINCRITERIO|BOLA|LWNE)|ikipedia:Lo que Wikipedia no es))
Wikipedia:Los cinco pilares	NA	(?:\bW(?:ikipedia:Los cinco pilares|P:L?5P))
Wikipedia:No hagas ataques personales	NA	(?:\bW(?:ikipedia:No hagas ataques personales|P:(?:(?:NO?A|AT)P|SUELO)))
Wikipedia:No morder a los novatos	NA	(?:\bW(?:ikipedia:No morder a los novatos|P:NMN))
Wikipedia:No sabotees Wikipedia para respaldar tus argumentos	NA	(?:\bW(?:ikipedia:No sabotees Wikipedia para respaldar tus argumentos|P:(?:NSW|S)))
Wikipedia:Nombres de usuario	NA	(?:\bW(?:ikipedia:Nombres de usuario|P:ND?U))
Wikipedia:Página de usuario	NA	(?:\bW(?:ikipedia:Página de usuario|P:PD?U))
Wikipedia:Páginas de autopromoción	NA	(?:\bW(?:ikipedia:Páginas de autopromoción|P:(?:P(?:ROMO|A)|AP|V)))
Wikipedia:Para bibliotecarios	NA	(?:\bWikipedia:Para bibliotecarios)
Wikipedia:Plantillas de navegación	NA	(?:\bW(?:ikipedia:Plantillas de navegación|P:NAV))
Wikipedia:Política de borrado	NA	(?:\bW(?:ikipedia:Política de borrado|P:PB))
Wikipedia:Política de bots	NA	(?:\bW(?:ikipedia:Política de bots|P:PBOTS?))
Wikipedia:Política de consultas	NA	(?:\bWikipedia:Política de consultas)
Wikipedia:Política de protección	NA	(?:\bW(?:ikipedia:Política de protección|P:P?PP))
Wikipedia:Política de restauración	NA	(?:\bWikipedia:Política de restauración)
Wikipedia:Política de uso de imágenes	NA	(?:\bW(?:ikipedia:Política de uso de imágenes|P:I(?:MG)?))
Wikipedia:Política de wikiproyectos	NA	(?:\bW(?:ikipedia:Política de wikiproyectos|P:PWP))
Wikipedia:Políticas y convenciones	NA	(?:\bW(?:ikipedia:Políticas y convenciones|P:P))
Wikipedia:Presume buena fe	NA	(?:\bW(?:ikipedia:Presume buena fe|P:P?BF))
Wikipedia:Propuestas de borrado	NA	(?:\bW(?:ikipedia:Propuestas de borrado|P:P(?:(?:ROP|D)B|BR)))
Wikipedia:Proselitismo	NA	(?:\bW(?:ikipedia:Proselitismo|P:PRO))
