Wikipédia:Règles et recommandations	NA	(?:\bW(?:ikipédia:Règles et recommandations|P:R(?:E[CG])?))
Wikipédia:Accessibilité	NA	(?:\bW(?:ikipédia:Accessibilit|P:A(?:CC|cc)))
Wikipédia:Articles consacrés à la pornographie	NA	(?:\bW(?:ikipédia:Articles consacrés à la pornographie|P:AAP))
Wikipédia:Aucune chance	NA	(?:\bW(?:ikipédia:Aucune chance|P:(?:SNOWBALL|PAC)))
Wikipédia:Autobiographie	NA	(?:\bW(?:ikipédia:Autobiographie|P:AUT(?:OBI)?O))
Wikipédia:Bannissement	NA	(?:\bW(?:ikipédia:Bannissement|P:BAN))
Wikipédia:Biographie de personne vivante	NA	(?:\bW(?:ikipédia:Biographie de personne vivante|P:(?:B(?:LP|PV)|SUR SOI)))
Wikipédia:Blocage en écriture	NA	(?:\bW(?:ikipédia:Blocage en écriture|P:B(?:LOCK?|E)))
Wikipédia:Citation et réutilisation du contenu de Wikipédia	NA	(?:\bW(?:ikipédia:Citation et réutilisation du contenu de Wikipédia|P:(?:REUSE|CRCW)))
Wikipédia:Citez vos sources	NA	(?:\bW(?:P:(?:C(?:VS(?:PRAT|REF|Q)?|ITE)|S(?:OURCES|AO|PF|Q)|(?:WP|Q)S|REF)|ikipédia:Citez vos sources))
Wikipédia:Code de bonne conduite	NA	(?:\bW(?:ikipédia:Code de bonne conduite|P:C?BC))
Wikipédia:Conflit d'intérêts	NA	(?:\bW(?:ikipédia:Conflit d'intérêts|P:C(?:I(?:AGIR)?|[Od]I)))
Wikipédia:Consensus	NA	(?:\bW(?:P:C(?:ON(?:SPRAT)?)?|ikipédia:Consensus))
Wikipédia:Contenu choquant	NA	(?:\bW(?:P:(?:C(?:HO(?:QUANT|C)|ENSURE)|NONCENSURE)|ikipédia:Contenu choquant))
Wikipédia:Contenu évasif	NA	(?:\bW(?:ikipédia:Contenu évasif|P:CE))
Aide:Contributions rémunérées	NA	(?:\b(?:Aide:Contributions rémunérées|WP:(?:AVANTAGE|REMUN)))
Wikipédia:Conventions bibliographiques	NA	(?:\bW(?:P:(?:BIBLIO(?:#RANGEMENT)?|CB(?:#RANGEMENT|IB)?)|ikipédia:Conventions bibliographiques))
Wikipédia:Conventions concernant les nombres	NA	(?:\bW(?:ikipédia:Conventions concernant les nombres|P:CCN(?:#INSÉCABLES)?))
Wikipédia:Conventions d'utilisation des images	NA	(?:\bW(?:ikipédia:Conventions d'utilisation des images|P:RUI))
Wikipédia:Conventions de plan	NA	(?:\bW(?:ikipédia:Conventions de plan|P:(?:PLAN|CP)))
Wikipédia:Conventions de style	NA	(?:\bW(?:P:C(?:DS(?:#(?:(?:G(?:É|E)|BI)O|PAYS))?|dS)|ikipédia:Conventions de style))
Wikipédia:Conventions filmographiques	NA	(?:\bW(?:ikipédia:Conventions filmographiques|P:(?:FILMO|CF)))
Wikipédia:Conventions sur les catégories	NA	(?:\bW(?:ikipédia:Conventions sur les catégories|P:(?:C(?:AT|C)|OVERCAT)))
Wikipédia:Conventions sur les titres	NA	(?:\bW(?:P:(?:TITRE(?:#(?:(?:CAS-PARTICULIER|PROJET)S|Apostrophe|MAJ))?|C(?:dN|sT)|Naming)|ikipédia:Conventions sur les titres))
Wikipédia:Conventions sur les titres d'œuvres de musique classique	NA	(?:\bW(?:ikipédia:Conventions sur les titres d'œuvres de musique classique|P:CMC))
Wikipédia:Conventions sur les titres de personnages de la mythologie grecque	NA	(?:\bW(?:ikipédia:Conventions sur les titres de personnages de la mythologie grecque|P:C(?:dN|sT)MG))
