Wikipedia:方針とガイドライン	NA	(?:\bW(?:P:(?:P(?:G(?:(?:CHANG|LIF)E|BOLD)?|OL(?:IC(?:IES|Y ))?|ROPOSAL)|(?:GUID|RUL)ES|TALKFIRST)|ikipedia:方針とガイドライン)\b)
Wikipedia:ウィキペディアは何ではないか	NA	(?:\bW(?:P:(?:NO(?:T(?:#(?:D(?:I(?:C(?:T(?:IONARY)?|DEF)|ARY)|EM)|NEWS(?:REPORTS|PAPER)?|(?:LYRIC|STAT)S|C(?:ASE|HAT)|JOURNALISM|ESSAY|FAQ|OR)|C(?:O(?:MPULSORY|OKBOOK|URT)|RYSTA(?:LBAL)?L|ATALOG(?:UE)?|HANGELOG|ENSORED)|S(?:O(?:CIAL(?:NETWORK)?|APBOX)|T(?:AT(?:UTE|S)|UPID)|CANDAL)|D(?:I(?:C(?:TIONARY|DEF)|R(?:ECTORY)?|ARY)|EMOCRACY)|R(?:E(?:(?:CIP|SUM)E|POSITORY|QUIRED)|ADIOGUIDE)|F(?:A(?:C(?:EBOOK|TIONS)|Q)|REESPEECH|ORUM)|B(?:ATTLE(?:GROUND)?|UREAU(?:CRACY)?|LOG)|A(?:DV(?:(?:OCAT|IC)E|ERTISING)|NARCHY)|G(?:(?:ENEALOG|ALLER)Y|OSSIP|UIDE)|M(?:(?:EMORI|ANU)AL|YSPACE|IRROR)|T(?:EXTBOOK|VGUIDE|WITTER|RAVEL)|L(?:INK(?:EDIN)?|YRICS|AW)|P(?:ROMOTION|APER|LOT)|E(?:VERYTHING|SSAY)|I(?:NSTAGRAM|MAGE)|W(?:EBHOST|HITE)|HO(?:STING|WTO)|NEWS(?:PAPER)?|JOURNAL|OPINION|YELLOW| )|PRICES)|C(?:(?:RYSTA(?:LBAL)?|BAL)L|ENSOR(?:ED)?|HOICE)|B(?:A(?:TTLE(?:GROUND)?|DIDEA|LL)|UR(?:EAU|O))|W(?:I(?:KINOTVOTE|N)|HATISTOBEDONE|WIN)|P(?:ROMO(?:TION)?|L(?:OT|UG)|APER)|I(?:N(?:DISCRIMINATE|KLESS)|INFO)|S(?:OAP(?:BOX)?|PECULATION)|R(?:EQUIRED|AWDATA|UMOUR)|F(?:UTURE|ORUM)|DEM(?:OCRACY)?|UNCENSORED|LINKFARM|ANARCHY|!)|ikipedia:ウィキペディアは何ではないか)\b)
Wikipedia:編集方針	NA	(?:\bW(?:P:(?:P(?:ERFECTION|RESERVED?)|FIXTHEPROBLEM|IMPERFECT|HANDLE|EP)|ikipedia:編集方針)\b)
Wikipedia:礼儀を忘れない	NA	(?:\bW(?:ikipedia:礼儀を忘れない|P:CIV(?:IL)?)\b)
Wikipedia:エチケット	NA	(?:\bW(?:P:(?:E(?:TI)?Q|WQ(?:T )?)|ikipedia:エチケット)\b)
Wikipedia:個人攻撃はしない	NA	(?:\bW(?:P:(?:NPA(?:#WHATIS)?|ATTACK|MYOB |PA)|ikipedia:個人攻撃はしない)\b)
Wikipedia:法的な脅迫をしない	NA	(?:\bW(?:ikipedia:法的な脅迫をしない|P:(?:LEGAL|NLT))\b)
Wikipedia:署名	NA	(?:\bW(?:ikipedia:署名|P:SIG)\b)
Wikipedia:利用者名	NA	(?:\bW(?:ikipedia:利用者名|P:U(?:#RENAME)?)\b)
Wikipedia:荒らし	NA	(?:\bW(?:P:(?:VAN(?:D(?:TYPES|AL |NOT)?)?|NOT(?: VANDALISM|VAND)|SNEAKY|R Van|HTSV|-)|ikipedia:荒らし)\b)
