page	creation_year	num_links	de	en	es	fr	ja	rc
Wikipedia:Five pillars	2005	5	Wikipedia:Grundprinzipien	Wikipedia:Five pillars	Wikipedia:Los cinco pilares	Wikipédia:Principes fondateurs	Wikipedia:五本の柱	72.0
Wikipedia:Ignoriere alle Regeln	2003	5	Wikipedia:Ignoriere alle Regeln	Wikipedia:Ignore all rules	Wikipedia:Ignora las normas	Wikipédia:Interprétation créative des règles	Wikipedia:ルールすべてを無視しなさい	76.0
Wikipedia:Neutraler Standpunkt	2002	5	Wikipedia:Neutraler Standpunkt	Wikipedia:Neutral point of view	Wikipedia:Punto de vista neutral	Wikipédia:Neutralité de point de vue	Wikipedia:中立的な観点	131.0
Wikipedia:Keine Theoriefindung	2006	5	Wikipedia:Keine Theoriefindung	Wikipedia:No original research	Wikipedia:Wikipedia no es una fuente primaria	Wikipédia:Travaux inédits	Wikipedia:独自研究は載せない	85.0
Wikipedia:Belege	2005	5	Wikipedia:Belege	Wikipedia:Verifiability	Wikipedia:Verificabilidad	Wikipédia:Vérifiabilité	Wikipedia:検証可能性	41.0
Wikipedia:Artikel über lebende Personen	2006	5	Wikipedia:Artikel über lebende Personen	Wikipedia:Biographies of living persons	Wikipedia:Biografías de personas vivas	Wikipédia:Biographie de personne vivante	Wikipedia:存命人物の伝記	32.0
Wikipedia:Geh von guten Absichten aus	2005	5	Wikipedia:Geh von guten Absichten aus	Wikipedia:Assume good faith	Wikipedia:Presume buena fe	Wikipédia:Supposez la bonne foi	Wikipedia:善意にとる	67.0
Wikipedia:Sei mutig	2002	5	Wikipedia:Sei mutig	Wikipedia:Be bold	Wikipedia:Sé valiente al editar páginas	Wikipédia:N'hésitez pas !	Wikipedia:ページの編集は大胆に	168.0
Wikipedia:Zitierregeln	2003	5	Wikipedia:Zitierregeln	Wikipedia:Citing sources	Wikipedia:Referencias	Wikipédia:Citez vos sources	Wikipedia:出典を明記する	207.0
Wikipedia:Wikiquette	2003	5	Wikipedia:Wikiquette	Wikipedia:Etiquette	Wikipedia:Etiqueta	Wikipédia:Étiquette	Wikipedia:エチケット	204.0
Wikipedia:Keine persönlichen Angriffe	2004	5	Wikipedia:Keine persönlichen Angriffe	Wikipedia:No personal attacks	Wikipedia:No hagas ataques personales	Wikipédia:Pas d'attaque personnelle	Wikipedia:個人攻撃はしない	87.0
Wikipedia:Relevanzkriterien	2004	5	Wikipedia:Relevanzkriterien	Wikipedia:Notability	Wikipedia:Artículos sin relevancia aparente	Wikipédia:Notoriété	Wikipedia:独立記事作成の目安	145.0
Wikipedia:Verhalten gegenüber Neulingen	2004	5	Wikipedia:Verhalten gegenüber Neulingen	Wikipedia:Please do not bite the newcomers	Wikipedia:No morder a los novatos	Wikipédia:Ne mordez pas les nouveaux	Wikipedia:新規参加者を苛めないでください	187.0
Wikipedia:Was Wikipedia nicht ist	2002	5	Wikipedia:Was Wikipedia nicht ist	Wikipedia:What Wikipedia is not	Wikipedia:Lo que Wikipedia no es	Wikipédia:Ce que Wikipédia n'est pas	Wikipedia:ウィキペディアは何ではないか	194.0
Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen	2005	5	Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen	Wikipedia:Do not disrupt Wikipedia to illustrate a point	Wikipedia:No sabotees Wikipedia para respaldar tus argumentos	Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle	Wikipedia:腕ずくで解決しようとしない	176.0
