100_WIKIPEDIA:MANUAL_DE_ESTILO/SECCIONES_DE_CURIOSIDADES	10_WIKIPEDIA:CIVISMO	11_WIKIPEDIA:CONFLICTO_DE_INTERÉS	12_WIKIPEDIA:CONSULTAS_DE_BORRADO_MEDIANTE_ARGUMENTACIÓN	13_WIKIPEDIA:CONTEXTUALIZAR	14_WIKIPEDIA:CONVENCIONES_DE_TÍTULOS	15_WIKIPEDIA:CREACIÓN_DE_ARTÍCULOS_CON_BOT	16_WIKIPEDIA:CREADORES_DE_CUENTAS	17_WIKIPEDIA:CRITERIOS_PARA_EL_BORRADO_RÁPIDO	18_WIKIPEDIA:CUENTA_DE_PROPÓSITO_PARTICULAR	19_WIKIPEDIA:DERECHOS_DE_AUTOR	1_WIKIPEDIA:ACERCA_DE_FIRMAR_ARTÍCULOS	20_WIKIPEDIA:ENLACES_EXTERNOS	21_WIKIPEDIA:ESTA_PÁGINA_ESTÁ_PROTEGIDA	22_WIKIPEDIA:ETIQUETA	23_WIKIPEDIA:ETIQUETAS_DE_USUARIO	24_WIKIPEDIA:EXENTOS_DE_BLOQUEO_A_IP	25_WIKIPEDIA:FIRMA_DE_USUARIO	26_WIKIPEDIA:FUENTES_FIABLES	27_WIKIPEDIA:GUÍA_DE_BORRADO_PARA_LOS_BIBLIOTECARIOS	28_WIKIPEDIA:GUÍA_PARA_EL_BORRADO	29_WIKIPEDIA:IGNORA_LAS_NORMAS	2_WIKIPEDIA:ADMINISTRADORES_DE_INTERFAZ	30_WIKIPEDIA:INFORMACIÓN_DE_SOPORTE_ENCICLOPÉDICO	31_WIKIPEDIA:LO_QUE_WIKIPEDIA_NO_ES	32_WIKIPEDIA:LOS_CINCO_PILARES	33_WIKIPEDIA:NO_HAGAS_ATAQUES_PERSONALES	34_WIKIPEDIA:NO_MORDER_A_LOS_NOVATOS	35_WIKIPEDIA:NO_SABOTEES_WIKIPEDIA_PARA_RESPALDAR_TUS_ARGUMENTOS	36_WIKIPEDIA:NOMBRES_DE_USUARIO	37_WIKIPEDIA:PÁGINA_DE_USUARIO	38_WIKIPEDIA:PÁGINAS_DE_AUTOPROMOCIÓN	39_WIKIPEDIA:PARA_BIBLIOTECARIOS	3_WIKIPEDIA:ARTÍCULOS_SIN_RELEVANCIA_APARENTE	40_WIKIPEDIA:PLANTILLAS_DE_NAVEGACIÓN	41_WIKIPEDIA:POLÍTICA_DE_BORRADO	42_WIKIPEDIA:POLÍTICA_DE_BOTS	43_WIKIPEDIA:POLÍTICA_DE_CONSULTAS	44_WIKIPEDIA:POLÍTICA_DE_PROTECCIÓN	45_WIKIPEDIA:POLÍTICA_DE_RESTAURACIÓN	46_WIKIPEDIA:POLÍTICA_DE_USO_DE_IMÁGENES	47_WIKIPEDIA:POLÍTICA_DE_WIKIPROYECTOS	48_WIKIPEDIA:POLÍTICAS_Y_CONVENCIONES	49_WIKIPEDIA:PRESUME_BUENA_FE	4_WIKIPEDIA:AUTOBIOGRAFÍA	50_WIKIPEDIA:PROPUESTAS_DE_BORRADO	51_WIKIPEDIA:PROSELITISMO	52_WIKIPEDIA:PSEUDOBOTS	53_WIKIPEDIA:PUNTO_DE_VISTA_NEUTRAL	54_WIKIPEDIA:REGLA_DE_LAS_TRES_REVERSIONES	55_WIKIPEDIA:REVALIDACIÓN_DE_BIBLIOTECARIOS	56_WIKIPEDIA:REVALIDACIÓN_DE_BIBLIOTECARIOS/TEXTO	57_WIKIPEDIA:REVERSORES	58_WIKIPEDIA:SEMIPROTECCIÓN_DE_PÁGINAS	59_WIKIPEDIA:SPAM	5_WIKIPEDIA:BIBLIOTECARIOS	60_WIKIPEDIA:SUPRESORES	61_WIKIPEDIA:USA_EL_SENTIDO_COMÚN	62_USUARIA:USERBOX_MUJER	63_WIKIPEDIA:USUARIOS_TÍTERES	64_WIKIPEDIA:VERIFICABILIDAD	65_WIKIPEDIA:VERIFICADORES	66_WIKIPEDIA:VOTACIONES	67_WIKIPEDIA:WIKIPEDIA_NO_ES_DE_PAPEL	68_WIKIPEDIA:WIKIPEDIA_NO_ES_UN_DICCIONARIO	69_WIKIPEDIA:WIKIPEDIA_NO_ES_UNA_FUENTE_PRIMARIA	6_WIKIPEDIA:BIOGRAFÍAS_DE_PERSONAS_VIVAS	70_WIKIPEDIA:CONVENCIÓN_SOBRE_FUENTES_DE_RELEVANCIA_PARA_ARTISTAS_PLÁSTICOS_CONTEMPORÁNEOS	71_WIKIPEDIA:DOCUMENTACIÓN_DE_LAS_PLANTILLAS_DE_AVISO_A_USUARIO	72_WIKIPEDIA:DOCUMENTACIÓN_DE_LAS_PLANTILLAS_DE_MANTENIMIENTO	73_WIKIPEDIA:ENCUESTAS	74_WIKIPEDIA:ESBOZO	75_WIKIPEDIA:ESPACIO_DE_NOMBRES_AYUDA	76_WIKIPEDIA:ESPACIO_DE_NOMBRES_WIKIPEDIA	77_WIKIPEDIA:ESPACIO_PRINCIPAL	78_WIKIPEDIA:ESTRUCTURA_DE_UN_ARTÍCULO	79_WIKIPEDIA:ETIQUETAS_DE_USUARIO	7_WIKIPEDIA:BURÓCRATAS	80_WIKIPEDIA:EVITA_LAS_AUTORREFERENCIAS	81_WIKIPEDIA:PÁGINAS_DE_DISCUSIÓN	82_WIKIPEDIA:PROPIEDAD_DE_LOS_ARTÍCULOS	83_WIKIPEDIA:REFERENCIAS	84_WIKIPEDIA:REVELACIÓN_DE_LA_TRAMA	85_WIKIPEDIA:SÉ_VALIENTE_AL_EDITAR_PÁGINAS	86_WIKIPEDIA:TOPÓNIMOS_DE_ESPAÑA	87_WIKIPEDIA:TRANSLITERACIÓN_Y_TRANSCRIPCIÓN	88_WIKIPEDIA:¿TÚ_O_USTED?	89_USUARIA:USERBOX_MUJER	8_WIKIPEDIA:CANDIDATOS_A_ARTÍCULOS_DESTACADOS/INFORMACIÓN	90_USUARIO:USERBOX/DOCUMENTACIÓN_DE_USERBOXES	91_WIKIPEDIA:VÉASE_TAMBIÉN	92_WIKIPEDIA:CONVENCIONES_IDIOMÁTICAS	93_WIKIPEDIA:MANUAL_DE_ESTILO	94_WIKIPEDIA:MANUAL_DE_ESTILO/ABREVIATURAS	95_WIKIPEDIA:MANUAL_DE_ESTILO/BIOGRAFÍAS	96_WIKIPEDIA:MANUAL_DE_ESTILO/PÁGINAS_DE_DESAMBIGUACIÓN	97_WIKIPEDIA:MANUAL_DE_ESTILO/ARTÍCULOS_RELACIONADOS_CON_JAPÓN	98_WIKIPEDIA:MANUAL_DE_ESTILO/MARCAS	99_WIKIPEDIA:MANUAL_DE_ESTILO/PÁGINAS_DE_DESAMBIGUACIÓN	9_WIKIPEDIA:CHECKUSERS	anon	articleid	date_time	deleted	editor	editor_id	minor	namespace	revert	reverteds	revid	sha1	text_chars	title
None	None	None	None	None	Wikipedia:Convenciones de títulos	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Votaciones	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	257705	2005-12-30 13:20:06	FALSE	Taragui	26886	TRUE	3	FALSE		1942970	36sqxczx3seykn8pcb4w5lwxlr05qf3	4039	Usuario discusión:Wayne sckok
None	None	None	None	None	Wikipedia:Convenciones de títulos	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Votaciones	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	257705	2006-08-25 05:01:33	FALSE	Orgullobot~eswiki	36641	TRUE	3	FALSE		4423616	bhzg1q5cmmsqm7gicsfga2dt8qnd5kw	4062	Usuario discusión:Wayne sckok
None	None	None	None	None	Wikipedia:Convenciones de títulos	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Votaciones	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	257705	2006-09-28 03:01:16	FALSE	Orgullobot~eswiki	36641	TRUE	3	FALSE		4899483	lmxxuqst78r2z3z3txy6xtjgyl87xx7	4058	Usuario discusión:Wayne sckok
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	257712	2009-02-17 15:57:48	FALSE	82.144.124.54		FALSE	1	FALSE		24161626	1wvp4jce07b2lk9jtcltvp8528r0qb1	4165	Discusión:Esnob
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	257712	2009-05-12 23:53:12	FALSE	Jorgebarrios	157568	TRUE	1	FALSE		26292600	1wvp4jce07b2lk9jtcltvp8528r0qb1	4165	Discusión:Esnob
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	257712	2009-06-26 14:17:39	FALSE	Muro Bot	341614	TRUE	1	FALSE		27557593	loy7o514ym7cn06mkfwidxhrwn6e5fh	4248	Discusión:Esnob
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	257712	2010-10-09 19:14:39	FALSE	190.24.17.252		FALSE	1	FALSE		40872757	gadz2qbvq5vuioic2oonnyok70b982o	4323	Discusión:Esnob
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	257712	2011-05-28 20:40:15	FALSE	62.43.162.230		FALSE	1	FALSE		46707982	n6sbdtov5rfg1p09pf49z7awhhma7ko	4542	Discusión:Esnob
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	257712	2011-05-28 20:40:22	FALSE	62.43.162.230		FALSE	1	FALSE		46707986	5ahrqwzymida2zg93blaejn4vkesp8o	4761	Discusión:Esnob
None	None	None	None	None	None	None	None	None	None	WP, WP, WP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Bibliotecarios	None	None	None	None	Wikipedia:Verificabilidad	None	None	None	None	WP:FP	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:Referencias, WP:REF	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	257712	2011-05-28 20:40:28	FALSE	62.43.162.230		FALSE	1	FALSE		46707990	6hk43uin2aluemmn81yvytp75ukeqft	4980	Discusión:Esnob
