100_WIKIPÉDIA:NOTORIÉTÉ_DES_SPORTIFS	101_WIKIPÉDIA:NOUVEAU_DÉPART	102_WIKIPÉDIA:PANTIN	103_WIKIPÉDIA:PAS_D'ATTAQUE_PERSONNELLE	104_WIKIPÉDIA:PAS_DE_MENACE_DE_POURSUITES_JUDICIAIRES	105_WIKIPÉDIA:PRINCIPE_DE_MOINDRE_SURPRISE	106_WIKIPÉDIA:PROTECTION	107_WIKIPÉDIA:RÈGLE_DES_TROIS_RÉVOCATIONS	108_WIKIPÉDIA:RÉSOLUTION_DE_CONFLIT	109_WIKIPÉDIA:RÉSUMÉ_INTRODUCTIF	10_WIKIPÉDIA:CONVENTIONS_D'UTILISATION_DES_IMAGES	110_WIKIPÉDIA:RÉVOCATEUR	111_WIKIPÉDIA:SCISSION_DE_CONTENU	112_WIKIPÉDIA:SECTIONS_ANECDOTIQUES	113_WIKIPÉDIA:SEMI-PROTECTION_ÉTENDUE	114_AIDE:SIGNATURE	115_WIKIPÉDIA:SOURCES_PRIMAIRES,_SECONDAIRES_ET_TERTIAIRES	116_WIKIPÉDIA:SOUS-PAGE	117_WIKIPÉDIA:STYLE_ENCYCLOPÉDIQUE	118_WIKIPÉDIA:SUPPOSER_LA_BONNE_FOI	119_WIKIPÉDIA:TERMES_À_UTILISER_AVEC_PRÉCAUTION	11_WIKIPÉDIA:CONVENTIONS_SUR_LES_CATÉGORIES	120_WIKIPÉDIA:TOUJOURS_COMMENTER_VOS_MODIFICATIONS_DANS_LA_BOÎTE_DE_RÉSUMÉ	121_WIKIPÉDIA:TRADUCTION_AUTOMATIQUE	122_WIKIPÉDIA:TRANSCRIPTION_DES_LANGUES_INDIENNES	123_WIKIPÉDIA:TRANSCRIPTION_DU_CHINOIS	124_AIDE:TRAVAILLER_COLLECTIVEMENT	125_WIKIPÉDIA:USAGE_RAISONNÉ_DES_SOURCES_DE_PRESSE	126_WIKIPÉDIA:VANDALISME	127_WIKIPÉDIA:WIKIPÉDIA_N'EST_PAS_UN_DICTIONNAIRE	12_WIKIPÉDIA:EXCEPTIONS_AU_DROIT_D'AUTEUR	13_WIKIPÉDIA:LIENS_VERS_LES_PORTAILS	14_WIKIPÉDIA:MASQUEUR_DE_MODIFICATIONS	15_WIKIPÉDIA:RESTRICTION_THÉMATIQUE	16_WIKIPÉDIA:RÉVOCATEUR	17_WIKIPÉDIA:SEMI-PROTECTION	18_WIKIPÉDIA:TRANSCRIPTION_DU_JAPONAIS	19_WIKIPÉDIA:TRAVAUX_INÉDITS	1_WIKIPÉDIA:ABUSEFILTER	20_WIKIPÉDIA:UTILISATION_DE_DONNÉES_WIKIDATA_DANS_LES_ARTICLES	21_WIKIPÉDIA:VÉRIFIABILITÉ	22_WIKIPÉDIA:PRINCIPES_FONDATEURS	23_WIKIPÉDIA:RÈGLES_DE_SAVOIR-VIVRE	24_WIKIPÉDIA:INTERPRÉTATION_CRÉATIVE_DES_RÈGLES	25_WIKIPÉDIA:DROIT_D'AUTEUR	26_WIKIPÉDIA:NEUTRALITÉ_DE_POINT_DE_VUE	27_WIKIPÉDIA:WIKIPÉDIA_EST_UNE_ENCYCLOPÉDIE	28_WIKIPÉDIA:RÈGLES_ET_RECOMMANDATIONS	29_WIKIPÉDIA:ACCESSIBILITÉ	2_WIKIPÉDIA:ACTIONS_ADMINISTRATIVES_(WMF)	30_WIKIPÉDIA:ARTICLES_CONSACRÉS_À_LA_PORNOGRAPHIE	31_WIKIPÉDIA:AUCUNE_CHANCE	32_WIKIPÉDIA:AUTOBIOGRAPHIE	33_WIKIPÉDIA:BANNISSEMENT	34_WIKIPÉDIA:BIOGRAPHIE_DE_PERSONNE_VIVANTE	35_WIKIPÉDIA:BLOCAGE_EN_ÉCRITURE	36_WIKIPÉDIA:CITATION_ET_RÉUTILISATION_DU_CONTENU_DE_WIKIPÉDIA	37_WIKIPÉDIA:CITEZ_VOS_SOURCES	38_WIKIPÉDIA:CODE_DE_BONNE_CONDUITE	39_WIKIPÉDIA:CONFLIT_D'INTÉRÊTS	3_WIKIPÉDIA:ADMINISTRATEUR	40_WIKIPÉDIA:CONSENSUS	41_WIKIPÉDIA:CONTENU_CHOQUANT	42_WIKIPÉDIA:CONTENU_ÉVASIF	43_AIDE:CONTRIBUTIONS_RÉMUNÉRÉES	44_WIKIPÉDIA:CONVENTIONS_BIBLIOGRAPHIQUES	45_WIKIPÉDIA:CONVENTIONS_CONCERNANT_LES_NOMBRES	46_WIKIPÉDIA:CONVENTIONS_D'UTILISATION_DES_IMAGES	47_WIKIPÉDIA:CONVENTIONS_DE_PLAN	48_WIKIPÉDIA:CONVENTIONS_DE_STYLE	49_WIKIPÉDIA:CONVENTIONS_FILMOGRAPHIQUES	4_UTILISATEUR:BALDURAR/BROUILLON_PORTAIL	50_WIKIPÉDIA:CONVENTIONS_SUR_LES_CATÉGORIES	51_WIKIPÉDIA:CONVENTIONS_SUR_LES_TITRES	52_WIKIPÉDIA:CONVENTIONS_SUR_LES_TITRES_D'ŒUVRES_DE_MUSIQUE_CLASSIQUE	53_WIKIPÉDIA:CONVENTIONS_SUR_LES_TITRES_DE_PERSONNAGES_DE_LA_MYTHOLOGIE_GRECQUE	54_WIKIPÉDIA:CONVENTIONS_TYPOGRAPHIQUES	55_WIKIPÉDIA:CRITÈRE_DES_DEUX_ANS	56_WIKIPÉDIA:CRITÈRES_D'ADMISSIBILITÉ_DES_ARTICLES	57_WIKIPÉDIA:CRITÈRES_DE_SUPPRESSION_IMMÉDIATE	58_WIKIPÉDIA:CRITÈRES_SPÉCIFIQUES_DE_NOTORIÉTÉ	59_WIKIPÉDIA:DATES	5_WIKIPÉDIA:BUREAUCRATE	60_UTILISATEUR:DESFOLIES/BROUILLON	61_WIKIPÉDIA:DÉVOILE_L'INTRIGUE_DU_RÉCIT	62_WIKIPÉDIA:DISCUTER_AU_LIEU_DE_VOTER	63_WIKIPÉDIA:ESPRIT_DE_NON-VIOLENCE	64_WIKIPÉDIA:ÉTIQUETTE	65_WIKIPÉDIA:FAUX-NEZ	66_WIKIPÉDIA:GUERRE_D'ÉDITION	67_WIKIPÉDIA:GUIDE_CONTRE_L'ANTHROPOCENTRISME	68_WIKIPÉDIA:GUIDE_PRATIQUE	69_WIKIPÉDIA:HARCÈLEMENT	6_WIKIPÉDIA:CITATION	70_PROJET:HOCKEY_SUR_GLACE/CONVENTIONS/NOTORIÉTÉ	71_WIKIPÉDIA:IMPORTANCE_DISPROPORTIONNÉE	72_WIKIPÉDIA:INTERNATIONALISATION	73_WIKIPÉDIA:JOUER_AVEC_LES_PRINCIPES,_RÈGLES_ET_RECOMMANDATIONS_DE_WIKIPÉDIA	74_WIKIPÉDIA:LIENS_EXTERNES	75_WIKIPÉDIA:LIENS_INTERNES	76_WIKIPÉDIA:LIMITEZ_L'USAGE_DE_LA_COULEUR_DANS_LES_ARTICLES	77_WIKIPÉDIA:LISTE_DES_CRITÈRES_SPÉCIFIQUES_DE_NOTORIÉTÉ	78_WIKIPÉDIA:MISE_EN_FORME_DES_IMAGES	79_WIKIPÉDIA:MOBILE	7_WIKIPÉDIA:CONTESTATION_DU_STATUT_D'ADMINISTRATEUR	80_WIKIPÉDIA:N'HÉSITEZ_PAS_!	81_WIKIPÉDIA:NE_JOUEZ_PAS_AU_CON_!	82_WIKIPÉDIA:NE_MORDEZ_PAS_LES_NOUVEAUX	83_WIKIPÉDIA:NE_PAS_DÉSORGANISER_WIKIPÉDIA_POUR_UNE_ARGUMENTATION_PERSONNELLE	84_WIKIPÉDIA:NÉOLOGISME	85_WIKIPÉDIA:NOM_D'UTILISATEUR	86_WIKIPÉDIA:NOM_D'UTILISATEUR_CONNU	87_WIKIPÉDIA:NOTORIÉTÉ	88_WIKIPÉDIA:NOTORIÉTÉ_DANS_LE_DOMAINE_DE_LA_PORNOGRAPHIE	89_WIKIPÉDIA:NOTORIÉTÉ_DANS_LE_FOOTBALL	8_WIKIPÉDIA:CONTESTATION_DU_STATUT_DE_BUREAUCRATE	90_WIKIPÉDIA:NOTORIÉTÉ_DE_LA_MUSIQUE	91_WIKIPÉDIA:NOTORIÉTÉ_DES_ARTS_VISUELS	92_WIKIPÉDIA:NOTORIÉTÉ_DES_ENTREPRISES,_SOCIÉTÉS_ET_PRODUITS	93_WIKIPÉDIA:NOTORIÉTÉ_DES_ÉVÉNEMENTS	94_WIKIPÉDIA:NOTORIÉTÉ_DES_FANZINES	95_WIKIPÉDIA:NOTORIÉTÉ_DES_JEUX_DE_SOCIÉTÉ	96_WIKIPÉDIA:NOTORIÉTÉ_DES_ŒUVRES_DE_FICTION	97_WIKIPÉDIA:NOTORIÉTÉ_DES_PERSONNALITÉS_POLITIQUES	98_WIKIPÉDIA:NOTORIÉTÉ_DES_PERSONNES	99_WIKIPÉDIA:NOTORIÉTÉ_DES_SITES_WEB	9_AIDE:CONTRIBUTIONS_RÉMUNÉRÉES	anon	articleid	date_time	deleted	editor	editor_id	minor	namespace	revert	reverteds	revid	sha1	text_chars	title
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:SPSS	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CGN, WP:PERNOT	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347869	2019-01-30 17:42:57	FALSE	Azurfrog	517206	FALSE	1	FALSE		156315343	p8q5dl0pi6x9is9mbk6bbq4xglqw2xj	861	Discussion:Akim Soul
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:SPSS	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CGN, WP:PERNOT	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347869	2019-01-30 22:16:18	FALSE	CDC-CONNEXION	3015948	FALSE	1	FALSE		156322544	7q1xi9t43iqw6kloudgt6zxnbak42wg	1045	Discussion:Akim Soul
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:SPSS	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CGN, WP:PERNOT	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347869	2019-01-30 22:35:30	FALSE	CDC-CONNEXION	3015948	FALSE	1	FALSE		156322942	beao47kkt4335lqtcmhtf3oqdw2dosu	1250	Discussion:Akim Soul
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:SPSS	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CGN, WP:PERNOT	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347869	2019-01-30 22:35:48	FALSE	CDC-CONNEXION	3015948	FALSE	1	FALSE		156322951	ip5hvry3jur8gb6mn2utq3udu7iuwhw	1259	Discussion:Akim Soul
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:SPSS	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CGN, WP:PERNOT	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347869	2019-01-31 10:40:51	FALSE	Azurfrog	517206	FALSE	1	FALSE		156333152	rdhy3eh2qd6b6brhbrn9s5y9mtbxzvp	1934	Discussion:Akim Soul
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Vandalisme	None	None	None	None	None	None	None	None	Wikipédia:Travaux inédits	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CAA	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347875	2019-01-30 17:54:57	FALSE	Salebot	173239	FALSE	3	FALSE		156315710	nkl9m0rpei4fchzr5k8whs33qkjpw22	3010	Discussion utilisateur:90.25.131.10
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Vandalisme	None	None	None	None	None	None	None	None	Wikipédia:Travaux inédits, Wikipédia:Travaux inédits	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CAA, WP:CAA	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347875	2019-01-30 17:58:57	FALSE	Salebot	173239	FALSE	3	FALSE		156315827	9a5px1q4xry457uremuvgck87x57h5i	4142	Discussion utilisateur:90.25.131.10
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Principes fondateurs	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CAA	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347892	2019-02-01 16:45:54	FALSE	Salebot	173239	FALSE	3	FALSE		156372487	twehuepzvkcb189l8gx2ndwigu32s0p	2780	Discussion utilisateur:Roties de poulet
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Principes fondateurs	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	WP:CAA	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia, Wikipédia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	12347892	2019-02-05 15:30:44	FALSE	Hexasoft	53494	FALSE	3	FALSE		156494393	stzgiltf53at6k0y3umclpncp7g8uvz	3834	Discussion utilisateur:Roties de poulet
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Aide:Signature	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Citez vos sources	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:critères d'admissibilité des articles, WP:CAA	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia, Wikipédia, Wikipédia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Notoriété des entreprises	None	None	None	None	None	None	None	None	FALSE	12347917	2019-02-06 12:08:00	FALSE	Lomita	621253	FALSE	1	FALSE		156516332	bne0hudm4o49xmohohlmcdoi1a46gz1	5298	Discussion:Crédit agricole Atlantique Vendée/Suppression
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Aide:Signature	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Citez vos sources	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:critères d'admissibilité des articles, WP:CAA	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia, Wikipédia, Wikipédia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipédia:Notoriété des entreprises	None	None	None	None	None	None	None	None	FALSE	12347917	2019-02-06 13:03:09	FALSE	Kertraon	97150	FALSE	1	FALSE		156517606	75me0t7int28yob9ftybjg3k97mn0gt	6053	Discussion:Crédit agricole Atlantique Vendée/Suppression
