100_WIKIPEDIA:ページの編集は大胆に	101_WIKIPEDIA:翻訳のガイドライン	102_WIKIPEDIA:常に要約欄に記入する	103_WIKIPEDIA:過剰な内容の整理	104_WIKIPEDIA:過剰なカテゴリ	105_WIKIPEDIA:著作権/履歴の保存	106_WIKIPEDIA:オーバーサイト依頼	107_WIKIPEDIA:編集フィルターのガイドライン	108_WIKIPEDIA:五本の柱	109_WIKIPEDIA:記事名の付け方/日本の皇族	10_WIKIPEDIA:荒らし	110_WIKIPEDIA:著作権/20080630迄	111_WIKIPEDIA:アカウント作成者	112_WIKIPEDIA:IPブロック適用除外	11_WIKIPEDIA:オープンプロクシは使わない	12_WIKIPEDIA:BOT	13_WIKIPEDIA:有償の寄稿の開示	14_WIKIPEDIA:中立的な観点	15_WIKIPEDIA:検証可能性	16_WIKIPEDIA:独自研究は載せない	17_WIKIPEDIA:存命人物の伝記	18_WIKIPEDIA:著作権	19_WIKIPEDIA:著作権/2008年7月13日までの文書対象	1_WIKIPEDIA:方針とガイドライン	20_WIKIPEDIA:アップロードされたファイルのライセンス	21_WIKIPEDIA:プロジェクト間の移動	22_WIKIPEDIA:画像利用の方針	23_WIKIPEDIA:カテゴリの方針	24_WIKIPEDIA:曖昧さ回避	25_WIKIPEDIA:保護の方針	26_WIKIPEDIA:半保護の方針	27_WIKIPEDIA:削除の方針	28_WIKIPEDIA:即時削除の方針	29_WIKIPEDIA:即時版指定削除の方針	2_WIKIPEDIA:ウィキペディアは何ではないか	30_WIKIPEDIA:版指定削除の方針	31_WIKIPEDIA:リダイレクト削除の方針	32_WIKIPEDIA:即時存続	33_WIKIPEDIA:復帰の方針	34_WIKIPEDIA:投稿ブロックの方針	35_WIKIPEDIA:チェックユーザーの方針	36_WIKIPEDIA:オーバーサイトの方針	37_WIKIPEDIA:管理者	38_WIKIPEDIA:管理者の解任	39_WIKIPEDIA:巻き戻し者	3_WIKIPEDIA:編集方針	40_WIKIPEDIA:削除者	41_WIKIPEDIA:インターフェース管理者	42_WIKIPEDIA:合意形成	43_WIKIPEDIA:論争の解決	44_WIKIPEDIA:児童・生徒の方々へ	45_WIKIPEDIA:ノートページのガイドライン	46_WIKIPEDIA:説明責任	47_WIKIPEDIA:善意にとる	48_WIKIPEDIA:新規参加者を苛めないでください	49_WIKIPEDIA:腕ずくで解決しようとしない	4_WIKIPEDIA:礼儀を忘れない	50_WIKIPEDIA:記事の所有権	51_WIKIPEDIA:多重アカウント	52_WIKIPEDIA:スリー・リバート・ルール	53_WIKIPEDIA:信頼できる情報源	54_WIKIPEDIA:自分自身の記事をつくらない	55_WIKIPEDIA:原典のコピーはしない	56_WIKIPEDIA:無意味な記述	57_WIKIPEDIA:ネタバレ	58_WIKIPEDIA:あらすじの書き方	59_WIKIPEDIA:不快なコンテンツ	5_WIKIPEDIA:エチケット	60_WIKIPEDIA:外部リンクの選び方	61_プロジェクト:フィクション/登場人物と設定の記述	62_WIKIPEDIA:特筆性_(音楽)	63_WIKIPEDIA:独立記事作成の目安	64_WIKIPEDIA:関連項目	65_WIKIPEDIA:記事名の付け方	66_WIKIPEDIA:記事名の付け方/鉄道	67_WIKIPEDIA:記事名の付け方/ヨーロッパ貴族の記事名	68_プロジェクト:キリスト教/キリスト教の記事名と用語表記のガイドライン	69_WIKIPEDIA:出典を明記する	6_WIKIPEDIA:個人攻撃はしない	70_WIKIPEDIA:スタイルマニュアル	71_WIKIPEDIA:スタイルマニュアル_(レイアウト)	72_WIKIPEDIA:スタイルマニュアル_(見出し)	73_WIKIPEDIA:スタイルマニュアル_(導入部)	74_WIKIPEDIA:スタイルマニュアル_(人物伝)	75_WIKIPEDIA:スタイルマニュアル_(フィクション関連)	76_WIKIPEDIA:表記ガイド	77_WIKIPEDIA:表記ガイド/放送関連および配信関連	78_WIKIPEDIA:各年のスタイルガイド	79_WIKIPEDIA:各日のスタイルガイド	7_WIKIPEDIA:法的な脅迫をしない	80_WIKIPEDIA:記事どうしをつなぐ	81_WIKIPEDIA:大言壮語をしない	82_WIKIPEDIA:言葉を濁さない	83_WIKIPEDIA:すぐに古くなる表現は使わない	84_WIKIPEDIA:雑多な内容を箇条書きした節を避ける	85_WIKIPEDIA:ウィキペディアへの自己言及	86_WIKIPEDIA:箇条書き	87_WIKIPEDIA:関連作品	88_WIKIPEDIA:サマリースタイル	89_WIKIPEDIA:色の使用	8_WIKIPEDIA:署名	90_WIKIPEDIA:アイコン	91_WIKIPEDIA:スタブ	92_WIKIPEDIA:リダイレクト	93_WIKIPEDIA:影響が特に大きいテンプレート	94_WIKIPEDIA:テンプレートのサンドボックスとテストケース	95_WIKIPEDIA:利用者ページ	96_WIKIPEDIA:自著作物の持ち込み	97_WIKIPEDIA:自著作物の持ち込み/削除依頼を出されたら	98_WIKIPEDIA:ページの分割と統合	99_WIKIPEDIA:ページの改名	9_WIKIPEDIA:利用者名	anon	articleid	date_time	deleted	editor	editor_id	minor	namespace	revert	reverteds	revid	sha1	text_chars	title
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	1124996	2007-08-08 23:50:44	FALSE	KH－editor	125369	FALSE	0	FALSE		14125806	d5uiezzlqw32kbm9fb1mkm01zmrykxv	16452	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	1124996	2007-08-10 03:33:49	FALSE	Cpro	28341	TRUE	0	FALSE		14146232	4tir73avkg3in7f8ddcia0en66dmlsx	16482	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	1124996	2007-08-11 00:47:21	FALSE	59.157.3.103		FALSE	0	FALSE		14162463	m7ii235t0ymqm9evttvw3ezrwfw8p8d	16378	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	1124996	2007-08-12 14:03:50	FALSE	Ｋｓ	15319	FALSE	0	FALSE		14192284	iovbgxvme6x0o8ji9q14rsntbuv650e	16449	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	FALSE	1124996	2007-08-13 00:33:57	FALSE	KH－editor	125369	FALSE	0	FALSE		14198646	2be4fmol1vz21j67jjgazjalka8g1dz	16380	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	1124996	2007-08-14 12:51:25	FALSE	61.45.88.4		FALSE	0	FALSE		14230813	a8peitdsvv1dl01lxd1r00adja2yrn0	16404	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	1124996	2007-08-14 16:12:14	FALSE	124.98.242.194		FALSE	0	FALSE		14234778	mobh63ji0vqnk8bgk2m4356eou6b78l	16457	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	1124996	2007-08-15 11:57:59	FALSE	202.220.233.227		FALSE	0	FALSE		14247756	r7b6afn3g6zvyfi5jvvxyx1ys6lyeou	16479	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	1124996	2007-08-16 12:43:07	FALSE	219.31.134.64		FALSE	0	FALSE		14267625	dsmibgtrer7udai2yuv5h79tvi2apge	16503	ボク少女
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Wikipedia:削除の方針, Wikipedia:削除の方針	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	TRUE	1124996	2007-08-17 05:07:43	FALSE	211.121.186.46		FALSE	0	FALSE		14279160	3ayh7lnejxedty2r6pi3mcwzgnnmnyl	16592	ボク少女
