year_month	total_core_policy_invoked	total_rev_count
2001_10	0	129
2001_11	0	60
2001_12	0	158
2001_5	0	12
2001_6	0	2
2001_8	0	14
2001_9	0	151
2002_1	0	990
2002_10	3	3320
2002_11	27	1190
2002_12	16	1090
2002_2	0	1698
2002_3	0	143
2002_4	0	138
2002_5	0	368
2002_6	0	134
2002_7	0	48
2002_8	0	107
2002_9	0	181
2003_1	24	1276
2003_10	26	15337
2003_11	37	13867
2003_12	45	16143
2003_2	17	1262
2003_3	13	1469
2003_4	20	897
2003_5	21	1250
2003_6	20	1825
2003_7	61	5272
2003_8	58	7934
2003_9	53	7474
2004_1	62	12200
2004_10	159	47629
2004_11	841	45832
2004_12	523	41382
2004_2	73	14612
2004_3	64	20615
2004_4	176	17706
2004_5	284	17382
2004_6	106	19042
2004_7	319	25049
2004_8	401	27062
2004_9	72	40650
2005_1	693	41081
2005_10	1887	149351
2005_11	2338	137100
2005_12	2698	186159
2005_2	679	36757
2005_3	185	45558
2005_4	510	65199
2005_5	239	98634
2005_6	1680	97198
2005_7	663	109084
2005_8	713	163279
2005_9	2107	134766
2006_1	4228	215083
2006_10	5260	373095
2006_11	5641	394663
2006_12	7299	390882
2006_2	4719	220327
2006_3	3067	260451
2006_4	4001	265051
2006_5	7908	299424
2006_6	6455	317762
2006_7	7045	330877
2006_8	6724	353024
2006_9	6233	349150
2007_1	6599	436742
2007_10	11519	668319
2007_11	9453	616874
2007_12	9833	710826
2007_2	7458	452106
2007_3	7438	525054
2007_4	8989	513118
2007_5	9066	607328
2007_6	8860	538095
2007_7	8984	515752
2007_8	10651	556239
2007_9	11870	614529
2008_1	13679	716761
2008_10	12000	775370
2008_11	9348	694442
2008_12	11078	733423
2008_2	11811	650419
2008_3	10241	676232
2008_4	11410	688625
2008_5	12428	718722
2008_6	11696	599284
2008_7	15463	591752
2008_8	13244	624125
2008_9	13984	633719
2009_1	12674	682260
2009_10	12431	735132
2009_11	12215	697295
2009_12	10523	656048
2009_2	12559	692007
2009_3	13084	702416
2009_4	11912	665221
2009_5	13926	754438
2009_6	13063	759143
2009_7	13698	764069
2009_8	14416	704363
2009_9	14943	755668
2010_1	11820	795979
2010_10	10608	696815
2010_11	13309	686777
2010_12	11639	655482
2010_2	11315	843276
2010_3	14060	1075140
2010_4	12393	775251
2010_5	12557	893975
2010_6	11752	775347
2010_7	11023	661604
2010_8	11179	671670
2010_9	11676	679710
2011_1	11655	736466
2011_10	11419	767977
2011_11	10644	738190
2011_12	10899	737161
2011_2	11531	699111
2011_3	10418	707024
2011_4	9754	697097
2011_5	9432	683815
2011_6	10415	741199
2011_7	12261	783377
2011_8	13065	899185
2011_9	10274	689761
2012_1	11246	768321
2012_10	10265	814998
2012_11	9890	789865
2012_12	12891	703100
2012_2	9461	709693
2012_3	10513	732974
2012_4	10018	723167
2012_5	10219	788605
2012_6	12489	742307
2012_7	11750	899305
2012_8	10478	814918
2012_9	9700	788139
2013_1	11223	779799
2013_10	8912	544171
2013_11	8973	515716
2013_12	8781	516897
2013_2	8988	724232
2013_3	16828	1536129
2013_4	12451	709217
2013_5	9732	718243
2013_6	9705	638215
2013_7	9091	641837
2013_8	7469	563235
2013_9	7936	542300
2014_1	10287	552820
2014_10	7303	541695
2014_11	8688	544749
2014_12	10875	632588
2014_2	7770	590097
2014_3	7985	579453
2014_4	8924	552386
2014_5	9127	573194
2014_6	7839	532680
2014_7	10218	567508
2014_8	6681	711303
2014_9	7261	535836
2015_1	9199	560220
2015_10	8706	777021
2015_11	9136	1081329
2015_12	7859	664976
2015_2	7162	545625
2015_3	7428	766060
2015_4	7879	974844
2015_5	5810	681794
2015_6	7598	600928
2015_7	5921	576788
2015_8	7027	628192
2015_9	7208	630232
2016_1	8463	647874
2016_10	7029	648250
2016_11	8055	599409
2016_12	6983	571954
2016_2	7171	630076
2016_3	8802	629884
2016_4	7840	578832
2016_5	7682	588459
2016_6	8552	569015
2016_7	6588	576299
2016_8	7763	654979
2016_9	11488	660529
2017_1	7371	608200
2017_10	5894	761113
2017_11	10953	754412
2017_12	7135	736727
2017_2	8348	610495
2017_3	9003	737381
2017_4	8035	728780
2017_5	8265	711766
2017_6	7571	624336
2017_7	6944	620547
2017_8	6736	681087
2017_9	7110	680459
2018_1	7917	663752
2018_10	7296	674197
2018_11	7422	659328
2018_12	7587	580564
2018_2	7232	571189
2018_3	7812	694815
2018_4	6304	686380
2018_5	23338	867034
2018_6	23187	679410
2018_7	9630	600882
2018_8	6747	644950
2018_9	6367	612905
2019_1	8423	653024
2019_2	7772	585680
2019_3	7291	644656
2019_4	7390	646321
2019_5	7245	704958
2019_6	6813	681573
2019_7	9555	800722
2019_8	6854	869556
2019_9	234	32420
