year_month	total_core_policy_invoked	total_rev_count
2001_10	0	17
2001_11	0	13
2001_12	0	3
2001_6	0	2
2001_8	0	9
2002_1	0	26
2002_10	0	5635
2002_11	0	5873
2002_12	0	5238
2002_2	0	194
2002_3	0	322
2002_4	0	183
2002_5	0	396
2002_6	0	588
2002_7	0	921
2002_8	0	1632
2002_9	0	1366
2003_1	0	6496
2003_10	0	17616
2003_11	0	40443
2003_12	0	30408
2003_2	0	7896
2003_3	0	6995
2003_4	0	6369
2003_5	0	12872
2003_6	0	16134
2003_7	0	16769
2003_8	0	22780
2003_9	0	19528
2004_1	1	32388
2004_10	509	102304
2004_11	1836	126505
2004_12	616	130429
2004_2	17	41424
2004_3	20	57844
2004_4	23	62152
2004_5	99	67712
2004_6	112	96561
2004_7	381	85525
2004_8	626	121593
2004_9	1169	117669
2005_1	162	135131
2005_10	5379	361286
2005_11	5413	351928
2005_12	7911	443254
2005_2	1148	125554
2005_3	2642	174979
2005_4	683	195024
2005_5	1064	196116
2005_6	1515	230437
2005_7	3168	269830
2005_8	4621	294529
2005_9	3897	283713
2006_1	9242	489171
2006_10	22997	748289
2006_11	14448	789459
2006_12	12356	677140
2006_2	8565	442537
2006_3	10867	511765
2006_4	11349	565677
2006_5	10627	569534
2006_6	11780	642637
2006_7	10952	630641
2006_8	11219	672298
2006_9	11733	660507
2007_1	15906	769692
2007_10	18010	1050239
2007_11	19580	1024146
2007_12	14081	935653
2007_2	11936	778842
2007_3	16013	838571
2007_4	14089	808306
2007_5	16667	1014192
2007_6	12886	839820
2007_7	14158	818188
2007_8	16037	933468
2007_9	18805	948233
2008_1	14128	953419
2008_10	10114	869935
2008_11	11732	813325
2008_12	11092	821432
2008_2	16580	1209881
2008_3	16234	1097880
2008_4	15796	1043584
2008_5	16883	984009
2008_6	40151	916275
2008_7	13434	835713
2008_8	12516	821379
2008_9	14075	895790
2009_1	13739	910243
2009_10	16836	944511
2009_11	12376	900633
2009_12	13289	948666
2009_2	13856	870675
2009_3	14523	924649
2009_4	15404	862093
2009_5	20330	1052565
2009_6	14292	983516
2009_7	10676	800714
2009_8	16169	901164
2009_9	15455	858147
2010_1	15918	1086502
2010_10	15009	981075
2010_11	14634	1012667
2010_12	14549	990235
2010_2	15537	1078367
2010_3	14400	1061058
2010_4	12696	989037
2010_5	15075	986541
2010_6	13600	929475
2010_7	13208	882294
2010_8	12205	906253
2010_9	13115	903275
2011_1	16018	981798
2011_10	16758	983438
2011_11	16516	964512
2011_12	15445	1018639
2011_2	14886	866742
2011_3	16234	1064649
2011_4	14051	936924
2011_5	15403	992254
2011_6	14745	998189
2011_7	13999	933124
2011_8	14640	1045878
2011_9	15043	1453030
2012_1	15523	1181888
2012_10	17491	1193073
2012_11	23521	1106597
2012_12	21402	1106329
2012_2	16287	1149248
2012_3	19236	946469
2012_4	16916	949607
2012_5	17537	1055040
2012_6	17736	1004210
2012_7	16529	1042547
2012_8	17130	1056135
2012_9	16820	977095
2013_1	18259	1090557
2013_10	16076	750950
2013_11	14446	848792
2013_12	18318	918423
2013_2	21450	1054865
2013_3	23745	2112380
2013_4	26495	1037112
2013_5	19112	965920
2013_6	18591	885979
2013_7	17028	825239
2013_8	15475	810247
2013_9	15057	796593
2014_1	19756	981209
2014_10	16046	797821
2014_11	17421	820059
2014_12	19402	821613
2014_2	14166	852424
2014_3	17375	811450
2014_4	18320	837463
2014_5	19330	832044
2014_6	17744	778893
2014_7	16249	733288
2014_8	14566	1123477
2014_9	15187	771559
2015_1	16430	962444
2015_10	15554	904788
2015_11	14399	867160
2015_12	13969	798904
2015_2	15653	815584
2015_3	25381	1096895
2015_4	29995	1144229
2015_5	17602	888407
2015_6	15699	847406
2015_7	13450	878325
2015_8	14886	835827
2015_9	15112	835465
2016_1	14582	1103079
2016_10	12999	1078389
2016_11	11048	958445
2016_12	12256	864517
2016_2	15627	891814
2016_3	16139	1009904
2016_4	14645	847602
2016_5	14187	870466
2016_6	12041	789056
2016_7	11910	772378
2016_8	13807	877692
2016_9	13039	969958
2017_1	13361	931175
2017_10	12769	1024890
2017_11	14852	906042
2017_12	15354	928785
2017_2	12834	796912
2017_3	15513	965013
2017_4	14523	940906
2017_5	12353	841571
2017_6	9940	745227
2017_7	10500	773407
2017_8	11799	824878
2017_9	11128	837776
2018_1	17545	990987
2018_10	14320	899207
2018_11	15967	819643
2018_12	17772	935212
2018_2	13733	851857
2018_3	15087	1003125
2018_4	13096	928570
2018_5	12034	1053271
2018_6	14446	842403
2018_7	14030	861083
2018_8	13674	930623
2018_9	14922	804429
2019_1	14734	965191
2019_2	14861	770391
2019_3	16215	876772
2019_4	15559	835887
2019_5	15711	835027
2019_6	13757	787676
2019_7	13062	872638
2019_8	12029	813043
2019_9	490	27685
