creation_year	parent_page_title	year	revid	num_ills_that_year
2002	Wikipedia:Bibliotecarios	2002	3	4
2002	Wikipedia:Bibliotecarios	2003	53	5
2002	Wikipedia:Bibliotecarios	2004	162	5
2002	Wikipedia:Bibliotecarios	2005	134	5
2002	Wikipedia:Bibliotecarios	2006	212	5
2002	Wikipedia:Bibliotecarios	2007	294	5
2002	Wikipedia:Bibliotecarios	2008	232	5
2002	Wikipedia:Bibliotecarios	2009	136	5
2002	Wikipedia:Bibliotecarios	2010	91	5
2002	Wikipedia:Bibliotecarios	2011	72	5
2002	Wikipedia:Bibliotecarios	2012	124	5
2002	Wikipedia:Bibliotecarios	2013	135	5
2002	Wikipedia:Bibliotecarios	2014	37	5
2002	Wikipedia:Bibliotecarios	2015	165	5
2002	Wikipedia:Bibliotecarios	2016	57	5
2002	Wikipedia:Bibliotecarios	2017	23	5
2002	Wikipedia:Bibliotecarios	2018	34	5
2002	Wikipedia:Bibliotecarios	2019	19	5
2002	Wikipedia:Bibliotecarios	2020	18	5
2002	Wikipedia:Convenciones idiomáticas	2002	2	1
2002	Wikipedia:Convenciones idiomáticas	2003	4	1
2002	Wikipedia:Convenciones idiomáticas	2004	143	1
2002	Wikipedia:Convenciones idiomáticas	2005	79	1
2002	Wikipedia:Convenciones idiomáticas	2006	99	1
2002	Wikipedia:Convenciones idiomáticas	2007	83	1
2002	Wikipedia:Convenciones idiomáticas	2008	36	1
2002	Wikipedia:Convenciones idiomáticas	2009	33	1
2002	Wikipedia:Convenciones idiomáticas	2010	45	1
2002	Wikipedia:Convenciones idiomáticas	2011	54	1
2002	Wikipedia:Convenciones idiomáticas	2012	65	1
2002	Wikipedia:Convenciones idiomáticas	2013	42	1
2002	Wikipedia:Convenciones idiomáticas	2014	42	1
2002	Wikipedia:Convenciones idiomáticas	2015	75	1
2002	Wikipedia:Convenciones idiomáticas	2016	76	1
2002	Wikipedia:Convenciones idiomáticas	2017	45	1
2002	Wikipedia:Convenciones idiomáticas	2018	54	1
2002	Wikipedia:Convenciones idiomáticas	2019	54	1
2002	Wikipedia:Convenciones idiomáticas	2020	23	1
2002	Wikipedia:Lo que Wikipedia no es	2002	7	4
2002	Wikipedia:Lo que Wikipedia no es	2003	4	5
2002	Wikipedia:Lo que Wikipedia no es	2004	43	5
2002	Wikipedia:Lo que Wikipedia no es	2005	58	5
2002	Wikipedia:Lo que Wikipedia no es	2006	122	5
2002	Wikipedia:Lo que Wikipedia no es	2007	282	5
2002	Wikipedia:Lo que Wikipedia no es	2008	45	5
2002	Wikipedia:Lo que Wikipedia no es	2009	20	5
2002	Wikipedia:Lo que Wikipedia no es	2010	23	5
2002	Wikipedia:Lo que Wikipedia no es	2011	17	5
2002	Wikipedia:Lo que Wikipedia no es	2012	41	5
2002	Wikipedia:Lo que Wikipedia no es	2013	33	5
2002	Wikipedia:Lo que Wikipedia no es	2014	7	5
2002	Wikipedia:Lo que Wikipedia no es	2015	13	5
2002	Wikipedia:Lo que Wikipedia no es	2016	43	5
2002	Wikipedia:Lo que Wikipedia no es	2017	15	5
2002	Wikipedia:Lo que Wikipedia no es	2018	17	5
2002	Wikipedia:Lo que Wikipedia no es	2019	17	5
2002	Wikipedia:Lo que Wikipedia no es	2020	30	5
2002	Wikipedia:Manual de estilo	2002	10	4
2002	Wikipedia:Manual de estilo	2003	6	5
2002	Wikipedia:Manual de estilo	2004	34	5
2002	Wikipedia:Manual de estilo	2005	34	5
