creation_year	parent_page_title	year	revid	num_ills_that_year
2001.0	Wikipedia:Administrators	2001	11	1
2001.0	Wikipedia:Administrators	2002	46	4
2001.0	Wikipedia:Administrators	2003	397	5
2001.0	Wikipedia:Administrators	2004	451	5
2001.0	Wikipedia:Administrators	2005	380	5
2001.0	Wikipedia:Administrators	2006	718	5
2001.0	Wikipedia:Administrators	2007	606	5
2001.0	Wikipedia:Administrators	2008	775	5
2001.0	Wikipedia:Administrators	2009	686	5
2001.0	Wikipedia:Administrators	2010	1009	5
2001.0	Wikipedia:Administrators	2011	432	5
2001.0	Wikipedia:Administrators	2012	665	5
2001.0	Wikipedia:Administrators	2013	250	5
2001.0	Wikipedia:Administrators	2014	229	5
2001.0	Wikipedia:Administrators	2015	399	5
2001.0	Wikipedia:Administrators	2016	244	5
2001.0	Wikipedia:Administrators	2017	950	5
2001.0	Wikipedia:Administrators	2018	827	5
2001.0	Wikipedia:Administrators	2019	692	5
2001.0	Wikipedia:Administrators	2020	253	5
2001.0	Wikipedia:Article titles	2001	8	1
2001.0	Wikipedia:Article titles	2002	71	3
2001.0	Wikipedia:Article titles	2003	63	5
2001.0	Wikipedia:Article titles	2004	173	5
2001.0	Wikipedia:Article titles	2005	272	5
2001.0	Wikipedia:Article titles	2006	957	5
2001.0	Wikipedia:Article titles	2007	1214	5
2001.0	Wikipedia:Article titles	2008	1033	5
2001.0	Wikipedia:Article titles	2009	4006	5
2001.0	Wikipedia:Article titles	2010	3835	5
2001.0	Wikipedia:Article titles	2011	3613	5
2001.0	Wikipedia:Article titles	2012	3939	5
2001.0	Wikipedia:Article titles	2013	3793	5
2001.0	Wikipedia:Article titles	2014	2580	5
2001.0	Wikipedia:Article titles	2015	2489	5
2001.0	Wikipedia:Article titles	2016	513	5
2001.0	Wikipedia:Article titles	2017	554	5
2001.0	Wikipedia:Article titles	2018	674	5
2001.0	Wikipedia:Article titles	2019	794	5
2001.0	Wikipedia:Article titles	2020	748	5
2001.0	Wikipedia:Be bold	2001	2	1
2001.0	Wikipedia:Be bold	2002	17	2
2001.0	Wikipedia:Be bold	2003	35	4
2001.0	Wikipedia:Be bold	2004	79	4
2001.0	Wikipedia:Be bold	2005	516	4
2001.0	Wikipedia:Be bold	2006	649	5
2001.0	Wikipedia:Be bold	2007	795	5
2001.0	Wikipedia:Be bold	2008	347	5
2001.0	Wikipedia:Be bold	2009	162	5
2001.0	Wikipedia:Be bold	2010	68	5
2001.0	Wikipedia:Be bold	2011	84	5
2001.0	Wikipedia:Be bold	2012	169	5
2001.0	Wikipedia:Be bold	2013	142	5
2001.0	Wikipedia:Be bold	2014	215	5
2001.0	Wikipedia:Be bold	2015	141	5
2001.0	Wikipedia:Be bold	2016	151	5
2001.0	Wikipedia:Be bold	2017	289	5
2001.0	Wikipedia:Be bold	2018	67	5
2001.0	Wikipedia:Be bold	2019	54	5
2001.0	Wikipedia:Be bold	2020	122	5
2001.0	Wikipedia:Deletion policy	2001	16	1
2001.0	Wikipedia:Deletion policy	2002	76	1
2001.0	Wikipedia:Deletion policy	2003	591	3
2001.0	Wikipedia:Deletion policy	2004	808	3
2001.0	Wikipedia:Deletion policy	2005	725	4
2001.0	Wikipedia:Deletion policy	2006	707	4
2001.0	Wikipedia:Deletion policy	2007	875	5
2001.0	Wikipedia:Deletion policy	2008	587	5
2001.0	Wikipedia:Deletion policy	2009	747	5
2001.0	Wikipedia:Deletion policy	2010	485	5
2001.0	Wikipedia:Deletion policy	2011	226	5
2001.0	Wikipedia:Deletion policy	2012	194	5
2001.0	Wikipedia:Deletion policy	2013	148	5
2001.0	Wikipedia:Deletion policy	2014	123	5
2001.0	Wikipedia:Deletion policy	2015	307	5
2001.0	Wikipedia:Deletion policy	2016	148	5
2001.0	Wikipedia:Deletion policy	2017	180	5
2001.0	Wikipedia:Deletion policy	2018	178	5
2001.0	Wikipedia:Deletion policy	2019	109	5
2001.0	Wikipedia:Deletion policy	2020	57	5
2001.0	Wikipedia:Editing policy	2001	2	1
2001.0	Wikipedia:Editing policy	2002	20	1
2001.0	Wikipedia:Editing policy	2003	33	2
2001.0	Wikipedia:Editing policy	2004	34	2
2001.0	Wikipedia:Editing policy	2005	63	2
2001.0	Wikipedia:Editing policy	2006	82	2
2001.0	Wikipedia:Editing policy	2007	65	2
2001.0	Wikipedia:Editing policy	2008	70	2
2001.0	Wikipedia:Editing policy	2009	1082	2
2001.0	Wikipedia:Editing policy	2010	453	2
2001.0	Wikipedia:Editing policy	2011	161	2
2001.0	Wikipedia:Editing policy	2012	128	2
2001.0	Wikipedia:Editing policy	2013	45	2
2001.0	Wikipedia:Editing policy	2014	82	2
2001.0	Wikipedia:Editing policy	2015	51	2
2001.0	Wikipedia:Editing policy	2016	347	2
2001.0	Wikipedia:Editing policy	2017	62	2
2001.0	Wikipedia:Editing policy	2018	37	2
2001.0	Wikipedia:Editing policy	2019	31	2
2001.0	Wikipedia:Editing policy	2020	13	2
2001.0	Wikipedia:Etiquette	2001	18	1
2001.0	Wikipedia:Etiquette	2002	20	1
2001.0	Wikipedia:Etiquette	2003	19	3
2001.0	Wikipedia:Etiquette	2004	121	4
2001.0	Wikipedia:Etiquette	2005	109	4
2001.0	Wikipedia:Etiquette	2006	163	4
