creation_year	parent_page_title	year	revid	num_ills_that_year
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2001	1	2
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2002	7	4
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2003	3	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2004	18	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2005	36	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2006	147	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2007	274	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2008	230	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2009	56	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2010	117	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2011	44	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2012	42	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2013	231	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2014	15	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2015	9	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2016	24	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2017	45	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2018	75	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2019	55	5
2001.0	Wikipédia:Ce que Wikipédia n'est pas	2020	27	5
2001.0	Wikipédia:Travailler collectivement	2001	2	2
2001.0	Wikipédia:Travailler collectivement	2002	9	2
2001.0	Wikipédia:Travailler collectivement	2003	25	3
2001.0	Wikipédia:Travailler collectivement	2004	13	3
2001.0	Wikipédia:Travailler collectivement	2005	21	3
2001.0	Wikipédia:Travailler collectivement	2006	29	4
2001.0	Wikipédia:Travailler collectivement	2007	19	4
2001.0	Wikipédia:Travailler collectivement	2008	9	4
2001.0	Wikipédia:Travailler collectivement	2009	2	4
2001.0	Wikipédia:Travailler collectivement	2010	2	4
2001.0	Wikipédia:Travailler collectivement	2011	7	4
2001.0	Wikipédia:Travailler collectivement	2012	16	4
2001.0	Wikipédia:Travailler collectivement	2013	10	4
2001.0	Wikipédia:Travailler collectivement	2014	1	4
2001.0	Wikipédia:Travailler collectivement	2015	1	4
2001.0	Wikipédia:Travailler collectivement	2016	5	4
2001.0	Wikipédia:Travailler collectivement	2017	1	4
2001.0	Wikipédia:Travailler collectivement	2018	1	4
2001.0	Wikipédia:Travailler collectivement	2020	3	4
2001.0	Wikipédia:Wikipédia n'est pas un dictionnaire	2001	1	2
