creation_year	parent_page_title	year	revid	num_ills_that_year
2003.0	Wikipedia:Bot	2003	1	3
2003.0	Wikipedia:Bot	2004	11	4
2003.0	Wikipedia:Bot	2005	32	4
2003.0	Wikipedia:Bot	2006	39	4
2003.0	Wikipedia:Bot	2007	42	5
2003.0	Wikipedia:Bot	2008	54	5
2003.0	Wikipedia:Bot	2009	100	5
2003.0	Wikipedia:Bot	2010	81	5
2003.0	Wikipedia:Bot	2011	8	5
2003.0	Wikipedia:Bot	2012	13	5
2003.0	Wikipedia:Bot	2013	5	5
2003.0	Wikipedia:Bot	2014	44	5
2003.0	Wikipedia:Bot	2015	13	5
2003.0	Wikipedia:Bot	2016	9	5
2003.0	Wikipedia:Bot	2017	21	5
2003.0	Wikipedia:Bot	2019	7	5
2003.0	Wikipedia:Bot	2020	21	5
2003.0	Wikipedia:すぐに古くなる表現は使わない	2003	12	2
2003.0	Wikipedia:すぐに古くなる表現は使わない	2004	1	2
2003.0	Wikipedia:すぐに古くなる表現は使わない	2005	2	2
2003.0	Wikipedia:すぐに古くなる表現は使わない	2006	4	2
2003.0	Wikipedia:すぐに古くなる表現は使わない	2007	11	2
2003.0	Wikipedia:すぐに古くなる表現は使わない	2008	9	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2009	8	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2010	33	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2011	10	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2012	22	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2013	43	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2014	1	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2015	1	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2017	3	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2019	5	3
2003.0	Wikipedia:すぐに古くなる表現は使わない	2020	2	3
2003.0	Wikipedia:ウィキペディアは何ではないか	2003	24	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2004	79	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2005	85	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2006	280	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2007	396	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2008	110	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2009	240	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2010	49	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2011	144	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2012	48	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2013	23	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2014	12	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2015	107	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2016	9	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2017	8	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2018	24	5
2003.0	Wikipedia:ウィキペディアは何ではないか	2019	5	5
