Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,
en,Wikipedia:Administrators,3200,1347,249,4,,,en Template:Taxobox/doc
en,Wikipedia:Article titles,4083,1073,97,4,,,en Wikipedia:Artist's impressions of astronomical objects
en,Wikipedia:Assume good faith,1429,886,74,4,,,en Wikipedia:Disambiguation/PrimaryTopicDefinition
en,Wikipedia:Autobiography,1421,782,47,4,,,en Wikipedia:Edit filter helper
en,Wikipedia:Be bold,2753,1614,79,4,,,en Wikipedia:Event coordinator
en,Wikipedia:Biographies of living persons,3588,1041,67,4,,,en Wikipedia:Indic transliteration
en,Wikipedia:Blocking policy,3248,1302,72,4,,,en Wikipedia:Manual of Style/Blazon
en,Wikipedia:Categorization,1759,680,80,4,,,en Wikipedia:Manual of Style/Canada-related articles
en,Wikipedia:CheckUser,751,272,58,4,,,en Wikipedia:Manual of Style/Cue sports
en,Wikipedia:Citing sources,6247,2168,102,4,,,en Wikipedia:Manual of Style/Hawaii-related articles
en,Wikipedia:Copyrights,621,285,123,4,,,en Wikipedia:Manual of Style/India-related articles
en,Wikipedia:Criteria for speedy deletion,6125,2055,81,4,,,en Wikipedia:Manual of Style/Indonesia-related articles
en,Wikipedia:Deletion policy,2266,1026,77,4,,,en Wikipedia:Manual of Style/Ireland-related articles
en,Wikipedia:Disambiguation,3514,1246,110,4,,,en Wikipedia:Manual of Style/Latter Day Saints
en,Wikipedia:Do not disrupt Wikipedia to illustrate a point,1194,535,46,4,,,en Wikipedia:Manual of Style/Legal
en,Wikipedia:Edit filter,385,170,38,4,,,en Wikipedia:Manual of Style/Pakistan-related articles
en,Wikipedia:Edit warring,1711,837,61,4,,,en Wikipedia:Manual of Style/Philippines-related articles
en,Wikipedia:Etiquette,809,518,69,4,,,en Wikipedia:Manual of Style/Record charts
en,Wikipedia:External links,2675,995,54,4,45,,en Wikipedia:Manual of Style/Road junction lists
en,Wikipedia:Five pillars,1637,898,128,4,119,,en Wikipedia:Manual of Style/Singapore-related articles
