0	1
en	Wikipedia:Administrators
en	Wikipedia:Article titles
en	Wikipedia:Assume good faith
en	Wikipedia:Autobiography
en	Wikipedia:Be bold
en	Wikipedia:Biographies of living persons
en	Wikipedia:Blocking policy
en	Wikipedia:Categorization
en	Wikipedia:CheckUser
en	Wikipedia:Citing sources
en	Wikipedia:Copyrights
en	Wikipedia:Criteria for speedy deletion
en	Wikipedia:Deletion policy
en	Wikipedia:Disambiguation
en	Wikipedia:Do not disrupt Wikipedia to illustrate a point
en	Wikipedia:Edit filter
en	Wikipedia:Edit warring
en	Wikipedia:Etiquette
en	Wikipedia:External links
en	Wikipedia:Five pillars
en	Wikipedia:IP block exemption
en	Wikipedia:Ignore all rules
en	Wikipedia:Image use policy
en	Wikipedia:Interface administrators
en	Wikipedia:Manual of Style
en	Wikipedia:Manual of Style/Biography
en	Wikipedia:Manual of Style/Images
en	Wikipedia:Manual of Style/Layout
en	Wikipedia:Manual of Style/Self-references to avoid
en	Wikipedia:Manual of Style/Tables
en	Wikipedia:Manual of Style/Words to watch
en	Wikipedia:Manual of Style/Writing about fiction
en	Wikipedia:Neutral point of view
en	Wikipedia:No original research
en	Wikipedia:No personal attacks
en	Wikipedia:Notability
en	Wikipedia:Notability (people)
en	Wikipedia:Oversight
en	Wikipedia:Ownership of content
en	Wikipedia:Please do not bite the newcomers
en	Wikipedia:Policies and guidelines
en	Wikipedia:Protection policy
en	Wikipedia:Shortcut
en	Wikipedia:Signatures
en	Wikipedia:Sockpuppetry
en	Wikipedia:Spoiler
en	Wikipedia:Stub
en	Wikipedia:User pages
en	Wikipedia:Vandalism
en	Wikipedia:Verifiability
en	Wikipedia:Volunteer Response Team
en	Wikipedia:What Wikipedia is not
en	Wikipedia:Wikipedia is not a dictionary
es	Wikipedia:Administradores de interfaz
es	Wikipedia:Artículos sin relevancia aparente
es	Wikipedia:Autobiografía
es	Wikipedia:Bibliotecarios
es	Wikipedia:Biografías de personas vivas
es	Wikipedia:Burócratas
es	Wikipedia:Candidaturas a bibliotecario
es	Wikipedia:Checkusers
es	Wikipedia:Consultas de borrado mediante argumentación
es	Wikipedia:Convenciones de títulos
es	Wikipedia:Criterios para el borrado rápido
es	Wikipedia:Cuenta de propósito particular
es	Wikipedia:Derechos de autor
es	Wikipedia:Documentación de las plantillas de mantenimiento
es	Wikipedia:Enlaces externos
es	Wikipedia:Esbozo
es	Wikipedia:Esta página está protegida
es	Wikipedia:Estructura de un artículo
es	Wikipedia:Etiqueta
es	Wikipedia:Evita las autorreferencias
es	Wikipedia:Exentos de bloqueo a IP
es	Wikipedia:Firma de usuario
es	Wikipedia:Ignora las normas
es	Wikipedia:Lo que Wikipedia no es
es	Wikipedia:Los cinco pilares
es	Wikipedia:Manual de estilo
es	Wikipedia:Manual de estilo/Biografías
es	Wikipedia:No hagas ataques personales
es	Wikipedia:No morder a los novatos
es	Wikipedia:No sabotees Wikipedia para respaldar tus argumentos
es	Wikipedia:Plantillas de navegación
es	Wikipedia:Política de borrado
es	Wikipedia:Política de protección
es	Wikipedia:Política de uso de imágenes
es	Wikipedia:Políticas y convenciones
es	Wikipedia:Presume buena fe
es	Wikipedia:Propiedad de los artículos
es	Wikipedia:Punto de vista neutral
es	Wikipedia:Página de usuario
es	Wikipedia:Páginas de discusión
es	Wikipedia:Referencias
es	Wikipedia:Revelación de la trama
es	Wikipedia:Semiprotección de páginas
es	Wikipedia:Supresores
es	Wikipedia:Sé valiente al editar páginas
es	Wikipedia:Usuarios títeres
es	Wikipedia:Vandalismo
es	Wikipedia:Verificabilidad
es	Wikipedia:Votaciones
es	Wikipedia:Wikipedia no es un diccionario
es	Wikipedia:Wikipedia no es una fuente primaria
de	Wikipedia:Artikel über lebende Personen
de	Wikipedia:Begriffsklärung
de	Wikipedia:Belege
de	Wikipedia:Bewahre immer einen kühlen Kopf
de	Wikipedia:Eigentum an Artikeln
de	Wikipedia:Formatierung
de	Wikipedia:Geh von guten Absichten aus
de	Wikipedia:Geschützte Seiten
de	Wikipedia:Grundprinzipien
de	Wikipedia:Ignoriere alle Regeln
de	Wikipedia:Kategorien
de	Wikipedia:Keine Theoriefindung
de	Wikipedia:Keine persönlichen Angriffe
de	Wikipedia:Listen
de	Wikipedia:Namenskonventionen
de	Wikipedia:Neutraler Standpunkt
de	Wikipedia:Relevanzkriterien
de	Wikipedia:Richtlinien
de	Wikipedia:Richtlinien Fiktives
de	Wikipedia:Sei mutig
de	Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen
de	Wikipedia:Urheberrechte beachten
de	Wikipedia:Verhalten gegenüber Neulingen
de	Wikipedia:Vermeide hohle Phrasen
de	Wikipedia:Was Wikipedia nicht ist
de	Wikipedia:Weblinks
de	Wikipedia:Wie gute Artikel aussehen
de	Wikipedia:Wie schreibe ich gute Artikel
de	Wikipedia:Wikipedia ist kein Wörterbuch
de	Wikipedia:Wikiquette
de	Wikipedia:Zitierregeln
fr	Wikipédia:AbuseFilter
fr	Wikipédia:Administrateur
fr	Wikipédia:Biographie de personne vivante
fr	Wikipédia:Blocage en écriture
fr	Wikipédia:Bot
fr	Wikipédia:Bureaucrate
fr	Wikipédia:Ce que Wikipédia n'est pas
fr	Wikipédia:Citez vos sources
fr	Wikipédia:Conventions d'utilisation des images
fr	Wikipédia:Conventions de plan
fr	Wikipédia:Conventions de style
fr	Wikipédia:Conventions sur les catégories
fr	Wikipédia:Conventions sur les titres
fr	Wikipédia:Critères de suppression immédiate
fr	Wikipédia:Discuter au lieu de voter
fr	Wikipédia:Droit d'auteur
fr	Wikipédia:Dévoile l'intrigue du récit
fr	Wikipédia:Faux-nez
fr	Wikipédia:Guerre d'édition
fr	Wikipédia:Interprétation créative des règles
fr	Wikipédia:Liens externes
fr	Wikipédia:Masqueur de modifications
fr	Wikipédia:N'hésitez pas !
fr	Wikipédia:Ne mordez pas les nouveaux
fr	Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle
fr	Wikipédia:Neutralité de point de vue
fr	Wikipédia:Notoriété
fr	Wikipédia:Pas d'attaque personnelle
fr	Wikipédia:Principes fondateurs
fr	Wikipédia:Règles et recommandations
fr	Wikipédia:Semi-protection
fr	Wikipédia:Supposez la bonne foi
fr	Wikipédia:Termes à utiliser avec précaution
fr	Wikipédia:Travaux inédits
fr	Wikipédia:Vandalisme
fr	Wikipédia:Vérifiabilité
fr	Wikipédia:Wikipédia n'est pas un dictionnaire
fr	Wikipédia:Étiquette
ja	Wikipedia:Bot
ja	Wikipedia:IPブロック適用除外
