Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,,
en,Template:Taxobox/doc,383,154,0,0,,,,
en,Wikipedia:Artist's impressions of astronomical objects,28,7,0,0,,,,
en,Wikipedia:Disambiguation/PrimaryTopicDefinition,5,4,0,0,"**no page, is page for Wikipedia:Disambiguation",,,
en,Wikipedia:Edit filter helper,76,45,0,0,,,,
en,Wikipedia:Event coordinator,105,28,0,0,,,,
en,Wikipedia:Indic transliteration,96,42,0,0,,,,
en,Wikipedia:Manual of Style/Blazon,35,19,0,0,,,,
en,Wikipedia:Manual of Style/Canada-related articles,599,68,0,0,,,,
en,Wikipedia:Manual of Style/Cue sports,266,30,0,0,,,,
en,Wikipedia:Manual of Style/Hawaii-related articles,173,44,0,0,,,,
en,Wikipedia:Manual of Style/India-related articles,101,53,0,0,,,,
en,Wikipedia:Manual of Style/Indonesia-related articles,33,13,0,0,,,,
en,Wikipedia:Manual of Style/Ireland-related articles,370,140,0,0,,,,
en,Wikipedia:Manual of Style/Latter Day Saints,424,74,0,0,,,,
en,Wikipedia:Manual of Style/Legal,163,80,0,0,,,,
en,Wikipedia:Manual of Style/Pakistan-related articles,17,5,0,0,,,,
en,Wikipedia:Manual of Style/Philippines-related articles,131,61,0,0,,,,
en,Wikipedia:Manual of Style/Record charts,361,108,0,0,,,,
en,Wikipedia:Manual of Style/Road junction lists,356,76,0,0,,,,
en,Wikipedia:Manual of Style/Singapore-related articles,86,24,0,0,,,,
en,Wikipedia:Manual of Style/Snooker,106,23,0,0,,,,
en,Wikipedia:Manual of Style/Stringed instrument tunings,100,21,0,0,,,,
en,Wikipedia:Miscellany for deletion/Speedy redirect,17,5,0,0,,,,
en,Wikipedia:Naming conventions (Armenian),73,18,0,0,,,,
en,Wikipedia:Naming conventions (Australian roads),26,9,0,0,,,,
en,Wikipedia:Naming conventions (Burmese),67,15,0,0,,,,
en,Wikipedia:Naming conventions (Canadian stations),56,14,0,0,,,,
en,Wikipedia:Naming conventions (Football in Australia),39,21,0,0,,,,
en,Wikipedia:Naming conventions (Irish stations),17,5,0,0,,,,
en,Wikipedia:Naming conventions (Latter Day Saints),171,60,0,0,,,,
en,Wikipedia:Naming conventions (Macedonia),89,9,0,0,,,,
en,Wikipedia:Naming conventions (Mongolian),51,20,0,0,,,,
en,Wikipedia:Naming conventions (New Zealand),66,24,0,0,,,,
en,Wikipedia:Naming conventions (Norse mythology),60,19,0,0,,,,
en,Wikipedia:Naming conventions (U.S. state and territory highways),184,47,0,0,,,,
en,Wikipedia:Naming conventions (UK Parliament constituencies),4,2,0,0,,,,
en,Wikipedia:Naming conventions (UK stations),77,37,0,0,,,,
en,Wikipedia:Naming conventions (US stations),106,23,0,0,,,,
en,Wikipedia:Naming conventions (West Bank),33,18,0,0,,,,
en,Wikipedia:Naming conventions (ancient Romans),61,30,0,0,,,,
en,Wikipedia:Naming conventions (baseball players),48,22,0,0,,,,
en,Wikipedia:Naming conventions (broadcasting),57,25,0,0,,,,
en,Wikipedia:Naming conventions (clergy),191,81,0,0,,,,
en,Wikipedia:Naming conventions (country-specific topics),33,15,0,0,,,,
en,Wikipedia:Naming conventions (definite or indefinite article at beginning of name),262,117,0,0,,,,
en,Wikipedia:Naming conventions (ethnicities and tribes),40,13,0,0,,,,
en,Wikipedia:Naming conventions (government and legislation),94,43,0,0,,,,
en,Wikipedia:Naming conventions (ice hockey),47,14,0,0,,,,
en,Wikipedia:Naming conventions (languages),172,51,0,0,,,,
en,Wikipedia:Naming conventions (lists),142,33,0,0,,,,
en,Wikipedia:Naming conventions (manuscripts),14,8,0,0,,,,
