user	revs	pages	ts_min	ts_max
Hprmedina	182	82	2009-08-07 17:33:11+00:00	2015-04-07 12:17:05+00:00
Paintman	213	70	2006-04-03 11:36:30+00:00	2017-10-21 16:25:49+00:00
Taichi	256	67	2005-04-28 19:52:06+00:00	2019-12-15 17:42:45+00:00
Addbot	85	63	2013-03-07 19:28:57+00:00	2013-08-05 06:54:36+00:00
Belgrano	230	62	2007-05-23 21:16:02+00:00	2009-09-07 21:07:31+00:00
Farisori	204	61	2008-05-20 15:52:55+00:00	2018-08-06 13:01:31+00:00
Ensada	191	60	2007-11-12 05:48:55+00:00	2012-02-13 23:55:35+00:00
Muro de Aguas	162	58	2006-12-12 17:28:28+00:00	2010-06-02 12:37:35+00:00
LlamaAl	148	55	2012-11-10 00:58:02+00:00	2018-09-25 21:57:39+00:00
Gusama Romero	190	54	2012-10-20 03:05:05+00:00	2020-07-30 22:50:02+00:00
Sanbec	329	52	2004-05-11 11:46:57+00:00	2010-12-22 11:22:41+00:00
Diegusjaimes	136	51	2009-05-25 21:12:11+00:00	2012-04-06 15:59:11+00:00
Ontzak	107	49	2009-12-12 15:44:21+00:00	2020-06-12 19:02:08+00:00
Sabbut	196	49	2003-08-30 07:00:36+00:00	2020-04-23 10:51:05+00:00
Jmvkrecords	198	48	2012-01-02 19:42:53+00:00	2017-11-18 04:25:57+00:00
Jcfidy	119	47	2013-03-18 10:42:42+00:00	2020-06-28 07:00:40+00:00
Ferbr1	161	46	2005-08-24 21:16:48+00:00	2014-03-28 15:23:12+00:00
Pólux	129	46	2007-05-25 05:43:33+00:00	2020-03-27 21:23:55+00:00
Nixón	120	46	2009-03-11 21:42:30+00:00	2014-03-10 00:01:28+00:00
Angus	330	45	2005-03-19 02:53:46+00:00	2018-11-27 05:58:10+00:00
Green Mostaza	96	45	2012-03-05 15:55:17+00:00	2018-06-12 16:56:26+00:00
DonBarredora	82	45	2008-06-19 00:46:47+00:00	2016-12-22 05:15:53+00:00
Metrónomo	99	45	2011-05-06 19:26:44+00:00	2018-04-24 17:11:49+00:00
Ganímedes	309	44	2010-09-04 20:01:21+00:00	2019-01-14 11:13:34+00:00
Magister Mathematicae	224	43	2007-01-12 17:59:19+00:00	2013-12-13 22:28:16+00:00
Comae	195	42	2004-03-21 18:59:06+00:00	2007-08-04 21:57:13+00:00
Poco a poco	330	42	2008-07-17 00:10:57+00:00	2019-05-08 18:16:09+00:00
Taragui	162	42	2005-03-21 10:55:58+00:00	2006-08-09 09:14:10+00:00
-jem-	149	41	2009-07-17 19:13:20+00:00	2020-07-09 11:21:05+00:00
Jarould	102	41	2014-11-27 15:04:27+00:00	2017-11-29 03:37:35+00:00
BetoCG	187	41	2008-02-01 17:22:16+00:00	2019-10-22 21:27:57+00:00
Tano4595	131	40	2005-06-01 23:32:15+00:00	2008-09-02 22:20:48+00:00
Jorge	111	39	2008-02-01 01:41:28+00:00	2019-06-19 06:18:03+00:00
Dodo	224	38	2004-07-22 18:40:42+00:00	2011-01-29 18:26:50+00:00
Axxgreazz	276	37	2006-02-13 05:06:38+00:00	2008-07-25 20:17:56+00:00
Balderai	149	37	2005-02-19 05:08:49+00:00	2019-09-11 05:28:02+00:00
Born2bgratis	68	37	2011-02-02 06:07:08+00:00	2019-09-06 11:30:32+00:00
Alhen	105	37	2005-06-20 23:35:17+00:00	2012-07-06 22:23:16+00:00
Escarlati	290	37	2006-09-10 00:31:59+00:00	2014-08-05 01:43:11+00:00
Libertad y Saber	122	37	2007-04-07 15:01:39+00:00	2008-06-23 22:46:32+00:00
Maldoror	110	36	2005-11-16 16:17:08+00:00	2007-04-22 14:52:38+00:00
MarcoAurelio	166	36	2008-08-20 20:16:28+00:00	2019-10-01 18:33:47+00:00
Platonides	73	36	2005-07-21 12:31:19+00:00	2019-01-13 18:13:54+00:00
Leoncastro	166	36	2017-01-21 18:19:40+00:00	2020-06-27 19:50:26+00:00
Matdrodes	88	36	2007-06-16 06:33:12+00:00	2009-08-31 18:59:50+00:00
Netito777	113	35	2007-04-27 00:32:25+00:00	2019-12-18 16:01:10+00:00
Thanos	93	35	2006-07-07 20:31:32+00:00	2007-09-25 22:12:55+00:00
Technopat	78	34	2010-07-09 13:53:08+00:00	2019-04-03 09:11:05+00:00
Tomatejc	151	34	2006-05-08 09:43:35+00:00	2009-01-29 21:58:00+00:00
RoyFocker	67	34	2007-09-02 09:01:11+00:00	2019-04-27 14:09:27+00:00
Ignacio Icke	164	33	2006-12-12 19:30:05+00:00	2010-10-26 01:26:11+00:00
ManuelGR	106	32	2003-12-19 17:15:20+00:00	2007-03-25 11:08:34+00:00
Petronas	127	32	2005-06-13 09:54:26+00:00	2016-12-29 11:21:56+00:00
UA31	69	32	2012-02-04 23:42:40+00:00	2019-12-10 23:54:04+00:00
XanaG	91	31	2011-10-28 21:38:33+00:00	2020-06-08 14:25:57+00:00
Ecemaml	158	31	2005-04-11 13:27:32+00:00	2012-04-09 21:38:39+00:00
Triplecaña	77	31	2016-03-01 11:18:25+00:00	2020-04-28 09:36:00+00:00
Tximitx	190	30	2016-01-16 11:17:59+00:00	2020-06-16 20:55:03+00:00
Ezarate	69	29	2008-10-08 00:12:18+00:00	2018-09-12 18:16:03+00:00
VR0	181	29	2012-01-14 04:20:27+00:00	2020-07-09 23:41:10+00:00
HUB	69	29	2007-09-05 10:40:01+00:00	2011-01-28 19:14:08+00:00
Mercenario97	48	29	2007-07-24 19:37:44+00:00	2016-02-29 00:14:04+00:00
Humberto	55	29	2007-02-08 04:58:34+00:00	2010-02-22 03:27:09+00:00
Jkbw	44	28	2010-12-05 21:50:04+00:00	2020-03-31 01:13:53+00:00
CHUCAO	102	28	2011-09-30 12:25:05+00:00	2016-04-04 01:19:57+00:00
Jaontiveros	90	27	2008-12-23 03:38:20+00:00	2015-07-02 03:55:02+00:00
Mar del Sur	224	27	2010-05-08 12:06:13+00:00	2019-06-26 21:30:24+00:00
Cobalttempest	62	27	2007-07-29 21:49:43+00:00	2010-12-09 03:40:34+00:00
Gusgus	101	27	2007-04-19 05:59:55+00:00	2011-10-26 11:58:47+00:00
Wikisilki	164	27	2008-09-30 23:16:42+00:00	2012-12-23 21:39:42+00:00
Lobillo	42	27	2005-11-30 12:08:12+00:00	2015-05-07 12:03:10+00:00
Yrithinnd	82	26	2005-08-29 23:29:49+00:00	2007-03-30 00:41:04+00:00
Penquista	55	26	2006-05-19 23:50:36+00:00	2019-02-09 04:44:41+00:00
Er Komandante	62	25	2006-06-17 01:01:54+00:00	2015-04-04 00:13:32+00:00
Kordas	119	25	2005-05-25 15:23:59+00:00	2019-03-01 06:33:08+00:00
Elwikipedista	70	25	2004-11-20 03:03:16+00:00	2008-02-28 03:23:31+00:00
Oscar .	61	25	2005-09-28 03:44:10+00:00	2015-11-13 20:48:24+00:00
Dalton2	799	25	2008-06-27 11:53:42+00:00	2012-11-22 03:29:29+00:00
JorgeGG	119	24	2003-11-17 01:16:23+00:00	2008-02-01 13:07:31+00:00
Juan25	49	24	2013-05-10 21:39:04+00:00	2018-09-26 09:42:26+00:00
Lin linao	100	23	2005-12-13 19:18:06+00:00	2020-06-15 21:35:45+00:00
Raystorm	92	23	2007-02-10 13:56:29+00:00	2016-03-02 07:45:04+00:00
Hasley	45	23	2018-07-11 22:38:51+00:00	2020-05-23 06:52:12+00:00
AVIADOR	133	23	2011-12-19 22:36:44+00:00	2020-07-13 00:33:28+00:00
AstroNomo	54	22	2001-10-03 01:50:47+00:00	2004-10-21 05:13:31+00:00
Lourdes Cardenal	222	22	2004-01-15 19:02:13+00:00	2018-09-05 19:18:16+00:00
Artlejandra	32	22	2012-09-01 19:51:42+00:00	2012-09-11 10:32:14+00:00
Simeón el Loco	30	22	2009-10-08 23:51:43+00:00	2010-05-06 20:01:40+00:00
Antón Francho	38	22	2007-10-04 01:55:42+00:00	2018-04-23 18:07:24+00:00
Antur	42	21	2006-08-02 04:25:37+00:00	2019-05-28 14:30:43+00:00
333	122	21	2006-02-27 14:49:14+00:00	2009-03-02 15:44:16+00:00
Cinabrium	80	21	2005-02-14 02:07:11+00:00	2014-09-27 04:33:08+00:00
NaBUru38	31	20	2008-08-31 23:54:52+00:00	2016-12-10 22:45:09+00:00
David0811	72	20	2008-05-06 21:41:55+00:00	2013-02-24 12:28:51+00:00
.Sergio	50	20	2005-11-26 00:05:10+00:00	2007-09-29 07:33:39+00:00
M S	65	20	2007-09-23 00:33:31+00:00	2009-03-09 19:41:30+00:00
Yeza	35	20	2007-08-18 17:50:36+00:00	2018-06-08 04:40:22+00:00
Javier Carro	98	20	2004-03-26 02:55:44+00:00	2007-02-18 14:29:53+00:00
Laura Fiorucci	27	20	2010-07-29 04:06:11+00:00	2018-03-25 20:37:42+00:00
Fidelmoquegua	45	19	2007-09-16 00:27:07+00:00	2009-02-04 05:11:37+00:00
FrancoGG	44	19	2006-07-16 04:10:31+00:00	2007-06-29 00:56:56+00:00
Emijrp	99	19	2005-07-29 08:16:13+00:00	2010-08-06 20:31:04+00:00
Rondador	94	19	2006-12-08 11:40:01+00:00	2016-03-03 23:14:12+00:00
