user	revs	pages	ts_min	ts_max
Kurz	399	109	2008-11-11 06:55:25+00:00	2020-05-17 07:59:50+00:00
Aotake	539	105	2006-09-08 04:55:24+00:00	2018-02-02 15:57:58+00:00
タバコはマーダー	341	96	2012-12-18 12:57:55+00:00	2019-01-06 08:31:14+00:00
Miya	474	91	2004-11-15 00:43:00+00:00	2020-07-10 00:20:41+00:00
Penn Station	353	90	2009-01-07 08:33:00+00:00	2019-09-01 01:07:14+00:00
Cave cattum	344	87	2006-07-22 06:34:14+00:00	2009-04-28 01:52:02+00:00
Yapparina	323	81	2014-10-20 14:35:15+00:00	2020-07-25 14:18:20+00:00
Ks aka 98	914	81	2006-06-15 18:16:29+00:00	2020-02-28 05:13:05+00:00
青子守歌	550	78	2007-04-18 07:43:44+00:00	2020-06-13 03:05:24+00:00
Addbot	98	73	2013-03-06 22:36:41+00:00	2013-08-16 06:43:16+00:00
ネイ	289	72	2016-05-01 13:47:45+00:00	2020-07-30 13:16:24+00:00
Aphaia	537	65	2004-02-19 12:53:19+00:00	2007-08-10 16:20:17+00:00
Tietew	275	64	2004-06-10 10:20:47+00:00	2010-09-08 13:44:19+00:00
Dr jimmy	115	62	2007-06-01 04:01:24+00:00	2019-09-10 03:42:13+00:00
Hermeneus	231	59	2005-06-13 01:51:55+00:00	2007-07-13 17:15:01+00:00
たね	190	56	2004-08-28 16:27:36+00:00	2008-01-15 02:30:55+00:00
アルトクール	156	55	2009-06-19 14:48:13+00:00	2019-10-12 02:35:45+00:00
Calvero	230	53	2006-02-19 22:41:58+00:00	2013-08-25 00:55:57+00:00
JAnDbot	144	52	2006-09-05 14:04:03+00:00	2013-03-01 13:30:06+00:00
VolkovBot	378	52	2007-09-28 21:17:31+00:00	2012-02-03 16:59:28+00:00
Iwai.masaharu	281	51	2006-08-30 09:16:45+00:00	2018-11-15 18:33:46+00:00
目蒲東急之介	207	51	2006-09-05 09:44:03+00:00	2012-01-13 18:46:04+00:00
Tondenh	246	51	2012-01-02 08:36:00+00:00	2013-02-04 19:31:17+00:00
Khhy	83	50	2005-02-08 16:48:55+00:00	2019-12-13 17:28:12+00:00
Los688	92	48	2005-07-13 14:07:23+00:00	2019-06-22 17:20:45+00:00
伏儀	115	48	2008-07-14 07:47:35+00:00	2015-03-06 07:43:24+00:00
Michey.M	178	47	2003-11-25 01:20:48+00:00	2008-02-15 08:05:29+00:00
Suisui	174	46	2003-02-14 13:30:37+00:00	2006-10-31 12:00:15+00:00
新幹線	163	46	2006-09-02 12:25:55+00:00	2020-07-01 13:35:06+00:00
Hyolee2	178	46	2005-12-28 05:38:01+00:00	2019-06-23 09:09:13+00:00
Tomos	317	46	2003-02-02 11:00:19+00:00	2009-11-23 12:50:46+00:00
Toto-tarou	145	45	2005-04-26 19:54:01+00:00	2020-01-20 19:15:52+00:00
竹麦魚	98	45	2004-09-13 13:16:04+00:00	2017-02-22 08:33:24+00:00
Tossie	190	44	2007-08-31 06:45:36+00:00	2010-10-15 09:53:33+00:00
Marine-Blue	180	43	2006-01-25 13:42:00+00:00	2020-07-31 15:58:31+00:00
Muyo	108	43	2006-01-01 08:27:18+00:00	2020-04-29 02:06:33+00:00
Su-no-G	208	42	2006-08-29 15:40:36+00:00	2010-04-01 08:38:49+00:00
Vigorous action	203	42	2009-06-19 14:00:05+00:00	2018-03-04 09:35:17+00:00
㭍月例祭	290	41	2015-01-05 01:25:10+00:00	2020-07-25 06:32:27+00:00
Web comic	170	41	2008-02-19 21:35:23+00:00	2013-03-05 03:16:50+00:00
Hisagi	412	41	2007-09-09 09:43:45+00:00	2018-07-04 14:31:43+00:00
Kanjy	212	41	2006-02-25 16:26:58+00:00	2020-07-25 02:29:59+00:00
Tiyoringo	83	41	2006-12-23 06:56:34+00:00	2019-04-22 12:49:54+00:00
Cpro	115	41	2006-10-12 06:09:44+00:00	2017-12-26 04:40:03+00:00
Kzhr	65	39	2003-03-09 10:03:54+00:00	2009-09-13 17:06:05+00:00
Brevam	108	39	2005-01-22 05:20:38+00:00	2007-04-04 12:32:55+00:00
Kurihaya	163	38	2007-08-24 05:31:23+00:00	2020-05-22 09:32:08+00:00
Jms	1168	38	2007-10-20 22:30:53+00:00	2011-03-04 17:04:01+00:00
VZP10224	89	38	2007-05-03 11:04:55+00:00	2019-01-06 02:38:47+00:00
OKBot	50	37	2007-11-28 19:13:48+00:00	2009-01-02 04:40:59+00:00
Bugandhoney	247	36	2011-08-12 17:47:38+00:00	2013-05-10 20:17:02+00:00
Ojigiri	79	36	2003-10-02 10:16:25+00:00	2004-04-05 11:22:37+00:00
Rxy	142	35	2009-04-28 16:02:37+00:00	2020-01-26 02:44:09+00:00
Triglav	260	34	2007-02-01 16:13:55+00:00	2020-07-15 02:11:23+00:00
Dwy	467	33	2006-04-19 13:42:56+00:00	2018-07-28 00:06:49+00:00
Aki42006	70	33	2015-07-01 10:42:35+00:00	2020-05-24 07:17:22+00:00
端くれの錬金術師	95	33	2005-12-28 07:49:16+00:00	2007-09-28 16:25:56+00:00
ＮｉＫｅ	106	33	2004-07-13 14:47:24+00:00	2009-11-06 15:13:44+00:00
Open-box	238	33	2006-05-29 08:21:45+00:00	2020-05-13 13:31:28+00:00
Miraburu	80	33	2016-03-19 02:37:49+00:00	2020-01-25 13:04:04+00:00
Jkr2255	198	32	2005-09-06 08:34:41+00:00	2019-08-19 03:24:07+00:00
Bellcricket	113	32	2006-09-25 11:55:21+00:00	2020-06-30 22:56:36+00:00
Foomin10	50	32	2012-03-01 20:52:32+00:00	2018-01-09 16:40:24+00:00
Game-M	117	31	2007-03-29 03:34:43+00:00	2009-04-27 03:34:32+00:00
Marsian	50	31	2004-07-13 10:21:23+00:00	2006-03-09 02:37:37+00:00
Johncapistrano	77	31	2004-01-10 07:51:58+00:00	2010-05-15 05:27:47+00:00
海ボチャン	75	31	2013-03-17 11:04:06+00:00	2019-08-18 11:37:56+00:00
海獺	154	30	2007-09-27 16:42:14+00:00	2019-07-07 01:27:32+00:00
Ikedat76	193	30	2006-01-20 14:17:49+00:00	2016-11-13 07:41:41+00:00
Hideki1976	34	30	2007-02-27 08:52:22+00:00	2010-01-08 16:06:14+00:00
Oxhop	140	29	2004-01-31 11:42:27+00:00	2008-04-22 12:17:12+00:00
Mizusumashi	153	29	2007-10-22 04:57:34+00:00	2011-02-11 15:57:45+00:00
Michey.M-test	42	28	2004-03-06 15:24:42+00:00	2004-04-05 07:29:26+00:00
背番号９	241	28	2007-11-12 05:10:48+00:00	2017-04-27 08:44:30+00:00
Co.kyoto	133	28	2006-09-04 12:10:10+00:00	2010-08-28 15:53:35+00:00
アイザール	72	28	2007-10-03 05:53:06+00:00	2017-11-03 12:34:58+00:00
Law soma	122	28	2006-06-15 00:23:51+00:00	2014-03-04 04:45:20+00:00
Hatukanezumi	436	28	2007-02-24 02:11:24+00:00	2010-12-13 14:00:53+00:00
Tanuki Z	60	28	2003-10-02 09:43:30+00:00	2007-08-20 09:29:10+00:00
Kyube	41	28	2007-06-30 04:39:14+00:00	2019-06-23 04:06:49+00:00
Frozen-mikan	89	28	2008-08-21 13:19:53+00:00	2017-11-27 07:13:21+00:00
NISYAN	236	27	2007-12-02 16:33:55+00:00	2015-07-25 00:16:21+00:00
Nekosuki600	470	27	2005-08-04 17:30:19+00:00	2010-10-11 16:04:48+00:00
重陽	175	27	2011-02-24 12:03:00+00:00	2018-08-08 22:30:01+00:00
しるふぃ	40	27	2004-11-27 04:35:33+00:00	2010-09-20 02:50:25+00:00
LearningBox	223	26	2011-01-17 14:31:10+00:00	2016-02-01 11:50:17+00:00
っ	143	26	2004-06-23 10:15:43+00:00	2007-01-19 01:04:13+00:00
ぱたごん	118	26	2010-11-03 15:53:09+00:00	2020-02-19 11:01:06+00:00
やしろべえ	30	26	2006-12-07 00:47:05+00:00	2010-01-12 10:11:08+00:00
Masao	54	26	2003-11-07 07:57:11+00:00	2007-05-26 00:58:38+00:00
アルビレオ	241	26	2008-03-02 00:38:03+00:00	2018-07-18 09:21:53+00:00
EULE	194	25	2008-03-15 17:36:21+00:00	2020-07-28 09:19:30+00:00
Taisyo	168	25	2005-12-30 00:54:25+00:00	2020-02-23 07:26:22+00:00
Goki	185	25	2004-09-21 09:51:46+00:00	2010-06-16 02:17:11+00:00
貿易風	76	25	2007-09-06 08:51:23+00:00	2012-02-16 04:51:23+00:00
NEON	132	24	2006-11-27 10:15:24+00:00	2020-04-30 02:30:22+00:00
健ちゃん	61	24	2006-09-15 20:51:05+00:00	2020-01-02 01:34:25+00:00
S-PAI	74	24	2007-04-01 12:57:14+00:00	2013-03-08 22:16:27+00:00
PiaCarrot	118	24	2004-02-20 05:02:57+00:00	2008-02-09 12:00:24+00:00
Nami-ja	58	23	2008-11-13 07:15:01+00:00	2019-03-17 22:36:17+00:00
Tamago915	209	23	2005-01-07 12:22:23+00:00	2009-01-08 23:34:51+00:00
SGreen	37	23	2005-06-06 05:16:44+00:00	2008-02-22 11:46:57+00:00
Nnh	40	23	2004-04-02 00:19:05+00:00	2020-07-29 13:07:00+00:00
Fryed-peach	31	23	2007-01-27 10:19:00+00:00	2013-12-24 08:09:14+00:00
頭痛	395	23	2009-09-15 10:44:54+00:00	2016-10-16 06:37:38+00:00
Hman	193	23	2010-05-07 17:58:50+00:00	2017-05-07 02:05:29+00:00
