,userid,name,editcount,registration,gender,missing,invalid,abusefilter,checkuser,ipblock-exempt,researcher,abusefilter-helper,extendedmover,sysop,massmessage-sender,user,extendedconfirmed,epadmin,autoreviewer,import,accountcreator,templateeditor,autoconfirmed,eventcoordinator,oversight,rollbacker,patroller,founder,bureaucrat,interface-admin,reviewer,filemover
0,378390.0,SMcCandlish,166280.0,2005-08-11T07:42:31Z,male,,,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True
1,190359.0,Radiant!,36918.0,2005-02-12T09:10:11Z,unknown,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,1998764.0,WhatamIdoing,93775.0,2006-08-14T03:52:08Z,female,,,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
3,5950998.0,Dank,108190.0,2007-12-05T09:37:34Z,male,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,7181920.0,OlEnglish,73884.0,2008-05-26T02:19:19Z,male,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,5017767.0,Kotniski,40317.0,2007-08-04T12:40:00Z,unknown,,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
6,241822.0,Gurch,109946.0,2005-04-18T21:42:27Z,female,,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
7,82835.0,Rich Farmbrough,1701262.0,2004-05-02T20:34:16Z,unknown,,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True
8,194203.0,Graham87,193684.0,2005-02-17T11:12:06Z,male,,,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
9,9612106.0,Redrose64,226799.0,2009-05-05T12:46:21Z,unknown,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10,2952402.0,Steel1943,152886.0,2006-12-06T17:25:19Z,unknown,,,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True
11,8729451.0,Moxy,102790.0,2009-01-14T23:20:40Z,male,,,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
12,129409.0,SlimVirgin,169259.0,2004-11-05T19:50:28Z,female,,,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,4293477.0,Flyer22 Frozen,356163.0,2007-05-02T16:16:15Z,female,,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
14,6036800.0,Johnuniq,68500.0,2007-12-19T09:17:00Z,unknown,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15,2157954.0,DGG,273117.0,2006-09-05T03:20:12Z,male,,,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
16,1960810.0,Nyttend,282621.0,2006-08-08T15:03:10Z,male,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
17,4431864.0,GnevinAWB,6876.0,2007-05-18T18:46:02Z,unknown,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,2927383.0,Izno,49238.0,2006-12-04T06:14:08Z,male,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19,85402.0,Francis Schonken,62212.0,2004-07-11T11:11:43Z,unknown,,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,26248.0,Pigsonthewing,225050.0,2003-10-16T13:22:28Z,male,,,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True
21,332841.0,Tony1,204153.0,2005-07-14T07:23:48Z,male,,,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False
22,782009.0,SilkTork,89981.0,2006-01-12T16:51:04Z,unknown,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
23,37878.0,Centrx,37287.0,2004-01-13T01:00:22Z,unknown,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24,57939.0,Beland,94267.0,2004-04-06T02:05:16Z,unknown,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25,545027.0,Thumperward,114544.0,2005-11-13T12:13:31Z,male,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,64669.0,Pmanderson,62698.0,2004-05-02T00:02:35Z,unknown,,,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
27,237086.0,Hiding,44459.0,2005-04-13T19:37:02Z,unknown,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
