,userid,name,editcount,registration,gender,abusefilter,checkuser,ipblock-exempt,autoconfirmed,oversight,eliminator,rollbacker,extendedconfirmed,user,bureaucrat,interface-admin,sysop
0,1601,Kurz,10949,,male,False,False,False,True,False,False,False,True,True,False,False,False
1,34929,Aotake,15157,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
2,631644,タバコはマーダー,20583,2012-06-09T02:42:00Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
3,1881,Miya,32403,,female,True,False,False,True,False,False,False,False,True,False,False,True
4,263159,Penn Station,60184,2008-11-23T08:06:06Z,unknown,True,True,False,True,True,False,False,False,True,True,True,True
5,41235,Cave cattum,10440,2006-02-18T05:07:11Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
6,699851,Yapparina,13115,2013-01-19T14:50:58Z,unknown,True,False,False,True,False,False,False,False,True,False,False,True
7,35909,Ks aka 98,15587,2005-12-26T08:21:05Z,unknown,True,False,False,True,False,False,False,False,True,False,False,False
8,37161,青子守歌,12601,2006-01-10T10:50:13Z,unknown,True,False,False,True,False,False,False,False,True,False,True,True
9,712937,Addbot,178576,2013-03-01T15:57:57Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
10,169478,ネイ,24544,2007-11-05T08:50:10Z,unknown,True,False,False,True,False,False,False,False,True,False,True,True
11,3132,Aphaia,21771,,female,False,False,False,True,False,False,False,False,True,False,False,False
12,4054,Tietew,25857,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
13,111486,Dr jimmy,230364,2007-02-07T05:23:08Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
14,380,Hermeneus,7042,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
15,10372,たね,29102,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
16,191555,アルトクール,40873,2008-02-12T15:18:29Z,unknown,True,False,False,True,False,False,False,False,True,False,False,True
17,38360,Calvero,20476,2006-01-23T16:11:23Z,male,False,False,False,True,False,False,False,False,True,False,False,False
18,66507,JAnDbot,98559,2006-07-14T18:32:10Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
19,105371,VolkovBot,231345,2007-01-11T21:56:17Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
20,50663,Iwai.masaharu,13724,2006-04-18T19:23:01Z,unknown,True,False,False,True,False,False,False,False,True,False,False,False
21,34741,目蒲東急之介,70293,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
22,537115,Tondenh,7548,2011-07-20T07:18:46Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
23,13490,Khhy,12972,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
24,12316,Los688,115884,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
25,142093,伏儀,31825,2007-07-06T14:32:22Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
26,906,Michey.M,3686,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
27,69,Suisui,60456,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
28,57409,新幹線,38052,2006-05-26T11:23:32Z,male,False,False,False,True,False,False,False,True,True,False,False,False
29,16439,Hyolee2,53592,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
30,10,Tomos,7806,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
31,16648,Toto-tarou,21948,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
32,11012,竹麦魚,64164,,male,False,False,False,True,False,False,False,False,True,False,False,True
33,140239,Tossie,6756,2007-06-26T06:53:09Z,male,False,False,False,True,False,False,False,False,True,False,False,False
34,20162,Marine-Blue,18656,,unknown,False,False,False,True,False,False,False,True,True,False,True,False
35,14948,Muyo,75572,,unknown,True,False,False,True,False,False,False,False,True,False,False,True
36,52744,Su-no-G,24969,2006-05-01T15:41:31Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
37,303359,Vigorous action,16509,2009-04-15T01:14:29Z,male,False,False,False,True,False,False,False,False,True,False,False,False
38,851203,㭍月例祭,14553,2014-07-03T12:03:27Z,unknown,False,False,False,True,False,False,False,False,True,False,False,True
39,70956,Web comic,20067,2006-08-02T14:14:31Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
40,73707,Hisagi,24278,2006-08-16T16:29:47Z,male,False,False,False,True,False,False,False,True,True,False,False,False
41,36859,Kanjy,12476,2006-01-07T13:52:53Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
42,70026,Tiyoringo,123767,2006-07-29T17:02:13Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
43,28341,Cpro,23492,,unknown,True,False,False,True,False,False,False,False,True,False,True,False
44,131,Kzhr,8174,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
45,13479,Brevam,4014,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
46,132524,Kurihaya,14343,2007-05-15T10:13:59Z,unknown,False,False,False,True,False,False,False,False,True,False,False,True
47,32927,Jms,9798,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
48,103223,VZP10224,8415,2007-01-01T12:40:25Z,male,True,False,False,True,False,False,False,False,True,False,False,True
49,143139,OKBot,16516,2007-07-12T10:07:07Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
50,432974,Bugandhoney,3897,2010-06-24T14:22:51Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
51,329,Ojigiri,4782,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
52,129869,Rxy,16847,2007-05-01T13:03:49Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
53,97297,Triglav,27296,2006-11-28T15:36:55Z,unknown,True,False,False,True,False,False,False,True,True,False,False,False
54,13375,Dwy,2031,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
55,938601,Aki42006,11868,2015-02-11T01:12:41Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
56,23040,端くれの錬金術師,8933,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
57,7512,ＮｉＫｅ,17422,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
58,17893,Open-box,27385,,unknown,False,False,True,True,False,False,False,True,True,False,False,False
59,972515,Miraburu,13182,2015-05-05T08:18:52Z,female,False,False,False,True,False,False,False,True,True,False,False,False
60,16760,Jkr2255,39136,,male,True,False,False,True,False,False,False,False,True,True,True,True
61,37640,Bellcricket,45682,2006-01-15T13:21:08Z,unknown,False,True,False,True,False,False,False,False,True,True,False,True
62,311033,Foomin10,1585,2009-05-11T08:31:01Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
63,86301,Game-M,14736,2006-10-03T03:47:36Z,male,False,False,False,True,False,False,False,True,True,False,False,False
64,9753,Marsian,2984,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
65,969,Johncapistrano,18971,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
66,706288,海ボチャン,38346,2013-02-09T09:07:51Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
67,153448,海獺,30541,2007-09-04T04:40:26Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
68,34218,Ikedat76,22090,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
69,106957,Hideki1976,49118,2007-01-19T06:18:26Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
70,2551,Oxhop,7965,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
71,360,Mizusumashi,8794,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
72,3537,Michey.M-test,538,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
73,94135,背番号９,5771,2006-11-13T00:33:34Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
74,79296,Co.kyoto,9136,2006-09-02T00:53:43Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
75,133157,アイザール,14857,2007-05-18T16:55:36Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
76,45202,Law soma,16075,2006-03-15T00:07:55Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
77,74377,Hatukanezumi,10583,2006-08-20T01:14:00Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
78,612,Tanuki Z,8242,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
79,9866,Kyube,40267,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
80,6130,Frozen-mikan,24289,,unknown,False,False,False,True,False,False,False,False,True,False,True,False
81,169936,NISYAN,7122,2007-11-07T05:51:43Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
82,21263,Nekosuki600,14615,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
83,463293,重陽,4969,2010-10-16T07:58:12Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
84,11247,しるふぃ,6934,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
85,480350,LearningBox,34541,2010-12-18T06:45:23Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
86,4481,っ,17621,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
87,319463,ぱたごん,35659,2009-06-08T22:42:52Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
88,73200,やしろべえ,5700,2006-08-14T03:12:18Z,male,False,False,False,True,False,False,False,False,True,False,False,False
89,953,Masao,3704,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
90,128125,アルビレオ,6793,2007-04-22T10:34:10Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
91,74209,EULE,8138,2006-08-19T03:45:47Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
92,6896,Taisyo,43501,,male,True,False,False,True,False,False,False,False,True,False,False,True
93,7107,Goki,57918,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
94,85487,貿易風,26397,2006-09-28T14:05:26Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
95,67175,NEON,12910,2006-07-18T06:13:32Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
96,60346,健ちゃん,11234,2006-06-11T09:36:41Z,unknown,False,False,False,True,False,False,False,False,True,False,False,True
97,4705,S-PAI,10121,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
98,2115,PiaCarrot,9064,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
99,255816,Nami-ja,23527,2008-10-28T08:46:10Z,female,False,False,False,True,False,False,False,True,True,False,False,False
100,11009,Tamago915,13664,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
101,20681,SGreen,2532,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
102,474,Nnh,138161,,unknown,False,False,False,True,False,False,False,False,True,False,False,True
103,63402,Fryed-peach,28902,2006-06-27T12:52:05Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
104,201680,頭痛,39703,2008-03-27T12:27:36Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
105,126506,Hman,22078,2007-04-15T04:02:24Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
106,10251,みっち,4839,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
107,170448,Kanohara,15694,2007-11-09T08:17:48Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
108,116802,ディー・エム,3315,2007-02-27T16:04:45Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
109,79281,Carkuni,43315,2006-09-01T23:19:55Z,male,False,False,False,True,False,False,False,False,True,False,False,False
110,30931,Redattore,3896,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
111,36725,春野秋葉,7445,2006-01-06T03:49:21Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
112,22521,Vantey,13252,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
113,64776,Afaz,3024,2006-07-05T07:47:08Z,male,False,False,False,True,False,False,False,True,True,False,False,False
114,402549,Don-hide,56080,2010-03-18T01:52:48Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
115,185411,BodhisattvaBot,6920,2008-01-18T20:18:14Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
116,309126,Y-dash,16309,2009-05-05T02:43:07Z,unknown,True,True,False,True,True,False,False,False,True,False,True,True
117,36284,モトカル,2610,2005-12-31T14:57:05Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
118,35005,Sloop25,862,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
119,162354,Freetrashbox,12277,2007-10-07T11:55:10Z,unknown,True,False,False,True,False,False,False,False,True,False,False,False
120,277841,Suzukitaro,5319,2009-01-17T13:03:40Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
121,37532,Seibuabina,34783,2006-01-14T11:35:25Z,male,False,False,False,True,False,False,False,True,True,False,False,False
122,122,Sphl,7426,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
123,1772,KMT,35118,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
124,159898,長月みどり,7328,2007-09-27T15:08:53Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
125,340681,Ohgi,19109,2009-08-22T18:46:18Z,unknown,True,False,False,True,False,False,False,False,True,False,False,True
126,1199441,郊外生活,23414,2017-04-01T02:31:19Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
127,578727,JapaneseA,77182,2011-12-12T18:17:17Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
128,7386,名無し,2315,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
129,68334,Broad-Sky,8455,2006-07-24T06:34:34Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
130,9672,４行ＤＡ,2891,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
131,36455,磯多申紋,5560,2006-01-02T22:15:15Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
132,1535795,Reiwa period,3738,2019-09-05T08:59:45Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
133,901786,YiFeiBot,5785,2014-10-30T10:34:38Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
134,598799,Kawasaki ichiro,1220,2012-02-20T06:36:56Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
135,37384,Purposefree,10488,2006-01-13T02:27:33Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
136,9112,Lem,3156,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
137,345104,Kinno Angel,17409,2009-09-07T05:00:24Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
138,71291,Fromm,36732,2006-08-04T04:14:40Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
139,78926,Emk,3955,2006-08-31T15:32:02Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
140,22656,経済準学士,75131,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
141,519465,Y-route,18400,2011-05-10T10:25:09Z,male,False,False,False,True,False,False,False,True,True,False,False,False
142,934102,Moon.rise,1681,2015-01-29T21:11:23Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
143,55855,K K1980,4362,2006-05-18T02:25:21Z,male,False,False,False,True,False,False,False,False,True,False,False,False
144,21833,Himetv,36343,,unknown,False,False,False,True,False,False,False,True,True,False,False,False
145,2690,Tekune,5967,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
146,27955,ZCU,4134,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
147,183520,Sweeper tamonten,4604,2008-01-11T04:54:20Z,male,False,False,False,True,False,False,False,False,True,False,False,False
148,102733,竃馬,13991,2006-12-29T12:12:34Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
149,672,Kozawa,2673,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
150,9300,Tatsujin28,7703,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
151,1539982,Atmark-chan,3340,2019-09-14T09:34:11Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
152,165560,Tam0031,25027,2007-10-19T16:43:42Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
153,793346,Claw of Slime,18861,2013-12-01T13:31:22Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
154,118019,RJANKA,29293,2007-03-05T20:21:21Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
155,291922,山田晴通,66522,2009-03-05T19:05:01Z,male,False,False,False,True,False,False,False,True,True,False,False,False
156,443,Kinori,26904,,unknown,False,False,False,True,False,False,False,False,True,False,False,True
157,1523,Kahusi,11017,,male,False,False,False,True,False,False,False,True,True,False,False,False
158,102,Sketch,3910,,unknown,False,False,False,True,False,False,False,False,True,False,False,False
159,617293,Jizwf,1352,2012-04-22T04:06:44Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
160,507519,Ahora,1605,2011-03-24T12:44:30Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
161,447088,Haifun999,17199,2010-08-16T03:33:44Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
162,472660,プログラム,3556,2010-11-20T12:01:08Z,male,False,False,False,True,False,False,False,True,True,False,False,False
163,9795,霧木諒二,29035,,unknown,False,False,False,True,False,False,False,False,True,False,False,True
164,202674,かげろん,1222,2008-03-31T14:01:49Z,male,False,False,False,True,False,False,False,False,True,False,False,False
165,206706,Sonchou,29475,2008-04-18T14:34:48Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
166,22811,水野白楓,58603,,male,False,False,False,True,False,False,False,True,True,False,False,False
167,261873,有足魚,1906,2008-11-18T11:41:54Z,unknown,False,False,False,True,False,False,False,False,True,False,False,False
168,1085062,影佑樹,12105,2016-04-16T03:24:19Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
169,304043,大和屋敷,16694,2009-04-17T13:21:43Z,unknown,False,False,False,True,False,False,False,True,True,False,False,False
